labels,pattern,nhdegree,hdegree
a_20: A | a_30: A ,A->A,0.958128078817734,0.900497512437811
a_20: B | a_30: A ,A->B,0.04187192118226601,0.09950248756218906
a_20: A | a_30: B ,B->A,0.0625,0.11428571428571428
a_20: B | a_30: B ,B->B,0.9375,0.8857142857142857
a_10: A | a_30: A ,A->A,0.812807881773399,0.802653399668325
a_10: B | a_30: A ,A->B,0.18719211822660098,0.19734660033167495
a_10: A | a_30: B ,B->A,0.09375,0.34285714285714286
a_10: B | a_30: B ,B->B,0.90625,0.6571428571428571
a_10: A | a_20: A ,A->A,0.8414322250639387,0.8592321755027422
a_10: B | a_20: A ,A->B,0.1585677749360614,0.14076782449725778
a_10: A | a_20: B ,B->A,0.0851063829787234,0.2857142857142857
a_10: B | a_20: B ,B->B,0.9148936170212766,0.7142857142857143
a_5: A | a_30: A ,A->A,0.6330049261083743,0.648424543946932
a_5: B | a_30: A ,A->B,0.3669950738916256,0.351575456053068
a_5: A | a_30: B ,B->A,0.15625,0.4
a_5: B | a_30: B ,B->B,0.84375,0.6
a_5: A | a_20: A ,A->A,0.6547314578005116,0.6983546617915904
a_5: B | a_20: A ,A->B,0.3452685421994885,0.3016453382084095
a_5: A | a_20: B ,B->A,0.1276595744680851,0.25274725274725274
a_5: B | a_20: B ,B->B,0.8723404255319149,0.7472527472527473
a_5: A | a_10: A ,A->A,0.7567567567567568,0.7681451612903226
a_5: B | a_10: A ,A->B,0.24324324324324326,0.2318548387096774
a_5: A | a_10: B ,B->A,0.09523809523809523,0.16901408450704225
a_5: B | a_10: B ,B->B,0.9047619047619048,0.8309859154929577
a_1: A | a_30: A ,A->A,0.3374384236453202,0.5041459369817579
a_1: B | a_30: A ,A->B,0.6625615763546798,0.49585406301824214
a_1: A | a_30: B ,B->A,0.125,0.4
a_1: B | a_30: B ,B->B,0.875,0.6
a_1: A | a_20: A ,A->A,0.34782608695652173,0.5173674588665448
a_1: B | a_20: A ,A->B,0.6521739130434783,0.4826325411334552
a_1: A | a_20: B ,B->A,0.10638297872340426,0.38461538461538464
a_1: B | a_20: B ,B->B,0.8936170212765957,0.6153846153846154
a_1: A | a_10: A ,A->A,0.38738738738738737,0.5463709677419355
a_1: B | a_10: A ,A->B,0.6126126126126126,0.4536290322580645
a_1: A | a_10: B ,B->A,0.11428571428571428,0.33098591549295775
a_1: B | a_10: B ,B->B,0.8857142857142857,0.6690140845070423
a_1: A | a_5: A ,A->A,0.48854961832061067,0.6592592592592592
a_1: B | a_5: A ,A->B,0.5114503816793893,0.34074074074074073
a_1: A | a_5: B ,B->A,0.07386363636363637,0.21888412017167383
a_1: B | a_5: B ,B->B,0.9261363636363636,0.7811158798283262
a_0: A | a_30: A ,A->A,0.28078817733990147,0.4593698175787728
a_0: B | a_30: A ,A->B,0.7192118226600985,0.5406301824212272
a_0: A | a_30: B ,B->A,0.1875,0.4857142857142857
a_0: B | a_30: B ,B->B,0.8125,0.5142857142857142
a_0: A | a_20: A ,A->A,0.2915601023017903,0.473491773308958
a_0: B | a_20: A ,A->B,0.7084398976982097,0.526508226691042
a_0: A | a_20: B ,B->A,0.1276595744680851,0.38461538461538464
a_0: B | a_20: B ,B->B,0.8723404255319149,0.6153846153846154
a_0: A | a_10: A ,A->A,0.3063063063063063,0.5
a_0: B | a_10: A ,A->B,0.6936936936936937,0.5
a_0: A | a_10: B ,B->A,0.17142857142857143,0.323943661971831
a_0: B | a_10: B ,B->B,0.8285714285714286,0.676056338028169
a_0: A | a_5: A ,A->A,0.3893129770992366,0.5851851851851851
a_0: B | a_5: A ,A->B,0.6106870229007634,0.4148148148148148
a_0: A | a_5: B ,B->A,0.10227272727272728,0.2446351931330472
a_0: B | a_5: B ,B->B,0.8977272727272727,0.7553648068669528
a_0: A | a_1: A ,A->A,0.7375886524822695,0.8050314465408805
a_0: B | a_1: A ,A->B,0.2624113475177305,0.1949685534591195
a_0: A | a_1: B ,B->A,0.05387205387205387,0.11875
a_0: B | a_1: B ,B->B,0.9461279461279462,0.88125
