labels,pattern,probs
a_20: A | a_30: A ,A->A,0.8738170347003155
a_20: B | a_30: A ,A->B,0.12618296529968454
a_20: A | a_30: B ,B->A,0.2287390029325513
a_20: B | a_30: B ,B->B,0.7712609970674487
a_10: A | a_30: A ,A->A,0.7476340694006309
a_10: B | a_30: A ,A->B,0.25236593059936907
a_10: A | a_30: B ,B->A,0.31671554252199413
a_10: B | a_30: B ,B->B,0.6832844574780058
a_10: A | a_20: A ,A->A,0.822
a_10: B | a_20: A ,A->B,0.178
a_10: A | a_20: B ,B->A,0.2318181818181818
a_10: B | a_20: B ,B->B,0.7681818181818182
a_5: A | a_30: A ,A->A,0.6656151419558359
a_5: B | a_30: A ,A->B,0.334384858044164
a_5: A | a_30: B ,B->A,0.3782991202346041
a_5: B | a_30: B ,B->B,0.6217008797653959
a_5: A | a_20: A ,A->A,0.662
a_5: B | a_20: A ,A->B,0.338
a_5: A | a_20: B ,B->A,0.3431818181818182
a_5: B | a_20: B ,B->B,0.6568181818181819
a_5: A | a_10: A ,A->A,0.760539629005059
a_5: B | a_10: A ,A->B,0.23946037099494097
a_5: A | a_10: B ,B->A,0.2336842105263158
a_5: B | a_10: B ,B->B,0.7663157894736842
a_1: A | a_30: A ,A->A,0.5047318611987381
a_1: B | a_30: A ,A->B,0.4952681388012618
a_1: A | a_30: B ,B->A,0.3196480938416422
a_1: B | a_30: B ,B->B,0.6803519061583577
a_1: A | a_20: A ,A->A,0.51
a_1: B | a_20: A ,A->B,0.49
a_1: A | a_20: B ,B->A,0.32727272727272727
a_1: B | a_20: B ,B->B,0.6704545454545454
a_1: A | a_10: A ,A->A,0.5413153456998314
a_1: B | a_10: A ,A->B,0.45699831365935917
a_1: A | a_10: B ,B->A,0.29894736842105263
a_1: B | a_10: B ,B->B,0.7010526315789474
a_1: A | a_5: A ,A->A,0.6300884955752213
a_1: B | a_5: A ,A->B,0.36991150442477877
a_1: A | a_5: B ,B->A,0.21414538310412573
a_1: B | a_5: B ,B->B,0.7838899803536346
a_0: A | a_30: A ,A->A,0.4195583596214511
a_0: B | a_30: A ,A->B,0.580441640378549
a_0: A | a_30: B ,B->A,0.30498533724340177
a_0: B | a_30: B ,B->B,0.6950146627565983
a_0: A | a_20: A ,A->A,0.448
a_0: B | a_20: A ,A->B,0.552
a_0: A | a_20: B ,B->A,0.31136363636363634
a_0: B | a_20: B ,B->B,0.6886363636363636
a_0: A | a_10: A ,A->A,0.4806070826306914
a_0: B | a_10: A ,A->B,0.5193929173693086
a_0: A | a_10: B ,B->A,0.2863157894736842
a_0: B | a_10: B ,B->B,0.7136842105263158
a_0: A | a_5: A ,A->A,0.5415929203539823
a_0: B | a_5: A ,A->B,0.4584070796460177
a_0: A | a_5: B ,B->A,0.22986247544204322
a_0: B | a_5: B ,B->B,0.7701375245579568
a_0: A | a_1: A ,A->A,0.6967741935483871
a_0: B | a_1: A ,A->B,0.3032258064516129
a_0: A | a_1: B ,B->A,0.16282894736842105
a_0: B | a_1: B ,B->B,0.837171052631579
