labels,pattern,nhdegree,hdegree
a_20: A | a_30: A ,A->A,0.883495145631068,0.8691588785046729
a_20: B | a_30: A ,A->B,0.11650485436893204,0.1308411214953271
a_20: A | a_30: B ,B->A,0.14507772020725387,0.33783783783783783
a_20: B | a_30: B ,B->B,0.8549222797927462,0.6621621621621622
a_10: A | a_30: A ,A->A,0.7184466019417476,0.7616822429906542
a_10: B | a_30: A ,A->B,0.2815533980582524,0.2383177570093458
a_10: A | a_30: B ,B->A,0.21761658031088082,0.44594594594594594
a_10: B | a_30: B ,B->B,0.7823834196891192,0.5540540540540541
a_10: A | a_20: A ,A->A,0.7861635220125787,0.8387096774193549
a_10: B | a_20: A ,A->B,0.2138364779874214,0.16129032258064516
a_10: A | a_20: B ,B->A,0.1493212669683258,0.3150684931506849
a_10: B | a_20: B ,B->B,0.8506787330316742,0.684931506849315
a_5: A | a_30: A ,A->A,0.5922330097087378,0.7009345794392523
a_5: B | a_30: A ,A->B,0.4077669902912621,0.29906542056074764
a_5: A | a_30: B ,B->A,0.2694300518134715,0.5202702702702703
a_5: B | a_30: B ,B->B,0.7305699481865285,0.4797297297297297
a_5: A | a_20: A ,A->A,0.5786163522012578,0.7008797653958945
a_5: B | a_20: A ,A->B,0.42138364779874216,0.2991202346041056
a_5: A | a_20: B ,B->A,0.24434389140271492,0.4429223744292237
a_5: B | a_20: B ,B->B,0.755656108597285,0.5570776255707762
a_5: A | a_10: A ,A->A,0.7277486910994765,0.7761194029850746
a_5: B | a_10: A ,A->B,0.27225130890052357,0.22388059701492538
a_5: A | a_10: B ,B->A,0.17012448132780084,0.29914529914529914
a_5: B | a_10: B ,B->B,0.8298755186721992,0.7008547008547008
a_1: A | a_30: A ,A->A,0.36893203883495146,0.5700934579439252
a_1: B | a_30: A ,A->B,0.6310679611650486,0.42990654205607476
a_1: A | a_30: B ,B->A,0.23834196891191708,0.42567567567567566
a_1: B | a_30: B ,B->B,0.7616580310880829,0.5743243243243243
a_1: A | a_20: A ,A->A,0.39622641509433965,0.5630498533724341
a_1: B | a_20: A ,A->B,0.6037735849056604,0.436950146627566
a_1: A | a_20: B ,B->A,0.22624434389140272,0.4292237442922374
a_1: B | a_20: B ,B->B,0.7692307692307693,0.5707762557077626
a_1: A | a_10: A ,A->A,0.44502617801047123,0.5870646766169154
a_1: B | a_10: A ,A->B,0.5497382198952879,0.4129353233830846
a_1: A | a_10: B ,B->A,0.1991701244813278,0.4017094017094017
a_1: B | a_10: B ,B->B,0.8008298755186722,0.5982905982905983
a_1: A | a_5: A ,A->A,0.5414364640883977,0.671875
a_1: B | a_5: A ,A->B,0.4585635359116022,0.328125
a_1: A | a_5: B ,B->A,0.13725490196078433,0.29133858267716534
a_1: B | a_5: B ,B->B,0.8588235294117647,0.7086614173228346
a_0: A | a_30: A ,A->A,0.30097087378640774,0.4766355140186916
a_0: B | a_30: A ,A->B,0.6990291262135923,0.5233644859813084
a_0: A | a_30: B ,B->A,0.21243523316062177,0.42567567567567566
a_0: B | a_30: B ,B->B,0.7875647668393783,0.5743243243243243
a_0: A | a_20: A ,A->A,0.32075471698113206,0.5073313782991202
a_0: B | a_20: A ,A->B,0.6792452830188679,0.49266862170087977
a_0: A | a_20: B ,B->A,0.19909502262443438,0.4246575342465753
a_0: B | a_20: B ,B->B,0.8009049773755657,0.5753424657534246
a_0: A | a_10: A ,A->A,0.34554973821989526,0.5447761194029851
a_0: B | a_10: A ,A->B,0.6544502617801047,0.4552238805970149
a_0: A | a_10: B ,B->A,0.1950207468879668,0.3803418803418803
a_0: B | a_10: B ,B->B,0.8049792531120332,0.6196581196581197
a_0: A | a_5: A ,A->A,0.425414364640884,0.5963541666666666
a_0: B | a_5: A ,A->B,0.574585635359116,0.4036458333333333
a_0: A | a_5: B ,B->A,0.1450980392156863,0.31496062992125984
a_0: B | a_5: B ,B->B,0.8549019607843137,0.6850393700787402
a_0: A | a_1: A ,A->A,0.6240601503759399,0.7259036144578314
a_0: B | a_1: A ,A->B,0.37593984962406013,0.2740963855421687
a_0: A | a_1: B ,B->A,0.10264900662251655,0.2222222222222222
a_0: B | a_1: B ,B->B,0.8973509933774835,0.7777777777777778
