,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,condiHistory,AAAA**,academic,0,-2.933578708863871,291,181,754
1,condiHistory,AAAB**,academic,0,-2.601890942759093,17,7,754
2,condiHistory,AAA***,academic,0,-3.458664838325469,311,190,754
3,condiHistory,AABA**,academic,0,-1.9604471553067555,20,10,754
4,condiHistory,AABB**,academic,0,0.033589455236191675,27,19,754
5,condiHistory,AAB***,academic,0,-1.253396033315095,47,29,754
6,condiHistory,AA*A**,academic,0,-3.3348369496571326,311,191,754
7,condiHistory,AA*B**,academic,0,-1.5909751511264338,44,26,754
8,condiHistory,AA****,academic,0,-3.6777908805833324,358,219,754
9,condiHistory,ABAA**,academic,0,1.4184516158536151,24,20,754
10,condiHistory,ABAB**,academic,0,0.9241814788425181,2,2,754
11,condiHistory,ABA***,academic,0,1.6191260548817255,26,22,754
12,condiHistory,ABBA**,academic,0,-0.9511531645710124,9,5,754
13,condiHistory,ABBB**,academic,0,0.19899559792882385,18,13,754
14,condiHistory,ABB***,academic,0,-0.2562027800905669,28,19,754
15,condiHistory,AB*A**,academic,0,0.7129360624329573,33,25,754
16,condiHistory,AB*B**,academic,0,0.4810356445891578,20,15,754
17,condiHistory,AB****,academic,0,0.939006131990322,54,41,754
18,condiHistory,A*AA**,academic,0,-2.428079640160787,315,201,754
19,condiHistory,A*AB**,academic,0,-2.1612983746322167,19,9,754
20,condiHistory,A*A***,academic,0,-2.872836268066576,337,212,754
21,condiHistory,A*BA**,academic,0,-2.1579368730630515,29,15,754
22,condiHistory,A*BB**,academic,0,0.15187414690802403,45,32,754
23,condiHistory,A*B***,academic,0,-1.1487593690777407,75,48,754
24,condiHistory,A**A**,academic,0,-2.95003424737311,344,216,754
25,condiHistory,A**B**,academic,0,-1.050259806540894,64,41,754
26,condiHistory,A*****,academic,0,-3.088357531828986,412,260,754
27,condiHistory,BAAA**,academic,0,1.006074833793582,77,58,754
28,condiHistory,BAAB**,academic,0,1.3069899814731127,4,4,754
29,condiHistory,BAA***,academic,0,1.3357516667436702,82,63,754
30,condiHistory,BABA**,academic,0,1.6007292767693828,6,6,754
31,condiHistory,BABB**,academic,0,0.850559792332979,11,9,754
32,condiHistory,BAB***,academic,0,1.6351649095432665,17,15,754
33,condiHistory,BA*A**,academic,0,1.399410979867651,83,64,754
34,condiHistory,BA*B**,academic,0,1.403302614559256,15,13,754
35,condiHistory,BA****,academic,0,1.893260429840457,99,78,754
36,condiHistory,BBAA**,academic,0,2.0406466695262506,235,179,754
37,condiHistory,BBAB**,academic,0,-0.46627810198397807,11,7,754
38,condiHistory,BBA***,academic,0,1.8959014016971871,246,186,754
39,condiHistory,BBBA**,academic,0,1.832563399817117,159,122,754
40,condiHistory,BBBB**,academic,0,-0.874318051791053,157,105,754
41,condiHistory,BBB***,academic,0,0.7192603489102327,317,228,754
42,condiHistory,BB*A**,academic,0,2.740142030687294,394,301,754
43,condiHistory,BB*B**,academic,0,-0.9645227206913618,168,112,754
44,condiHistory,BB****,academic,0,1.79293650787634,563,414,754
45,condiHistory,B*AA**,academic,0,2.2708264253858736,312,237,754
46,condiHistory,B*AB**,academic,0,0.275630013165858,15,11,754
47,condiHistory,B*A***,academic,0,2.3097746103121244,328,249,754
48,condiHistory,B*BA**,academic,0,2.104182622645568,165,128,754
49,condiHistory,B*BB**,academic,0,-0.6275660819043778,168,114,754
50,condiHistory,B*B***,academic,0,1.0696202878073804,334,243,754
51,condiHistory,B**A**,academic,0,3.074106852453727,477,365,754
52,condiHistory,B**B**,academic,0,-0.5223836951846177,183,125,754
53,condiHistory,B*****,academic,0,2.3855945057432253,662,492,754
