,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,condiHistory,AAAA**,AedadC,2,-1.4333812481615087,291,119,485
1,condiHistory,AAAB**,AedadC,2,-0.3229984657452064,17,7,485
2,condiHistory,AAA***,AedadC,2,-1.61614851969927,311,126,485
3,condiHistory,AABA**,AedadC,2,-0.006682521659635793,20,9,485
4,condiHistory,AABB**,AedadC,2,-0.06578162504187055,27,12,485
5,condiHistory,AAB***,AedadC,2,-0.0542175061872681,47,21,485
6,condiHistory,AA*A**,AedadC,2,-1.3882206335735194,311,128,485
7,condiHistory,AA*B**,AedadC,2,-0.2522998902947191,44,19,485
8,condiHistory,AA****,AedadC,2,-1.525974161120618,358,147,485
9,condiHistory,ABAA**,AedadC,2,-1.976490641159749,24,6,485
10,condiHistory,ABAB**,AedadC,2,-1.2811268305701695,2,0,485
11,condiHistory,ABA***,AedadC,2,-2.254271436445001,26,6,485
12,condiHistory,ABBA**,AedadC,2,-1.3778297236471215,9,2,485
13,condiHistory,ABBB**,AedadC,2,-0.05371047193455698,18,8,485
14,condiHistory,ABB***,AedadC,2,-0.9954179842836522,28,10,485
15,condiHistory,AB*A**,AedadC,2,-2.4051049880574067,33,8,485
16,condiHistory,AB*B**,AedadC,2,-0.45608210327016147,20,8,485
17,condiHistory,AB****,AedadC,2,-2.280996272346655,54,16,485
18,condiHistory,A*AA**,AedadC,2,-1.9232577847095162,315,125,485
19,condiHistory,A*AB**,AedadC,2,-0.7211783917933341,19,7,485
20,condiHistory,A*A***,AedadC,2,-2.1787026257884565,337,132,485
21,condiHistory,A*BA**,AedadC,2,-0.7731192016277133,29,11,485
22,condiHistory,A*BB**,AedadC,2,-0.08492371275787514,45,20,485
23,condiHistory,A*B***,AedadC,2,-0.6511302491849408,75,31,485
24,condiHistory,A**A**,AedadC,2,-2.0648797353672634,344,136,485
25,condiHistory,A**B**,AedadC,2,-0.4641536642471435,64,27,485
26,condiHistory,A*****,AedadC,2,-2.248256211472268,412,163,485
27,condiHistory,BAAA**,AedadC,2,1.6702969199948203,77,42,485
28,condiHistory,BAAB**,AedadC,2,0.1979890881698079,4,2,485
29,condiHistory,BAA***,AedadC,2,1.5622616244811176,82,44,485
30,condiHistory,BABA**,AedadC,2,-1.398489134215656,6,1,485
31,condiHistory,BABB**,AedadC,2,-1.1865979215423523,11,3,485
32,condiHistory,BAB***,AedadC,2,-1.7853253204794648,17,4,485
33,condiHistory,BA*A**,AedadC,2,1.2327855861197359,83,43,485
34,condiHistory,BA*B**,AedadC,2,-0.9139006264764824,15,5,485
35,condiHistory,BA****,AedadC,2,0.681998140952914,99,48,485
36,condiHistory,BBAA**,AedadC,2,0.4031792998009675,235,109,485
37,condiHistory,BBAB**,AedadC,2,-0.580627649316642,11,4,485
38,condiHistory,BBA***,AedadC,2,0.2712823609693133,246,113,485
39,condiHistory,BBBA**,AedadC,2,0.6904240817816995,159,76,485
40,condiHistory,BBBB**,AedadC,2,2.1225848204702755,157,84,485
41,condiHistory,BBB***,AedadC,2,1.9318681493216097,317,160,485
42,condiHistory,BB*A**,AedadC,2,0.7499729520492041,394,185,485
43,condiHistory,BB*B**,AedadC,2,1.9033462888473116,168,88,485
44,condiHistory,BB****,AedadC,2,1.628938359725259,563,273,485
45,condiHistory,B*AA**,AedadC,2,1.1796864710481574,312,151,485
46,condiHistory,B*AB**,AedadC,2,-0.3949786876433976,15,6,485
47,condiHistory,B*A***,AedadC,2,1.0160682284386031,328,157,485
48,condiHistory,B*BA**,AedadC,2,0.4110732594929615,165,77,485
