,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,condiHistory,AAAA**,hdegree,0,-3.395337340003411,291,90,438
1,condiHistory,AAAB**,hdegree,0,-2.4289136842940264,17,2,438
2,condiHistory,AAA***,hdegree,0,-3.8777580894368153,311,93,438
3,condiHistory,AABA**,hdegree,0,-3.2503113451171046,20,1,438
4,condiHistory,AABB**,hdegree,0,-1.1715390335352402,27,8,438
5,condiHistory,AAB***,hdegree,0,-3.008221799510487,47,9,438
6,condiHistory,AA*A**,hdegree,0,-4.108600009449762,311,91,438
7,condiHistory,AA*B**,hdegree,0,-2.4274924179057473,44,10,438
8,condiHistory,AA****,hdegree,0,-4.7042368590570165,358,102,438
9,condiHistory,ABAA**,hdegree,0,-1.5661917459938361,24,6,438
10,condiHistory,ABAB**,hdegree,0,0.26752698998583185,2,1,438
11,condiHistory,ABA***,hdegree,0,-1.4305497198242108,26,7,438
12,condiHistory,ABBA**,hdegree,0,-1.1287152209907965,9,2,438
13,condiHistory,ABBB**,hdegree,0,-0.15694916745835438,18,7,438
14,condiHistory,ABB***,hdegree,0,-0.9223447830943085,28,9,438
15,condiHistory,AB*A**,hdegree,0,-1.925105108519306,33,8,438
16,condiHistory,AB*B**,hdegree,0,-0.0642955914182453,20,8,438
17,condiHistory,AB****,hdegree,0,-1.6568063900750047,54,16,438
18,condiHistory,A*AA**,hdegree,0,-3.6957388332097016,315,96,438
19,condiHistory,A*AB**,hdegree,0,-2.2107251173128017,19,3,438
20,condiHistory,A*A***,hdegree,0,-4.122520135818255,337,100,438
21,condiHistory,A*BA**,hdegree,0,-3.328028117295465,29,3,438
22,condiHistory,A*BB**,hdegree,0,-1.0067336024698998,45,15,438
23,condiHistory,A*B***,hdegree,0,-2.94493895278846,75,18,438
24,condiHistory,A**A**,hdegree,0,-4.502818253699024,344,99,438
25,condiHistory,A**B**,hdegree,0,-2.04871271117268,64,18,438
26,condiHistory,A*****,hdegree,0,-4.984944834853061,412,118,438
27,condiHistory,BAAA**,hdegree,0,-0.07976437505005254,77,31,438
28,condiHistory,BAAB**,hdegree,0,-0.6393951028405963,4,1,438
29,condiHistory,BAA***,hdegree,0,-0.08523262072295763,82,33,438
30,condiHistory,BABA**,hdegree,0,0.46337033905143094,6,3,438
31,condiHistory,BABB**,hdegree,0,-2.134322515931228,11,1,438
32,condiHistory,BAB***,hdegree,0,-1.4415653184835342,17,4,438
33,condiHistory,BA*A**,hdegree,0,0.047757479201171474,83,34,438
34,condiHistory,BA*B**,hdegree,0,-2.157906818994316,15,2,438
35,condiHistory,BA****,hdegree,0,-0.6749371932617007,99,37,438
36,condiHistory,BBAA**,hdegree,0,3.3646516285359813,235,121,438
37,condiHistory,BBAB**,hdegree,0,0.9342651739966198,11,6,438
38,condiHistory,BBA***,hdegree,0,3.4861253619613777,246,127,438
39,condiHistory,BBBA**,hdegree,0,1.4975164741650189,159,74,438
40,condiHistory,BBBB**,hdegree,0,2.451519297740871,157,79,438
41,condiHistory,BBB***,hdegree,0,2.853623309097058,317,154,438
42,condiHistory,BB*A**,hdegree,0,3.5498291642450863,394,195,438
43,condiHistory,BB*B**,hdegree,0,2.608965345761088,168,85,438
44,condiHistory,BB****,hdegree,0,4.445665168007312,563,281,438
45,condiHistory,B*AA**,hdegree,0,2.8804676656839105,312,152,438
46,condiHistory,B*AB**,hdegree,0,0.4698746853491475,15,7,438
47,condiHistory,B*A***,hdegree,0,2.976456813874296,328,160,438
48,condiHistory,B*BA**,hdegree,0,1.558398029789426,165,77,438
49,condiHistory,B*BB**,hdegree,0,1.8237654374933183,168,80,438
50,condiHistory,B*B***,hdegree,0,2.454826560945872,334,158,438
51,condiHistory,B**A**,hdegree,0,3.2461592583096346,477,229,438
52,condiHistory,B**B**,hdegree,0,1.8819478491922228,183,87,438
53,condiHistory,B*****,hdegree,0,3.838786333582401,662,318,438
54,condiHistory,*AAA**,hdegree,0,-3.055781120318218,368,121,438
55,condiHistory,*AAB**,hdegree,0,-2.464434552377305,21,3,438
56,condiHistory,*AA***,hdegree,0,-3.4885002521632544,393,126,438
57,condiHistory,*ABA**,hdegree,0,-2.628115719718545,26,4,438
58,condiHistory,*ABB**,hdegree,0,-2.135846545674814,38,9,438
59,condiHistory,*AB***,hdegree,0,-3.320881961646944,64,13,438
60,condiHistory,*A*A**,hdegree,0,-3.6283584606190638,394,125,438
61,condiHistory,*A*B**,hdegree,0,-3.1843817366271847,59,12,438
62,condiHistory,*A****,hdegree,0,-4.477774178819061,457,139,438
63,condiHistory,*BAA**,hdegree,0,2.728210423056757,259,127,438
64,condiHistory,*BAB**,hdegree,0,0.9643316843231595,13,7,438
65,condiHistory,*BA***,hdegree,0,2.873036926907669,272,134,438
66,condiHistory,*BBA**,hdegree,0,1.195605510879103,168,76,438
67,condiHistory,*BBB**,hdegree,0,2.2716851510443714,175,86,438
68,condiHistory,*BB***,hdegree,0,2.472611956263365,345,163,438
69,condiHistory,*B*A**,hdegree,0,2.874722824294232,427,203,438
70,condiHistory,*B*B**,hdegree,0,2.4453184358156252,188,93,438
71,condiHistory,*B****,hdegree,0,3.7565218731857346,617,297,438
72,condiHistory,**AA**,hdegree,0,-0.5876067469918121,627,248,438
73,condiHistory,**AB**,hdegree,0,-1.3405204995880493,34,10,438
74,condiHistory,**A***,hdegree,0,-0.8443394988264087,665,260,438
75,condiHistory,**BA**,hdegree,0,0.15048440685692735,194,80,438
76,condiHistory,**BB**,hdegree,0,1.1569635750459155,213,95,438
77,condiHistory,**B***,hdegree,0,0.9572742217063362,409,176,438
78,condiHistory,***A**,hdegree,0,-0.44035898369554827,821,328,438
79,condiHistory,***B**,hdegree,0,0.5770350032051776,247,105,438
80,condiHistory,******,hdegree,0,0.0,1076,438,438
81,condiHistory,AAAA**,hdegree,1,3.3953373400034126,291,201,638
82,condiHistory,AAAB**,hdegree,1,2.4289136842940264,17,15,638
83,condiHistory,AAA***,hdegree,1,3.877758089436818,311,218,638
84,condiHistory,AABA**,hdegree,1,3.2503113451171046,20,19,638
85,condiHistory,AABB**,hdegree,1,1.1715390335352405,27,19,638
86,condiHistory,AAB***,hdegree,1,3.008221799510486,47,38,638
87,condiHistory,AA*A**,hdegree,1,4.108600009449766,311,220,638
88,condiHistory,AA*B**,hdegree,1,2.4274924179057473,44,34,638
89,condiHistory,AA****,hdegree,1,4.704236859057018,358,256,638
90,condiHistory,ABAA**,hdegree,1,1.5661917459938366,24,18,638
91,condiHistory,ABAB**,hdegree,1,-0.26752698998583163,2,1,638
92,condiHistory,ABA***,hdegree,1,1.4305497198242105,26,19,638
93,condiHistory,ABBA**,hdegree,1,1.1287152209907967,9,7,638
94,condiHistory,ABBB**,hdegree,1,0.15694916745835535,18,11,638
95,condiHistory,ABB***,hdegree,1,0.9223447830943097,28,19,638
96,condiHistory,AB*A**,hdegree,1,1.9251051085193067,33,25,638
97,condiHistory,AB*B**,hdegree,1,0.0642955914182458,20,12,638
98,condiHistory,AB****,hdegree,1,1.6568063900750054,54,38,638
99,condiHistory,A*AA**,hdegree,1,3.6957388332097034,315,219,638
100,condiHistory,A*AB**,hdegree,1,2.2107251173128017,19,16,638
101,condiHistory,A*A***,hdegree,1,4.122520135818255,337,237,638
102,condiHistory,A*BA**,hdegree,1,3.328028117295465,29,26,638
103,condiHistory,A*BB**,hdegree,1,1.0067336024698998,45,30,638
104,condiHistory,A*B***,hdegree,1,2.944938952788461,75,57,638
105,condiHistory,A**A**,hdegree,1,4.502818253699028,344,245,638
106,condiHistory,A**B**,hdegree,1,2.048712711172681,64,46,638
107,condiHistory,A*****,hdegree,1,4.984944834853064,412,294,638
108,condiHistory,BAAA**,hdegree,1,0.07976437505005353,77,46,638
109,condiHistory,BAAB**,hdegree,1,0.6393951028405965,4,3,638
110,condiHistory,BAA***,hdegree,1,0.08523262072295866,82,49,638
111,condiHistory,BABA**,hdegree,1,-0.46337033905143066,6,3,638
112,condiHistory,BABB**,hdegree,1,2.134322515931228,11,10,638
113,condiHistory,BAB***,hdegree,1,1.4415653184835342,17,13,638
114,condiHistory,BA*A**,hdegree,1,-0.04775747920117045,83,49,638
115,condiHistory,BA*B**,hdegree,1,2.157906818994317,15,13,638
116,condiHistory,BA****,hdegree,1,0.6749371932617028,99,62,638
117,condiHistory,BBAA**,hdegree,1,-3.364651628535981,235,114,638
118,condiHistory,BBAB**,hdegree,1,-0.9342651739966197,11,5,638
119,condiHistory,BBA***,hdegree,1,-3.4861253619613763,246,119,638
120,condiHistory,BBBA**,hdegree,1,-1.4975164741650173,159,85,638
121,condiHistory,BBBB**,hdegree,1,-2.4515192977408695,157,78,638
122,condiHistory,BBB***,hdegree,1,-2.8536233090970557,317,163,638
123,condiHistory,BB*A**,hdegree,1,-3.549829164245084,394,199,638
124,condiHistory,BB*B**,hdegree,1,-2.608965345761086,168,83,638
125,condiHistory,BB****,hdegree,1,-4.445665168007309,563,282,638
126,condiHistory,B*AA**,hdegree,1,-2.8804676656839105,312,160,638
127,condiHistory,B*AB**,hdegree,1,-0.469874685349147,15,8,638
128,condiHistory,B*A***,hdegree,1,-2.9764568138742935,328,168,638
129,condiHistory,B*BA**,hdegree,1,-1.5583980297894244,165,88,638
130,condiHistory,B*BB**,hdegree,1,-1.8237654374933163,168,88,638
131,condiHistory,B*B***,hdegree,1,-2.4548265609458677,334,176,638
132,condiHistory,B**A**,hdegree,1,-3.2461592583096346,477,248,638
133,condiHistory,B**B**,hdegree,1,-1.881947849192221,183,96,638
134,condiHistory,B*****,hdegree,1,-3.8387863335823984,662,344,638
135,condiHistory,*AAA**,hdegree,1,3.0557811203182226,368,247,638
136,condiHistory,*AAB**,hdegree,1,2.4644345523773046,21,18,638
137,condiHistory,*AA***,hdegree,1,3.4885002521632567,393,267,638
138,condiHistory,*ABA**,hdegree,1,2.628115719718545,26,22,638
