,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,condiHistory,AAAA**,Apuesto,Admin,-0.4662965874978519,291,18,74
1,condiHistory,AAAB**,Apuesto,Admin,-0.16210529716841812,17,1,74
2,condiHistory,AAA***,Apuesto,Admin,-0.5351841072275345,311,19,74
3,condiHistory,AABA**,Apuesto,Admin,-1.2153377753462749,20,0,74
4,condiHistory,AABB**,Apuesto,Admin,-0.6516273712832025,27,1,74
5,condiHistory,AAB***,Apuesto,Admin,-1.2866912673918,47,1,74
6,condiHistory,AA*A**,Apuesto,Admin,-0.7592534065959499,311,18,74
7,condiHistory,AA*B**,Apuesto,Admin,-0.6112136076535571,44,2,74
8,condiHistory,AA****,Apuesto,Admin,-0.9650279368155797,358,20,74
9,condiHistory,ABAA**,Apuesto,Admin,-0.5247382209253497,24,1,74
10,condiHistory,ABAB**,Apuesto,Admin,2.409812527557872,2,1,74
11,condiHistory,ABA***,Apuesto,Admin,0.16420956566473052,26,2,74
12,condiHistory,ABBA**,Apuesto,Admin,-0.8152733643892917,9,0,74
13,condiHistory,ABBB**,Apuesto,Admin,-0.22159195655704578,18,1,74
14,condiHistory,ABB***,Apuesto,Admin,-0.6912427704048173,28,1,74
15,condiHistory,AB*A**,Apuesto,Admin,-0.8732608871098226,33,1,74
16,condiHistory,AB*B**,Apuesto,Admin,0.5518290439410114,20,2,74
17,condiHistory,AB****,Apuesto,Admin,-0.38380852730539866,54,3,74
18,condiHistory,A*AA**,Apuesto,Admin,-0.5930225234781222,315,19,74
19,condiHistory,A*AB**,Apuesto,Admin,0.6285101655341552,19,2,74
20,condiHistory,A*A***,Apuesto,Admin,-0.4685136189591583,337,21,74
21,condiHistory,A*BA**,Apuesto,Admin,-1.4634604767011192,29,0,74
22,condiHistory,A*BB**,Apuesto,Admin,-0.6448954501612215,45,2,74
23,condiHistory,A*B***,Apuesto,Admin,-1.4409304604904476,75,2,74
24,condiHistory,A**A**,Apuesto,Admin,-0.9923894082400572,344,19,74
25,condiHistory,A**B**,Apuesto,Admin,-0.1983097372838817,64,4,74
26,condiHistory,A*****,Apuesto,Admin,-1.0385168891385541,412,23,74
27,condiHistory,BAAA**,Apuesto,Admin,-0.5834017003320766,77,4,74
28,condiHistory,BAAB**,Apuesto,Admin,-0.5435155762595277,4,0,74
29,condiHistory,BAA***,Apuesto,Admin,-0.7153884661761911,82,4,74
30,condiHistory,BABA**,Apuesto,Admin,0.9475273017852027,6,1,74
31,condiHistory,BABB**,Apuesto,Admin,1.4815286359428614,11,2,74
32,condiHistory,BAB***,Apuesto,Admin,1.7546562385812297,17,3,74
33,condiHistory,BA*A**,Apuesto,Admin,-0.30716109314864765,83,5,74
