,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,condiHistory,AAAA**,obesity,1,-4.254971076497166,291,32,228
1,condiHistory,AAAB**,obesity,1,-1.5444299714640448,17,1,228
2,condiHistory,AAA***,obesity,1,-4.565178023005567,311,33,228
3,condiHistory,AABA**,obesity,1,-0.1301846014453789,20,4,228
4,condiHistory,AABB**,obesity,1,-2.223394262256481,27,1,228
5,condiHistory,AAB***,obesity,1,-1.7701152445249082,47,5,228
6,condiHistory,AA*A**,obesity,1,-4.148895688026415,311,36,228
7,condiHistory,AA*B**,obesity,1,-2.701683868233345,44,2,228
8,condiHistory,AA****,obesity,1,-4.896339454255419,358,38,228
9,condiHistory,ABAA**,obesity,1,-0.04270874962456844,24,5,228
10,condiHistory,ABAB**,obesity,1,-0.7333047450116519,2,0,228
11,condiHistory,ABA***,obesity,1,-0.24441538234766255,26,5,228
12,condiHistory,ABBA**,obesity,1,-0.7398832802412791,9,1,228
13,condiHistory,ABBB**,obesity,1,-1.0463529694903104,18,2,228
14,condiHistory,ABB***,obesity,1,-1.3564151418973442,28,3,228
15,condiHistory,AB*A**,obesity,1,-0.42281358537408525,33,6,228
16,condiHistory,AB*B**,obesity,1,-1.2245489073455977,20,2,228
17,condiHistory,AB****,obesity,1,-1.1463275986188584,54,8,228
18,condiHistory,A*AA**,obesity,1,-4.1014546306490685,315,37,228
19,condiHistory,A*AB**,obesity,1,-1.6987999757225507,19,1,228
20,condiHistory,A*A***,obesity,1,-4.4534279756372035,337,38,228
21,condiHistory,A*BA**,obesity,1,-0.520291054773846,29,5,228
22,condiHistory,A*BB**,obesity,1,-2.3840055139685057,45,3,228
23,condiHistory,A*B***,obesity,1,-2.230046938001815,75,8,228
24,condiHistory,A**A**,obesity,1,-4.075833590706924,344,42,228
25,condiHistory,A**B**,obesity,1,-2.9246615729209573,64,4,228
26,condiHistory,A*****,obesity,1,-4.979205980738553,412,46,228
27,condiHistory,BAAA**,obesity,1,0.19075112242330947,77,17,228
28,condiHistory,BAAB**,obesity,1,0.18648697432310934,4,1,228
29,condiHistory,BAA***,obesity,1,0.4390046824504003,82,19,228
30,condiHistory,BABA**,obesity,1,1.7269190065586473,6,3,228
31,condiHistory,BABB**,obesity,1,-0.24411153733275895,11,2,228
32,condiHistory,BAB***,obesity,1,0.8295795275292586,17,5,228
33,condiHistory,BA*A**,obesity,1,0.6480377303685767,83,20,228
34,condiHistory,BA*B**,obesity,1,-0.1127431720332505,15,3,228
35,condiHistory,BA****,obesity,1,0.7433059170469409,99,24,228
36,condiHistory,BBAA**,obesity,1,0.35189686997847824,235,52,228
