,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,condiHistory,AAAA**,id_sexo,F,-3.740931784602217,291,156,690
1,condiHistory,AAAB**,id_sexo,F,-0.455857470026141,17,10,690
2,condiHistory,AAA***,id_sexo,F,-3.7162155221368804,311,168,690
3,condiHistory,AABA**,id_sexo,F,0.08145629522534782,20,13,690
4,condiHistory,AABB**,id_sexo,F,-0.9285371139247051,27,15,690
5,condiHistory,AAB***,id_sexo,F,-0.6506361547435037,47,28,690
6,condiHistory,AA*A**,id_sexo,F,-3.597989281766138,311,169,690
7,condiHistory,AA*B**,id_sexo,F,-1.0107216367575713,44,25,690
8,condiHistory,AA****,id_sexo,F,-3.6994411460800887,358,196,690
9,condiHistory,ABAA**,id_sexo,F,0.6850528368687303,24,17,690
10,condiHistory,ABAB**,id_sexo,F,1.0577526079902355,2,2,690
11,condiHistory,ABA***,id_sexo,F,0.9515452657653287,26,19,690
12,condiHistory,ABBA**,id_sexo,F,0.15888966693799822,9,6,690
13,condiHistory,ABBB**,id_sexo,F,-1.7409986794727021,18,8,690
14,condiHistory,ABB***,id_sexo,F,-1.1644742960612593,28,15,690
15,condiHistory,AB*A**,id_sexo,F,0.6671924445758709,33,23,690
16,condiHistory,AB*B**,id_sexo,F,-1.3171656249205164,20,10,690
17,condiHistory,AB****,id_sexo,F,-0.1782508536271213,54,34,690
18,condiHistory,A*AA**,id_sexo,F,-3.4065044289118167,315,173,690
19,condiHistory,A*AB**,id_sexo,F,-0.08801773573068275,19,12,690
20,condiHistory,A*A***,id_sexo,F,-3.3056804674084086,337,187,690
21,condiHistory,A*BA**,id_sexo,F,0.156160982545641,29,19,690
22,condiHistory,A*BB**,id_sexo,F,-1.820346001809012,45,23,690
23,condiHistory,A*B***,id_sexo,F,-1.2265639659121044,75,43,690
24,condiHistory,A**A**,id_sexo,F,-3.214414273688235,344,192,690
25,condiHistory,A**B**,id_sexo,F,-1.5743640778917536,64,35,690
26,condiHistory,A*****,id_sexo,F,-3.5130231601278155,412,230,690
27,condiHistory,BAAA**,id_sexo,F,1.3359549527840466,77,55,690
28,condiHistory,BAAB**,id_sexo,F,0.453416854432825,4,3,690
29,condiHistory,BAA***,id_sexo,F,1.4773236787347805,82,59,690
30,condiHistory,BABA**,id_sexo,F,-0.7214413247393554,6,3,690
31,condiHistory,BABB**,id_sexo,F,-1.9197868776794111,11,4,690
32,condiHistory,BAB***,id_sexo,F,-1.9728759372883924,17,7,690
33,condiHistory,BA*A**,id_sexo,F,1.0927903619935373,83,58,690
34,condiHistory,BA*B**,id_sexo,F,-1.4098638062030142,15,7,690
35,condiHistory,BA****,id_sexo,F,0.5269774082978775,99,66,690
36,condiHistory,BBAA**,id_sexo,F,0.5852330742829065,235,155,690
37,condiHistory,BBAB**,id_sexo,F,-0.6625192694121891,11,6,690
38,condiHistory,BBA***,id_sexo,F,0.4319024550547024,246,161,690
39,condiHistory,BBBA**,id_sexo,F,1.6599209761637055,159,112,690
40,condiHistory,BBBB**,id_sexo,F,3.0486441049565416,157,119,690
41,condiHistory,BBB***,id_sexo,F,3.3630920885596134,317,232,690
42,condiHistory,BB*A**,id_sexo,F,1.5064541079188105,394,267,690
43,condiHistory,BB*B**,id_sexo,F,2.777620258927892,168,125,690
44,condiHistory,BB****,id_sexo,F,2.8090585862846673,563,393,690
45,condiHistory,B*AA**,id_sexo,F,1.1715902747175662,312,210,690
46,condiHistory,B*AB**,id_sexo,F,-0.3332041500820469,15,9,690
47,condiHistory,B*A***,id_sexo,F,1.1127003374016324,328,220,690
48,condiHistory,B*BA**,id_sexo,F,1.4918876601459083,165,115,690
49,condiHistory,B*BB**,id_sexo,F,2.455906653049913,168,123,690
50,condiHistory,B*B***,id_sexo,F,2.8312934759782005,334,239,690
51,condiHistory,B**A**,id_sexo,F,1.8249749367906658,477,325,690
52,condiHistory,B**B**,id_sexo,F,2.257707005660803,183,132,690
53,condiHistory,B*****,id_sexo,F,2.794303269293833,662,459,690
54,condiHistory,*AAA**,id_sexo,F,-2.7155123337870815,368,211,690
55,condiHistory,*AAB**,id_sexo,F,-0.21226376933602173,21,13,690
56,condiHistory,*AA***,id_sexo,F,-2.631045241151721,393,227,690
57,condiHistory,*ABA**,id_sexo,F,-0.27512730527719564,26,16,690
58,condiHistory,*ABB**,id_sexo,F,-1.8155875188481778,38,19,690
59,condiHistory,*AB***,id_sexo,F,-1.5743640778917536,64,35,690
60,condiHistory,*A*A**,id_sexo,F,-2.6950612371320997,394,227,690
61,condiHistory,*A*B**,id_sexo,F,-1.583715283420822,59,32,690
62,condiHistory,*A****,id_sexo,F,-3.0290340610960422,457,262,690
63,condiHistory,*BAA**,id_sexo,F,0.7659943830749574,259,172,690
64,condiHistory,*BAB**,id_sexo,F,-0.19454438325108642,13,8,690
65,condiHistory,*BA***,id_sexo,F,0.7049342319991863,272,180,690
66,condiHistory,*BBA**,id_sexo,F,1.6516226383549688,168,118,690
67,condiHistory,*BBB**,id_sexo,F,2.3292415416309624,175,127,690
68,condiHistory,*BB***,id_sexo,F,2.8919901800370025,345,247,690
69,condiHistory,*B*A**,id_sexo,F,1.6325505437193422,427,290,690
70,condiHistory,*B*B**,id_sexo,F,2.1961090018927107,188,135,690
71,condiHistory,*B****,id_sexo,F,2.6305862414840178,617,427,690
72,condiHistory,**AA**,id_sexo,F,-1.5880629555271462,627,383,690
73,condiHistory,**AB**,id_sexo,F,-0.28711513482460177,34,21,690
74,condiHistory,**A***,id_sexo,F,-1.5717777560568154,665,407,690
75,condiHistory,**BA**,id_sexo,F,1.436246334117225,194,134,690
