,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,ejerHistory,AAAA**,academic,0,-4.037503857795002,211,121,754
1,ejerHistory,AAAB**,academic,0,-1.2722481587262506,41,25,754
2,ejerHistory,AAA***,academic,0,-4.158248993716752,253,147,754
3,ejerHistory,AABA**,academic,0,0.2717281891316076,22,16,754
4,ejerHistory,AABB**,academic,0,0.5189689589256601,49,36,754
5,ejerHistory,AAB***,academic,0,0.5823894691253412,71,52,754
6,ejerHistory,AA*A**,academic,0,-3.7586703597270454,233,137,754
7,ejerHistory,AA*B**,academic,0,-0.47577313925151593,90,61,754
8,ejerHistory,AA****,academic,0,-3.4018721291413705,324,199,754
9,ejerHistory,ABAA**,academic,0,-0.010268485019817256,40,28,754
10,ejerHistory,ABAB**,academic,0,1.7505523551811049,13,12,754
11,ejerHistory,ABA***,academic,0,0.858058843950116,53,40,754
12,ejerHistory,ABBA**,academic,0,-0.8881676884546383,12,7,754
13,ejerHistory,ABBB**,academic,0,1.85335113157745,33,28,754
14,ejerHistory,ABB***,academic,0,1.212486500728639,46,36,754
15,ejerHistory,AB*A**,academic,0,-0.4356680137974827,52,35,754
16,ejerHistory,AB*B**,academic,0,2.5003793682350692,46,40,754
17,ejerHistory,AB****,academic,0,1.4543144650681377,99,76,754
18,ejerHistory,A*AA**,academic,0,-3.705936419538263,251,149,754
19,ejerHistory,A*AB**,academic,0,-0.24966515979977844,54,37,754
20,ejerHistory,A*A***,academic,0,-3.423925608397803,306,187,754
21,ejerHistory,A*BA**,academic,0,-0.30907216795783854,34,23,754
22,ejerHistory,A*BB**,academic,0,1.5769041488604802,82,64,754
23,ejerHistory,A*B***,academic,0,1.2139414510205517,117,88,754
24,ejerHistory,A**A**,academic,0,-3.5846146189694843,285,172,754
25,ejerHistory,A**B**,academic,0,1.0671343096382166,136,101,754
26,ejerHistory,A*****,academic,0,-2.2392974727594193,424,276,754
27,ejerHistory,BAAA**,academic,0,-0.3922935911538418,75,51,754
28,ejerHistory,BAAB**,academic,0,0.8741069862627452,27,21,754
29,ejerHistory,BAA***,academic,0,0.17717461623934844,103,73,754
30,ejerHistory,BABA**,academic,0,-0.6720770135325521,13,8,754
31,ejerHistory,BABB**,academic,0,-0.22649081045403557,25,17,754
32,ejerHistory,BAB***,academic,0,-0.5768045728125951,38,25,754
33,ejerHistory,BA*A**,academic,0,-0.6204748777304538,88,59,754
34,ejerHistory,BA*B**,academic,0,0.4728179994701371,52,38,754
35,ejerHistory,BA****,academic,0,-0.14801125017621536,141,98,754
36,ejerHistory,BBAA**,academic,0,0.07950702352077346,125,88,754
37,ejerHistory,BBAB**,academic,0,-0.40758524058731455,30,20,754
38,ejerHistory,BBA***,academic,0,-0.05524627604309973,156,109,754
39,ejerHistory,BBBA**,academic,0,0.9302432227848175,94,70,754
40,ejerHistory,BBBB**,academic,0,2.3032868065775953,257,197,754
41,ejerHistory,BBB***,academic,0,2.5148919076572596,353,269,754
42,ejerHistory,BB*A**,academic,0,0.6695177708542719,219,158,754
43,ejerHistory,BB*B**,academic,0,2.0478075623579115,287,217,754
44,ejerHistory,BB****,academic,0,2.0637580270487708,509,378,754
45,ejerHistory,B*AA**,academic,0,-0.17737396084617366,200,139,754
46,ejerHistory,B*AB**,academic,0,0.3059082752630868,57,41,754
47,ejerHistory,B*A***,academic,0,0.068853996302612,259,182,754
48,ejerHistory,B*BA**,academic,0,0.6975670587422987,108,79,754
49,ejerHistory,B*BB**,academic,0,2.1313851088721822,282,214,754
50,ejerHistory,B*B***,academic,0,2.239930531906245,392,295,754
51,ejerHistory,B**A**,academic,0,0.2701368749128504,308,218,754
52,ejerHistory,B**B**,academic,0,2.0693948104517212,339,255,754
53,ejerHistory,B*****,academic,0,1.781579214730583,651,477,754
54,ejerHistory,*AAA**,academic,0,-3.668826932962042,286,172,754
55,ejerHistory,*AAB**,academic,0,-0.43709405167803045,68,46,754
56,ejerHistory,*AA***,academic,0,-3.4101654618949175,356,220,754
57,ejerHistory,*ABA**,academic,0,-0.1941640401710938,35,24,754
58,ejerHistory,*ABB**,academic,0,0.29065730283284447,74,53,754
59,ejerHistory,*AB***,academic,0,0.12946350822120892,109,77,754
60,ejerHistory,*A*A**,academic,0,-3.5271553594990603,321,196,754
61,ejerHistory,*A*B**,academic,0,-0.09264908161419735,142,99,754
62,ejerHistory,*A****,academic,0,-2.921148554901527,465,297,754
63,ejerHistory,*BAA**,academic,0,0.06414612890780137,165,116,754
64,ejerHistory,*BAB**,academic,0,0.6220828389184957,43,32,754
65,ejerHistory,*BA***,academic,0,0.38436752917220507,209,149,754
66,ejerHistory,*BBA**,academic,0,0.5771710387534833,106,77,754
67,ejerHistory,*BBB**,academic,0,2.793476354540109,290,225,754
68,ejerHistory,*BB***,academic,0,2.777174273267713,399,305,754
69,ejerHistory,*B*A**,academic,0,0.411024151308197,271,193,754
70,ejerHistory,*B*B**,academic,0,2.8304276695280963,333,257,754
71,ejerHistory,*B****,academic,0,2.4751237319663817,608,454,754
72,ejerHistory,**AA**,academic,0,-2.882808852321322,451,288,754
73,ejerHistory,**AB**,academic,0,0.045075521422418434,111,78,754
74,ejerHistory,**A***,academic,0,-2.473151343506351,565,369,754
75,ejerHistory,**BA**,academic,0,0.4571142188465168,142,102,754
76,ejerHistory,**BB**,academic,0,2.6244605909568532,364,278,754
77,ejerHistory,**B***,academic,0,2.5477183698925665,509,383,754
78,ejerHistory,***A**,academic,0,-2.290379140998244,593,390,754
79,ejerHistory,***B**,academic,0,2.3192286651697533,475,356,754
80,ejerHistory,******,academic,0,0.0,1076,754,754
81,ejerHistory,AAAA**,academic,1,4.037503857795004,211,90,322
82,ejerHistory,AAAB**,academic,1,1.2722481587262506,41,16,322
83,ejerHistory,AAA***,academic,1,4.158248993716752,253,106,322
84,ejerHistory,AABA**,academic,1,-0.2717281891316076,22,6,322
85,ejerHistory,AABB**,academic,1,-0.5189689589256592,49,13,322
86,ejerHistory,AAB***,academic,1,-0.5823894691253412,71,19,322
87,ejerHistory,AA*A**,academic,1,3.7586703597270454,233,96,322
88,ejerHistory,AA*B**,academic,1,0.47577313925151704,90,29,322
89,ejerHistory,AA****,academic,1,3.4018721291413683,324,125,322
90,ejerHistory,ABAA**,academic,1,0.01026848501981649,40,12,322
91,ejerHistory,ABAB**,academic,1,-1.7505523551811044,13,1,322
92,ejerHistory,ABA***,academic,1,-0.8580588439501151,53,13,322
93,ejerHistory,ABBA**,academic,1,0.8881676884546387,12,5,322
94,ejerHistory,ABBB**,academic,1,-1.8533511315774496,33,5,322
95,ejerHistory,ABB***,academic,1,-1.2124865007286385,46,10,322
96,ejerHistory,AB*A**,academic,1,0.43566801379748354,52,17,322
97,ejerHistory,AB*B**,academic,1,-2.5003793682350692,46,6,322
98,ejerHistory,AB****,academic,1,-1.4543144650681388,99,23,322
99,ejerHistory,A*AA**,academic,1,3.7059364195382645,251,102,322
100,ejerHistory,A*AB**,academic,1,0.24966515979977932,54,17,322
101,ejerHistory,A*A***,academic,1,3.423925608397805,306,119,322
102,ejerHistory,A*BA**,academic,1,0.30907216795783926,34,11,322
103,ejerHistory,A*BB**,academic,1,-1.5769041488604798,82,18,322
104,ejerHistory,A*B***,academic,1,-1.2139414510205517,117,29,322
105,ejerHistory,A**A**,academic,1,3.5846146189694847,285,113,322
106,ejerHistory,A**B**,academic,1,-1.0671343096382166,136,35,322
107,ejerHistory,A*****,academic,1,2.2392974727594166,424,148,322
108,ejerHistory,BAAA**,academic,1,0.3922935911538428,75,24,322
109,ejerHistory,BAAB**,academic,1,-0.8741069862627452,27,6,322
110,ejerHistory,BAA***,academic,1,-0.17717461623934844,103,30,322
111,ejerHistory,BABA**,academic,1,0.6720770135325526,13,5,322
112,ejerHistory,BABB**,academic,1,0.22649081045403618,25,8,322
113,ejerHistory,BAB***,academic,1,0.5768045728125959,38,13,322
114,ejerHistory,BA*A**,academic,1,0.6204748777304527,88,29,322
115,ejerHistory,BA*B**,academic,1,-0.472817999470138,52,14,322
116,ejerHistory,BA****,academic,1,0.14801125017621536,141,43,322
117,ejerHistory,BBAA**,academic,1,-0.07950702352077482,125,37,322
118,ejerHistory,BBAB**,academic,1,0.40758524058731394,30,10,322
119,ejerHistory,BBA***,academic,1,0.05524627604309822,156,47,322
120,ejerHistory,BBBA**,academic,1,-0.9302432227848187,94,24,322
121,ejerHistory,BBBB**,academic,1,-2.303286806577593,257,60,322
122,ejerHistory,BBB***,academic,1,-2.514891907657259,353,84,322
123,ejerHistory,BB*A**,academic,1,-0.6695177708542738,219,61,322
124,ejerHistory,BB*B**,academic,1,-2.0478075623579115,287,70,322
125,ejerHistory,BB****,academic,1,-2.063758027048768,509,131,322
126,ejerHistory,B*AA**,academic,1,0.1773739608461719,200,61,322
127,ejerHistory,B*AB**,academic,1,-0.3059082752630868,57,16,322
128,ejerHistory,B*A***,academic,1,-0.06885399630261006,259,77,322
129,ejerHistory,B*BA**,academic,1,-0.6975670587422975,108,29,322
130,ejerHistory,B*BB**,academic,1,-2.131385108872183,282,68,322
131,ejerHistory,B*B***,academic,1,-2.239930531906246,392,97,322
132,ejerHistory,B**A**,academic,1,-0.27013687491285254,308,90,322
133,ejerHistory,B**B**,academic,1,-2.0693948104517235,339,84,322
134,ejerHistory,B*****,academic,1,-1.7815792147305798,651,174,322
135,ejerHistory,*AAA**,academic,1,3.6688269329620398,286,114,322
136,ejerHistory,*AAB**,academic,1,0.43709405167803145,68,22,322
137,ejerHistory,*AA***,academic,1,3.4101654618949153,356,136,322
138,ejerHistory,*ABA**,academic,1,0.1941640401710938,35,11,322
139,ejerHistory,*ABB**,academic,1,-0.2906573028328444,74,21,322
140,ejerHistory,*AB***,academic,1,-0.12946350822120892,109,32,322
141,ejerHistory,*A*A**,academic,1,3.5271553594990577,321,125,322
