,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,ejerHistory,AAAA**,AedadC,2,-0.1531460938287081,211,94,485
1,ejerHistory,AAAB**,AedadC,2,-1.0924341902626402,41,15,485
2,ejerHistory,AAA***,AedadC,2,-0.6365822676641646,253,109,485
3,ejerHistory,AABA**,AedadC,2,-1.2496171850406623,22,7,485
4,ejerHistory,AABB**,AedadC,2,0.549406378088456,49,24,485
5,ejerHistory,AAB***,AedadC,2,-0.23918154152178062,71,31,485
6,ejerHistory,AA*A**,AedadC,2,-0.5297183474937402,233,101,485
7,ejerHistory,AA*B**,AedadC,2,-0.3319492607620633,90,39,485
8,ejerHistory,AA****,AedadC,2,-0.6744911284610855,324,140,485
9,ejerHistory,ABAA**,AedadC,2,-3.82273241219231,40,6,485
10,ejerHistory,ABAB**,AedadC,2,0.07822411554148728,13,6,485
11,ejerHistory,ABA***,AedadC,2,-3.282236383735892,53,12,485
12,ejerHistory,ABBA**,AedadC,2,0.3429271600543414,12,6,485
13,ejerHistory,ABBB**,AedadC,2,-1.7053907884765578,33,10,485
14,ejerHistory,ABB***,AedadC,2,-1.4028634975506595,46,16,485
15,ejerHistory,AB*A**,AedadC,2,-3.188021238690799,52,12,485
16,ejerHistory,AB*B**,AedadC,2,-1.4028634975506595,46,16,485
17,ejerHistory,AB****,AedadC,2,-3.357803673885153,99,28,485
18,ejerHistory,A*AA**,AedadC,2,-1.6664578841181672,251,100,485
19,ejerHistory,A*AB**,AedadC,2,-0.9135168935607171,54,21,485
20,ejerHistory,A*A***,AedadC,2,-1.9448226744776,306,121,485
21,ejerHistory,A*BA**,AedadC,2,-0.8014625559805024,34,13,485
22,ejerHistory,A*BB**,AedadC,2,-0.6571647129121783,82,34,485
23,ejerHistory,A*B***,AedadC,2,-1.0659546693986723,117,47,485
24,ejerHistory,A**A**,AedadC,2,-1.840721041708815,285,113,485
25,ejerHistory,A**B**,AedadC,2,-1.0859144943141092,136,55,485
26,ejerHistory,A*****,AedadC,2,-2.158521715712799,424,169,485
27,ejerHistory,BAAA**,AedadC,2,-0.6511302491849408,75,31,485
28,ejerHistory,BAAB**,AedadC,2,0.32099995170705103,27,13,485
29,ejerHistory,BAA***,AedadC,2,-0.4805334780741727,103,44,485
30,ejerHistory,BABA**,AedadC,2,-2.151422197641028,13,2,485
31,ejerHistory,BABB**,AedadC,2,-0.5099152931165801,25,10,485
32,ejerHistory,BAB***,AedadC,2,-1.6719577091001756,38,12,485
33,ejerHistory,BA*A**,AedadC,2,-1.4280201483606803,88,33,485
34,ejerHistory,BA*B**,AedadC,2,-0.1222575580648405,52,23,485
35,ejerHistory,BA****,AedadC,2,-1.278683194860525,141,56,485
36,ejerHistory,BBAA**,AedadC,2,0.11811357033406834,125,57,485
37,ejerHistory,BBAB**,AedadC,2,-0.19165099505827454,30,13,485
38,ejerHistory,BBA***,AedadC,2,-0.05084543978840732,156,70,485
39,ejerHistory,BBBA**,AedadC,2,1.1670802841644194,94,48,485
40,ejerHistory,BBBB**,AedadC,2,3.154083071237995,257,141,485
41,ejerHistory,BBB***,AedadC,2,3.1970584275182437,353,189,485
42,ejerHistory,BB*A**,AedadC,2,0.8538491172679008,219,105,485
43,ejerHistory,BB*B**,AedadC,2,2.9227238736566155,287,154,485
44,ejerHistory,BB****,AedadC,2,2.634286618114955,509,259,485
45,ejerHistory,B*AA**,AedadC,2,-0.3053572404410542,200,88,485
46,ejerHistory,B*AB**,AedadC,2,0.0818890732551343,57,26,485
47,ejerHistory,B*A***,AedadC,2,-0.3424953801175811,259,114,485
48,ejerHistory,B*BA**,AedadC,2,0.25521832666518107,108,50,485
49,ejerHistory,B*BB**,AedadC,2,2.8592052941173596,282,151,485
50,ejerHistory,B*B***,AedadC,2,2.4675370677756523,392,201,485
51,ejerHistory,B**A**,AedadC,2,-0.09493467902608506,308,138,485
52,ejerHistory,B**B**,AedadC,2,2.641353233958873,339,177,485
53,ejerHistory,B*****,AedadC,2,1.6987382615353372,651,315,485
54,ejerHistory,*AAA**,AedadC,2,-0.46498021024873587,286,125,485
55,ejerHistory,*AAB**,AedadC,2,-0.6459969314904128,68,28,485
56,ejerHistory,*AA***,AedadC,2,-0.7951225878463621,356,153,485
57,ejerHistory,*ABA**,AedadC,2,-2.301910671679959,35,9,485
58,ejerHistory,*ABB**,AedadC,2,0.15068811522421505,74,34,485
59,ejerHistory,*AB***,AedadC,2,-1.1802353691124123,109,43,485
60,ejerHistory,*A*A**,AedadC,2,-1.1989980519987584,321,134,485
61,ejerHistory,*A*B**,AedadC,2,-0.33825377988940575,142,62,485
62,ejerHistory,*A****,AedadC,2,-1.2671369456139232,465,196,485
63,ejerHistory,*BAA**,AedadC,2,-1.7793786616255247,165,63,485
64,ejerHistory,*BAB**,AedadC,2,-0.11706928996888218,43,19,485
65,ejerHistory,*BA***,AedadC,2,-1.696782558958384,209,82,485
66,ejerHistory,*BBA**,AedadC,2,1.2144179160347526,106,54,485
67,ejerHistory,*BBB**,AedadC,2,2.3939250112197237,290,151,485
68,ejerHistory,*BB***,AedadC,2,2.530795035394653,399,205,485
69,ejerHistory,*B*A**,AedadC,2,-0.6289203152073777,271,117,485
70,ejerHistory,*B*B**,AedadC,2,2.1919535778808763,333,170,485
71,ejerHistory,*B****,AedadC,2,1.0553513412098428,608,287,485
72,ejerHistory,**AA**,AedadC,2,-1.4465512061154064,451,188,485
73,ejerHistory,**AB**,AedadC,2,-0.5784834980101826,111,47,485
74,ejerHistory,**A***,AedadC,2,-1.6631424137752793,565,235,485
75,ejerHistory,**BA**,AedadC,2,-0.16959712226150828,142,63,485
76,ejerHistory,**BB**,AedadC,2,2.20471818673938,364,185,485
77,ejerHistory,**B***,AedadC,2,1.6543872997200144,509,248,485
78,ejerHistory,***A**,AedadC,2,-1.3445135537376764,593,251,485
79,ejerHistory,***B**,AedadC,2,1.6503544017545138,475,232,485
80,ejerHistory,******,AedadC,2,0.0,1076,485,485
81,ejerHistory,AAAA**,AedadC,1,0.13822788725200746,211,68,342
82,ejerHistory,AAAB**,AedadC,1,0.6601960847177459,41,15,342
83,ejerHistory,AAA***,AedadC,1,0.3490886928872558,253,83,342
84,ejerHistory,AABA**,AedadC,1,1.3770068146716412,22,10,342
85,ejerHistory,AABB**,AedadC,1,0.7441858093520014,49,18,342
86,ejerHistory,AAB***,AedadC,1,1.3847410079901414,71,28,342
87,ejerHistory,AA*A**,AedadC,1,0.5546660963433334,233,78,342
88,ejerHistory,AA*B**,AedadC,1,0.994706899169633,90,33,342
89,ejerHistory,AA****,AedadC,1,0.9567017058668259,324,111,342
90,ejerHistory,ABAA**,AedadC,1,2.134580414334836,40,19,342
91,ejerHistory,ABAB**,AedadC,1,-0.0786059797679565,13,4,342
92,ejerHistory,ABA***,AedadC,1,1.8154745225779527,53,23,342
93,ejerHistory,ABBA**,AedadC,1,-0.5047221915612876,12,3,342
94,ejerHistory,ABBB**,AedadC,1,0.5649402116836068,33,12,342
95,ejerHistory,ABB***,AedadC,1,0.1200660337044168,46,15,342
96,ejerHistory,AB*A**,AedadC,1,1.6296901720905894,52,22,342
97,ejerHistory,AB*B**,AedadC,1,0.4367107696503793,46,16,342
98,ejerHistory,AB****,AedadC,1,1.4101867986099432,99,38,342
99,ejerHistory,A*AA**,AedadC,1,0.9788656193568819,251,87,342
100,ejerHistory,A*AB**,AedadC,1,0.5366967647748888,54,19,342
101,ejerHistory,A*A***,AedadC,1,1.0729780168121963,306,106,342
102,ejerHistory,A*BA**,AedadC,1,0.8078141598288338,34,13,342
103,ejerHistory,A*BB**,AedadC,1,0.9336582568334532,82,30,342
104,ejerHistory,A*B***,AedadC,1,1.1539948297389664,117,43,342
105,ejerHistory,A**A**,AedadC,1,1.1976390066427436,285,100,342
106,ejerHistory,A**B**,AedadC,1,1.0631655849272703,136,49,342
107,ejerHistory,A*****,AedadC,1,1.4845722774936467,424,149,342
108,ejerHistory,BAAA**,AedadC,1,1.7759768073841462,75,31,342
109,ejerHistory,BAAB**,AedadC,1,-0.6537573592369191,27,7,342
110,ejerHistory,BAA***,AedadC,1,1.11349986749705,103,38,342
111,ejerHistory,BABA**,AedadC,1,1.1126621079830454,13,6,342
112,ejerHistory,BABB**,AedadC,1,0.4526702647230791,25,9,342
113,ejerHistory,BAB***,AedadC,1,1.017957522514196,38,15,342
114,ejerHistory,BA*A**,AedadC,1,2.0672123317907403,88,37,342
115,ejerHistory,BA*B**,AedadC,1,-0.157211959535913,52,16,342
116,ejerHistory,BA****,AedadC,1,1.4801578807782667,141,53,342
117,ejerHistory,BBAA**,AedadC,1,-0.1403157611789272,125,39,342
118,ejerHistory,BBAB**,AedadC,1,-0.6019886909851557,30,8,342
119,ejerHistory,BBA***,AedadC,1,-0.4442438392586776,156,47,342
120,ejerHistory,BBBA**,AedadC,1,-0.1943331921447174,94,29,342
121,ejerHistory,BBBB**,AedadC,1,-2.3692513875181627,257,64,342
122,ejerHistory,BBB***,AedadC,1,-2.1945214867075378,353,93,342
123,ejerHistory,BB*A**,AedadC,1,-0.23332590700028302,219,68,342
124,ejerHistory,BB*B**,AedadC,1,-2.4366351362406795,287,72,342
125,ejerHistory,BB****,AedadC,1,-2.0734834618308398,509,140,342
126,ejerHistory,B*AA**,AedadC,1,0.9766298940406591,200,70,342
127,ejerHistory,B*AB**,AedadC,1,-0.8866751711724004,57,15,342
128,ejerHistory,B*A***,AedadC,1,0.3574234244519287,259,85,342
129,ejerHistory,B*BA**,AedadC,1,0.1390482749963358,108,35,342
130,ejerHistory,B*BB**,AedadC,1,-2.1270139290119254,282,73,342
131,ejerHistory,B*B***,AedadC,1,-1.8000313158536392,392,108,342
132,ejerHistory,B**A**,AedadC,1,0.8693291393652008,308,105,342
133,ejerHistory,B**B**,AedadC,1,-2.303551904037134,339,88,342
134,ejerHistory,B*****,AedadC,1,-1.1713488392549603,651,193,342
135,ejerHistory,*AAA**,AedadC,1,1.0281909269205192,286,99,342
136,ejerHistory,*AAB**,AedadC,1,0.10068801782502047,68,22,342
137,ejerHistory,*AA***,AedadC,1,0.8932276179206643,356,121,342
138,ejerHistory,*ABA**,AedadC,1,1.7698366369956278,35,16,342
139,ejerHistory,*ABB**,AedadC,1,0.868678148884785,74,27,342
140,ejerHistory,*AB***,AedadC,1,1.7186417583893936,109,43,342
141,ejerHistory,*A*A**,AedadC,1,1.554925532121488,321,115,342
142,ejerHistory,*A*B**,AedadC,1,0.6967678051415671,142,49,342
143,ejerHistory,*A****,AedadC,1,1.6136505198337339,465,164,342
144,ejerHistory,*BAA**,AedadC,1,0.9288655492646911,165,58,342
145,ejerHistory,*BAB**,AedadC,1,-0.5460433569445254,43,12,342
146,ejerHistory,*BA***,AedadC,1,0.5304239611586121,209,70,342
147,ejerHistory,*BBA**,AedadC,1,-0.35282339318861905,106,32,342
148,ejerHistory,*BBB**,AedadC,1,-2.039806600145581,290,76,342
149,ejerHistory,*BB***,AedadC,1,-2.023380204085119,399,108,342
150,ejerHistory,*B*A**,AedadC,1,0.5041256054182673,271,90,342
151,ejerHistory,*B*B**,AedadC,1,-2.0997751301076737,333,88,342
152,ejerHistory,*B****,AedadC,1,-1.3281366912701138,608,178,342
153,ejerHistory,**AA**,AedadC,1,1.3806145368153895,451,157,342
154,ejerHistory,**AB**,AedadC,1,-0.261051771805736,111,34,342
155,ejerHistory,**A***,AedadC,1,1.031632948063057,565,191,342
156,ejerHistory,**BA**,AedadC,1,0.516546132465527,142,48,342
157,ejerHistory,**BB**,AedadC,1,-1.4290220318060902,364,103,342
158,ejerHistory,**B***,AedadC,1,-1.0263911222869462,509,151,342
159,ejerHistory,***A**,AedadC,1,1.4567893108125336,593,205,342
160,ejerHistory,***B**,AedadC,1,-1.3771530005465158,475,137,342
161,ejerHistory,******,AedadC,1,0.0,1076,342,342
162,ejerHistory,AAAA**,AedadC,3,1.330578866097402,211,25,99
163,ejerHistory,AAAB**,AedadC,3,-0.41729599469004414,41,3,99
164,ejerHistory,AAA***,AedadC,3,1.0271267860405282,253,28,99
165,ejerHistory,AABA**,AedadC,3,-0.7554493901566631,22,1,99
166,ejerHistory,AABB**,AedadC,3,-1.7340197385478082,49,1,99
167,ejerHistory,AAB***,AedadC,3,-1.8610528316378474,71,2,99
168,ejerHistory,AA*A**,AedadC,3,1.034070604034086,233,26,99
169,ejerHistory,AA*B**,AedadC,3,-1.5611254354379436,90,4,99
170,ejerHistory,AA****,AedadC,3,0.036441209516500775,324,30,99
171,ejerHistory,ABAA**,AedadC,3,-0.3721484429246336,40,3,99
172,ejerHistory,ABAB**,AedadC,3,-0.1881680567939104,13,1,99
173,ejerHistory,ABA***,AedadC,3,-0.4164941241194035,53,4,99
174,ejerHistory,ABBA**,AedadC,3,-0.10395910225950605,12,1,99
175,ejerHistory,ABBB**,AedadC,3,-1.2263672055189936,33,1,99
176,ejerHistory,ABB***,AedadC,3,-1.138752145082094,46,2,99
177,ejerHistory,AB*A**,AedadC,3,-0.3763361135878208,52,4,99
178,ejerHistory,AB*B**,AedadC,3,-1.138752145082094,46,2,99
179,ejerHistory,AB****,AedadC,3,-1.08097001104295,99,6,99
180,ejerHistory,A*AA**,AedadC,3,1.0713957569476047,251,28,99
181,ejerHistory,A*AB**,AedadC,3,-0.45593817853012175,54,4,99
182,ejerHistory,A*A***,AedadC,3,0.7606150141857525,306,32,99
183,ejerHistory,A*BA**,AedadC,3,-0.6694441473331346,34,2,99
184,ejerHistory,A*BB**,AedadC,3,-2.1184169548799576,82,2,99
185,ejerHistory,A*B***,AedadC,3,-2.163784021173577,117,4,99
186,ejerHistory,A**A**,AedadC,3,0.7742357855878023,285,30,99
187,ejerHistory,A**B**,AedadC,3,-1.9322341781345171,136,6,99
188,ejerHistory,A*****,AedadC,3,-0.505937887139422,424,36,99
189,ejerHistory,BAAA**,AedadC,3,-0.7592727290024631,75,5,99
190,ejerHistory,BAAB**,AedadC,3,-0.9882302756454228,27,1,99
191,ejerHistory,BAA***,AedadC,3,-1.185234314913665,103,6,99
192,ejerHistory,BABA**,AedadC,3,-0.1881680567939104,13,1,99
193,ejerHistory,BABB**,AedadC,3,-0.8996691549456255,25,1,99
194,ejerHistory,BAB***,AedadC,3,-0.8397870988888295,38,2,99
195,ejerHistory,BA*A**,AedadC,3,-0.7732730599788715,88,6,99
196,ejerHistory,BA*B**,AedadC,3,-1.335904024062928,52,2,99
197,ejerHistory,BA****,AedadC,3,-1.4489737424669502,141,8,99
198,ejerHistory,BBAA**,AedadC,3,0.4638894350806962,125,13,99
199,ejerHistory,BBAB**,AedadC,3,-0.48020623777991384,30,2,99
200,ejerHistory,BBA***,AedadC,3,0.17917691767067698,156,15,99
201,ejerHistory,BBBA**,AedadC,3,-0.5883351683059055,94,7,99
202,ejerHistory,BBBB**,AedadC,3,2.0187490644080373,257,33,99
203,ejerHistory,BBB***,AedadC,3,1.3850240303754418,353,40,99
204,ejerHistory,BB*A**,AedadC,3,-0.03498154119605623,219,20,99
205,ejerHistory,BB*B**,AedadC,3,1.7550723736405034,287,35,99
206,ejerHistory,BB****,AedadC,3,1.2526094798273122,509,55,99
207,ejerHistory,B*AA**,AedadC,3,-0.09822089108067752,200,18,99
208,ejerHistory,B*AB**,AedadC,3,-1.028524942424915,57,3,99
209,ejerHistory,B*A***,AedadC,3,-0.6083766481108293,259,21,99
210,ejerHistory,B*BA**,AedadC,3,-0.6447939556809836,108,8,99
211,ejerHistory,B*BB**,AedadC,3,1.6593165749225853,282,34,99
212,ejerHistory,B*B***,AedadC,3,1.0367760725182578,392,42,99
213,ejerHistory,B**A**,AedadC,3,-0.46096759801595094,308,26,99
214,ejerHistory,B**B**,AedadC,3,1.0916533972483728,339,37,99
215,ejerHistory,B*****,AedadC,3,0.42078577101873704,651,63,99
216,ejerHistory,*AAA**,AedadC,3,0.7540581081596852,286,30,99
217,ejerHistory,*AAB**,AedadC,3,-0.9467369924098115,68,4,99
218,ejerHistory,*AA***,AedadC,3,0.2283573109207105,356,34,99
219,ejerHistory,*ABA**,AedadC,3,-0.7136180473047533,35,2,99
220,ejerHistory,*ABB**,AedadC,3,-1.9339519755548842,74,2,99
221,ejerHistory,*AB***,AedadC,3,-1.9978633030817055,109,4,99
222,ejerHistory,*A*A**,AedadC,3,0.4761237600137618,321,32,99
223,ejerHistory,*A*B**,AedadC,3,-2.0512510384203733,142,6,99
224,ejerHistory,*A****,AedadC,3,-0.7674724820043045,465,38,99
225,ejerHistory,*BAA**,AedadC,3,0.22053070058638144,165,16,99
226,ejerHistory,*BAB**,AedadC,3,-0.504564008001056,43,3,99
227,ejerHistory,*BA***,AedadC,3,-0.05493623991815748,209,19,99
228,ejerHistory,*BBA**,AedadC,3,-0.5890116389783635,106,8,99
229,ejerHistory,*BBB**,AedadC,3,1.4867280398539469,290,34,99
230,ejerHistory,*BB***,AedadC,3,0.9160881356936491,399,42,99
231,ejerHistory,*B*A**,AedadC,3,-0.19629829939458118,271,24,99
232,ejerHistory,*B*B**,AedadC,3,1.2061087177664256,333,37,99
233,ejerHistory,*B****,AedadC,3,0.7099069823526069,608,61,99
234,ejerHistory,**AA**,AedadC,3,0.7338712422783724,451,46,99
235,ejerHistory,**AB**,AedadC,3,-1.055049925098672,111,7,99
