,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,ejerHistory,AAAA**,hdegree,0,-4.328588100653943,211,55,438
1,ejerHistory,AAAB**,hdegree,0,-2.4444220553583937,41,9,438
2,ejerHistory,AAA***,hdegree,0,-4.989124136805023,253,64,438
3,ejerHistory,AABA**,hdegree,0,-3.452351681350917,22,1,438
4,ejerHistory,AABB**,hdegree,0,-0.5658889878901976,49,18,438
5,ejerHistory,AAB***,hdegree,0,-2.3918620238689674,71,19,438
6,ejerHistory,AA*A**,hdegree,0,-5.180004613120137,233,56,438
7,ejerHistory,AA*B**,hdegree,0,-2.0674086984261226,90,27,438
8,ejerHistory,AA****,hdegree,0,-5.52839250325883,324,83,438
9,ejerHistory,ABAA**,hdegree,0,-2.665617233850348,40,8,438
10,ejerHistory,ABAB**,hdegree,0,-0.16474436826848288,13,5,438
11,ejerHistory,ABA***,hdegree,0,-2.39733165994701,53,13,438
12,ejerHistory,ABBA**,hdegree,0,-1.6950546116035048,12,2,438
13,ejerHistory,ABBB**,hdegree,0,0.5552047918172343,33,15,438
14,ejerHistory,ABB***,hdegree,0,-0.21755461088925906,46,18,438
15,ejerHistory,AB*A**,hdegree,0,-3.152178868016073,52,10,438
16,ejerHistory,AB*B**,hdegree,0,0.3826729822308516,46,20,438
17,ejerHistory,AB****,hdegree,0,-1.90237226923284,99,31,438
18,ejerHistory,A*AA**,hdegree,0,-5.032842314600465,251,63,438
19,ejerHistory,A*AB**,hdegree,0,-2.2107913732076043,54,14,438
20,ejerHistory,A*A***,hdegree,0,-5.534243069289934,306,77,438
21,ejerHistory,A*BA**,hdegree,0,-3.7840830365912415,34,3,438
22,ejerHistory,A*BB**,hdegree,0,-0.08523262072295763,82,33,438
23,ejerHistory,A*B***,hdegree,0,-1.999667841594306,117,37,438
24,ejerHistory,A**A**,hdegree,0,-6.030112988859052,285,66,438
25,ejerHistory,A**B**,hdegree,0,-1.4592597306745028,136,47,438
26,ejerHistory,A*****,hdegree,0,-5.693314687396997,424,115,438
