,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,ejerHistory,AAAA**,Apuesto,Admin,-0.9551487360235318,211,11,74
1,ejerHistory,AAAB**,Apuesto,Admin,-1.740098879884832,41,0,74
2,ejerHistory,AAA***,Apuesto,Admin,-1.5898532432193773,253,11,74
3,ejerHistory,AABA**,Apuesto,Admin,-1.2746570122986012,22,0,74
4,ejerHistory,AABB**,Apuesto,Admin,0.35569841766791477,49,4,74
5,ejerHistory,AAB***,Apuesto,Admin,-0.41404229797641656,71,4,74
6,ejerHistory,AA*A**,Apuesto,Admin,-1.3006138074719764,233,11,74
7,ejerHistory,AA*B**,Apuesto,Admin,-0.9120198919307019,90,4,74
8,ejerHistory,AA****,Apuesto,Admin,-1.5987192400787011,324,15,74
9,ejerHistory,ABAA**,Apuesto,Admin,-1.7187471647590478,40,0,74
10,ejerHistory,ABAB**,Apuesto,Admin,-0.9798366396085427,13,0,74
11,ejerHistory,ABA***,Apuesto,Admin,-1.978426560852494,53,0,74
12,ejerHistory,ABBA**,Apuesto,Admin,0.19930468405841978,12,1,74
13,ejerHistory,ABBB**,Apuesto,Admin,0.5024766158626066,33,3,74
14,ejerHistory,ABB***,Apuesto,Admin,0.4873195931616543,46,4,74
15,ejerHistory,AB*A**,Apuesto,Admin,-1.4116981107041997,52,1,74
16,ejerHistory,AB*B**,Apuesto,Admin,-0.09529805377383466,46,3,74
17,ejerHistory,AB****,Apuesto,Admin,-1.1153910158991847,99,4,74
18,ejerHistory,A*AA**,Apuesto,Admin,-1.5618683532505317,251,11,74
19,ejerHistory,A*AB**,Apuesto,Admin,-1.9970037436359023,54,0,74
20,ejerHistory,A*A***,Apuesto,Admin,-2.269002122518096,306,11,74
21,ejerHistory,A*BA**,Apuesto,Admin,-0.9069290497111562,34,1,74
22,ejerHistory,A*BB**,Apuesto,Admin,0.5937237610441861,82,7,74
23,ejerHistory,A*B***,Apuesto,Admin,-0.01697568675690444,117,8,74
24,ejerHistory,A**A**,Apuesto,Admin,-1.7789959344240558,285,12,74
25,ejerHistory,A**B**,Apuesto,Admin,-0.7973417895377248,136,7,74
26,ejerHistory,A*****,Apuesto,Admin,-1.949696329539596,424,19,74
27,ejerHistory,BAAA**,Apuesto,Admin,-0.528369439014449,75,4,74
28,ejerHistory,BAAB**,Apuesto,Admin,-0.6516273712832025,27,1,74
29,ejerHistory,BAA***,Apuesto,Admin,-0.8112734722817557,103,5,74
30,ejerHistory,BABA**,Apuesto,Admin,-0.9798366396085427,13,0,74
31,ejerHistory,BABB**,Apuesto,Admin,-0.5684879135471276,25,1,74
32,ejerHistory,BAB***,Apuesto,Admin,-1.0342087358753043,38,1,74
33,ejerHistory,BA*A**,Apuesto,Admin,-0.8643865734506484,88,4,74
34,ejerHistory,BA*B**,Apuesto,Admin,-0.8637229421913141,52,2,74
35,ejerHistory,BA****,Apuesto,Admin,-1.2302843564859904,141,6,74
36,ejerHistory,BBAA**,Apuesto,Admin,0.49598920020888526,125,10,74
37,ejerHistory,BBAB**,Apuesto,Admin,0.6758497914516775,30,3,74
38,ejerHistory,BBA***,Apuesto,Admin,0.7186032578127829,156,13,74
39,ejerHistory,BBBA**,Apuesto,Admin,1.4408768402388152,94,10,74
40,ejerHistory,BBBB**,Apuesto,Admin,2.0520823065223786,257,26,74
41,ejerHistory,BBB***,Apuesto,Admin,2.465561008690413,353,36,74
42,ejerHistory,BB*A**,Apuesto,Admin,1.3187114347023363,219,20,74
43,ejerHistory,BB*B**,Apuesto,Admin,2.160380327056066,287,29,74
