,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,ejerHistory,AAAA**,id_sexo,F,-2.484087542946666,211,118,690
1,ejerHistory,AAAB**,id_sexo,F,1.2074322448003687,41,30,690
2,ejerHistory,AAA***,id_sexo,F,-1.7354594944697983,253,149,690
3,ejerHistory,AABA**,id_sexo,F,0.39658994122168484,22,15,690
4,ejerHistory,AABB**,id_sexo,F,1.6614212211879207,49,37,690
5,ejerHistory,AAB***,id_sexo,F,1.600982728998395,71,52,690
6,ejerHistory,AA*A**,id_sexo,F,-2.2420418878294406,233,133,690
7,ejerHistory,AA*B**,id_sexo,F,2.040858868269412,90,67,690
8,ejerHistory,AA****,id_sexo,F,-0.7841140474094732,324,201,690
9,ejerHistory,ABAA**,id_sexo,F,-0.21446175056874336,40,25,690
10,ejerHistory,ABAB**,id_sexo,F,0.9619736077885224,13,10,690
11,ejerHistory,ABA***,id_sexo,F,0.2901151212107663,53,35,690
12,ejerHistory,ABBA**,id_sexo,F,0.18346998395620648,12,8,690
13,ejerHistory,ABBB**,id_sexo,F,0.6671924445758709,33,23,690
14,ejerHistory,ABB***,id_sexo,F,0.7690913768307931,46,32,690
15,ejerHistory,AB*A**,id_sexo,F,-0.09995926874227169,52,33,690
16,ejerHistory,AB*B**,id_sexo,F,1.0764993714332944,46,33,690
17,ejerHistory,AB****,id_sexo,F,0.7365220096757493,99,67,690
18,ejerHistory,A*AA**,id_sexo,F,-2.3631811799956406,251,143,690
19,ejerHistory,A*AB**,id_sexo,F,1.5240975354508304,54,40,690
20,ejerHistory,A*A***,id_sexo,F,-1.457286540799563,306,184,690
21,ejerHistory,A*BA**,id_sexo,F,0.4280142287663051,34,23,690
22,ejerHistory,A*BB**,id_sexo,F,1.707567056243272,82,60,690
23,ejerHistory,A*B***,id_sexo,F,1.7294028323259576,117,84,690
24,ejerHistory,A**A**,id_sexo,F,-2.0699098806205467,285,166,690
25,ejerHistory,A**B**,id_sexo,F,2.2862871847144244,136,100,690
26,ejerHistory,A*****,id_sexo,F,-0.293221845625912,424,269,690
