,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,ejerHistory,AAAA**,obesity,1,-3.320420889561804,211,25,228
1,ejerHistory,AAAB**,obesity,1,-2.555841259002521,41,2,228
2,ejerHistory,AAA***,obesity,1,-4.093794848535762,253,27,228
3,ejerHistory,AABA**,obesity,1,-2.43209669619089,22,0,228
4,ejerHistory,AABB**,obesity,1,-1.5321821792818526,49,6,228
5,ejerHistory,AAB***,obesity,1,-2.626682473489659,71,6,228
6,ejerHistory,AA*A**,obesity,1,-3.9071098888687845,233,25,228
7,ejerHistory,AA*B**,obesity,1,-2.8556046494327996,90,8,228
8,ejerHistory,AA****,obesity,1,-4.847145178138051,324,33,228
9,ejerHistory,ABAA**,obesity,1,-0.5710250398714681,40,7,228
10,ejerHistory,ABAB**,obesity,1,0.16652019128125747,13,3,228
11,ejerHistory,ABA***,obesity,1,-0.41360397187597076,53,10,228
12,ejerHistory,ABBA**,obesity,1,-1.0898133293343775,12,1,228
13,ejerHistory,ABBB**,obesity,1,1.2811093279686714,33,10,228
14,ejerHistory,ABB***,obesity,1,0.8128087122299527,46,12,228
15,ejerHistory,AB*A**,obesity,1,-1.024351479699855,52,8,228
16,ejerHistory,AB*B**,obesity,1,1.1736099392759214,46,13,228
17,ejerHistory,AB****,obesity,1,0.25142574069853457,99,22,228
18,ejerHistory,A*AA**,obesity,1,-3.2723250575262504,251,32,228
19,ejerHistory,A*AB**,obesity,1,-2.145340959402248,54,5,228
20,ejerHistory,A*A***,obesity,1,-3.8945542610523813,306,37,228
21,ejerHistory,A*BA**,obesity,1,-2.603823365614805,34,1,228
22,ejerHistory,A*BB**,obesity,1,-0.37169732839049824,82,16,228
23,ejerHistory,A*B***,obesity,1,-1.5365272195497823,117,18,228
24,ejerHistory,A**A**,obesity,1,-3.9702863340636427,285,33,228
25,ejerHistory,A**B**,obesity,1,-1.6404555236332936,136,21,228
26,ejerHistory,A*****,obesity,1,-4.022017560679123,424,56,228
27,ejerHistory,BAAA**,obesity,1,0.5955895496217756,75,18,228
28,ejerHistory,BAAB**,obesity,1,0.6022422253671098,27,7,228
29,ejerHistory,BAA***,obesity,1,0.7654800913682678,103,25,228
30,ejerHistory,BABA**,obesity,1,0.16652019128125747,13,3,228
31,ejerHistory,BABB**,obesity,1,-0.14555080922779232,25,5,228
32,ejerHistory,BAB***,obesity,1,-0.020660026729706894,38,8,228
33,ejerHistory,BA*A**,obesity,1,0.613842587196505,88,21,228
34,ejerHistory,BA*B**,obesity,1,0.33304038256251495,52,12,228
35,ejerHistory,BA****,obesity,1,0.6435234414208533,141,33,228
36,ejerHistory,BBAA**,obesity,1,1.6443942470069466,125,34,228
37,ejerHistory,BBAB**,obesity,1,-0.6062152799828224,30,5,228
38,ejerHistory,BBA***,obesity,1,1.1646107813751911,156,39,228
39,ejerHistory,BBBA**,obesity,1,3.554190365104434,94,34,228
40,ejerHistory,BBBB**,obesity,1,1.4566457588880013,257,64,228
41,ejerHistory,BBB***,obesity,1,3.0217704617185137,353,98,228
42,ejerHistory,BB*A**,obesity,1,3.5708693509939677,219,68,228
43,ejerHistory,BB*B**,obesity,1,1.182417933523174,287,69,228
44,ejerHistory,BB****,obesity,1,3.1611988349944147,509,137,228
45,ejerHistory,B*AA**,obesity,1,1.664730421131716,200,52,228
46,ejerHistory,B*AB**,obesity,1,-0.025303261780021662,57,12,228
47,ejerHistory,B*A***,obesity,1,1.3865716230072038,259,64,228
48,ejerHistory,B*BA**,obesity,1,3.559181523753879,108,38,228
49,ejerHistory,B*BB**,obesity,1,1.3472428046932345,282,69,228
50,ejerHistory,B*B***,obesity,1,2.9584895069737014,392,107,228
51,ejerHistory,B**A**,obesity,1,3.4490705668605997,308,90,228
52,ejerHistory,B**B**,obesity,1,1.218394317617362,339,81,228
53,ejerHistory,B*****,obesity,1,3.1703236571559232,651,171,228
54,ejerHistory,*AAA**,obesity,1,-2.5470156206961323,286,43,228
55,ejerHistory,*AAB**,obesity,1,-1.605104006057275,68,9,228
56,ejerHistory,*AA***,obesity,1,-3.0393859195290043,356,52,228
57,ejerHistory,*ABA**,obesity,1,-1.8267413526160061,35,3,228
58,ejerHistory,*ABB**,obesity,1,-1.3313876127180364,74,11,228
59,ejerHistory,*AB***,obesity,1,-2.1321382535347024,109,14,228
60,ejerHistory,*A*A**,obesity,1,-3.0073491914665866,321,46,228
61,ejerHistory,*A*B**,obesity,1,-2.071859556195255,142,20,228
62,ejerHistory,*A****,obesity,1,-3.691695303869584,465,66,228
63,ejerHistory,*BAA**,obesity,1,1.1501081857527717,165,41,228
64,ejerHistory,*BAB**,obesity,1,-0.4147931753174764,43,8,228
65,ejerHistory,*BA***,obesity,1,0.7978858297644368,209,49,228
66,ejerHistory,*BBA**,obesity,1,2.980286738174579,106,35,228
67,ejerHistory,*BBB**,obesity,1,1.803424978865559,290,74,228
68,ejerHistory,*BB***,obesity,1,3.11823270124169,399,110,228
69,ejerHistory,*B*A**,obesity,1,2.7613365773105523,271,76,228
70,ejerHistory,*B*B**,obesity,1,1.5339105031195723,333,82,228
71,ejerHistory,*B****,obesity,1,2.993859230563776,608,159,228
72,ejerHistory,**AA**,obesity,1,-1.3326201687160983,451,84,228
73,ejerHistory,**AB**,obesity,1,-1.51447720624611,111,17,228
74,ejerHistory,**A***,obesity,1,-1.927330256177922,565,101,228
75,ejerHistory,**BA**,obesity,1,1.829862695725877,142,39,228
76,ejerHistory,**BB**,obesity,1,1.0094035037739786,364,85,228
77,ejerHistory,**B***,obesity,1,1.859623600381919,509,125,228
78,ejerHistory,***A**,obesity,1,-0.266726095039615,593,123,228
79,ejerHistory,***B**,obesity,1,0.1515145924293099,475,102,228
80,ejerHistory,******,obesity,1,0.0,1076,228,228
81,ejerHistory,AAAA**,obesity,0,3.320420889561805,211,186,848
82,ejerHistory,AAAB**,obesity,0,2.5558412590025203,41,39,848
83,ejerHistory,AAA***,obesity,0,4.09379484853576,253,226,848
84,ejerHistory,AABA**,obesity,0,2.43209669619089,22,22,848
85,ejerHistory,AABB**,obesity,0,1.5321821792818524,49,43,848
86,ejerHistory,AAB***,obesity,0,2.62668247348966,71,65,848
87,ejerHistory,AA*A**,obesity,0,3.9071098888687867,233,208,848
88,ejerHistory,AA*B**,obesity,0,2.8556046494327996,90,82,848
89,ejerHistory,AA****,obesity,0,4.847145178138052,324,291,848
90,ejerHistory,ABAA**,obesity,0,0.5710250398714677,40,33,848
91,ejerHistory,ABAB**,obesity,0,-0.1665201912812567,13,10,848
