,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,estresHistory,AAAA**,hdegree,0,-2.59275286616834,103,29,438
1,estresHistory,AAAB**,hdegree,0,-3.2542494242229276,119,31,438
2,estresHistory,AAA***,hdegree,0,-4.148632884983546,222,60,438
3,estresHistory,AABA**,hdegree,0,0.655304617887953,12,6,438
4,estresHistory,AABB**,hdegree,0,-2.1092919379396995,179,59,438
5,estresHistory,AAB***,hdegree,0,-1.8777022223694952,191,65,438
6,estresHistory,AA*A**,hdegree,0,-2.1203269702338425,116,36,438
7,estresHistory,AA*B**,hdegree,0,-3.691204715877217,298,90,438
8,estresHistory,AA****,hdegree,0,-4.254029391388444,414,126,438
9,estresHistory,ABAA**,hdegree,0,2.0904217310625697,3,3,438
10,estresHistory,ABAB**,hdegree,0,-2.134322515931228,11,1,438
11,estresHistory,ABA***,hdegree,0,-0.5812379163882382,15,5,438
12,estresHistory,ABBA**,hdegree,0,-0.8285652516100036,1,0,438
13,estresHistory,ABBB**,hdegree,0,2.4608872750418924,75,41,438
14,estresHistory,ABB***,hdegree,0,2.3496006645330803,76,41,438
15,estresHistory,AB*A**,hdegree,0,1.3960756979182254,4,3,438
16,estresHistory,AB*B**,hdegree,0,1.5348013292032014,86,42,438
17,estresHistory,AB****,hdegree,0,2.0266688261514165,92,47,438
18,estresHistory,A*AA**,hdegree,0,-2.2041245397926286,106,32,438
19,estresHistory,A*AB**,hdegree,0,-3.734374215381461,130,32,438
20,estresHistory,A*A***,hdegree,0,-4.161427534738078,237,65,438
21,estresHistory,A*BA**,hdegree,0,0.39979365802733857,13,6,438
22,estresHistory,A*BB**,hdegree,0,-0.43347745603138677,254,100,438
23,estresHistory,A*B***,hdegree,0,-0.33457602525494284,267,106,438
24,estresHistory,A**A**,hdegree,0,-1.8298013007632357,120,39,438
25,estresHistory,A**B**,hdegree,0,-2.5253683478302973,384,132,438
26,estresHistory,A*****,hdegree,0,-2.9837398739104333,506,173,438
27,estresHistory,BAAA**,hdegree,0,-1.6323505181256237,15,3,438
