,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,estresHistory,AAAA**,Apuesto,Admin,-1.5899802128483649,103,3,74
1,estresHistory,AAAB**,Apuesto,Admin,-1.5155919481298161,119,4,74
2,estresHistory,AAA***,Apuesto,Admin,-2.1926462289838415,222,7,74
3,estresHistory,AABA**,Apuesto,Admin,0.19930468405841978,12,1,74
4,estresHistory,AABB**,Apuesto,Admin,-0.38702843740990783,179,11,74
5,estresHistory,AAB***,Apuesto,Admin,-0.3247168322858751,191,12,74
6,estresHistory,AA*A**,Apuesto,Admin,-1.459368788509038,116,4,74
7,estresHistory,AA*B**,Apuesto,Admin,-1.2576985861949108,298,15,74
8,estresHistory,AA****,Apuesto,Admin,-1.8395412198161407,414,19,74
9,estresHistory,ABAA**,Apuesto,Admin,-0.47069829639328936,3,0,74
10,estresHistory,ABAB**,Apuesto,Admin,0.2901050094297681,11,1,74
11,estresHistory,ABA***,Apuesto,Admin,0.9880350900082397,15,2,74
12,estresHistory,ABBA**,Apuesto,Admin,-0.27175778812976387,1,0,74
13,estresHistory,ABBB**,Apuesto,Admin,0.8404720931995493,75,7,74
14,estresHistory,ABB***,Apuesto,Admin,0.803751605790327,76,7,74
15,estresHistory,AB*A**,Apuesto,Admin,-0.5435155762595277,4,0,74
16,estresHistory,AB*B**,Apuesto,Admin,0.8886360064208654,86,8,74
17,estresHistory,AB****,Apuesto,Admin,1.1011468668463846,92,9,74
18,estresHistory,A*AA**,Apuesto,Admin,-1.646505352571309,106,3,74
19,estresHistory,A*AB**,Apuesto,Admin,-1.3656658823332486,130,5,74
20,estresHistory,A*A***,Apuesto,Admin,-1.8735574009742786,237,9,74
21,estresHistory,A*BA**,Apuesto,Admin,0.11611369741722863,13,1,74
22,estresHistory,A*BB**,Apuesto,Admin,0.13180426081488775,254,18,74
23,estresHistory,A*B***,Apuesto,Admin,0.15417670660425709,267,19,74
24,estresHistory,A**A**,Apuesto,Admin,-1.534071748850633,120,4,74
25,estresHistory,A**B**,Apuesto,Admin,-0.6874070694122079,384,23,74
26,estresHistory,A*****,Apuesto,Admin,-1.194397038130182,506,28,74
27,estresHistory,BAAA**,Apuesto,Admin,0.9880350900082397,15,2,74
28,estresHistory,BAAB**,Apuesto,Admin,0.8888476001877613,38,4,74
29,estresHistory,BAA***,Apuesto,Admin,1.2782592823050025,53,6,74
30,estresHistory,BABA**,Apuesto,Admin,-0.7190035242363361,7,0,74
31,estresHistory,BABB**,Apuesto,Admin,-0.5834017003320766,77,4,74
32,estresHistory,BAB***,Apuesto,Admin,-0.7661230417421393,84,4,74
33,estresHistory,BA*A**,Apuesto,Admin,0.4102704388479527,22,2,74
34,estresHistory,BA*B**,Apuesto,Admin,0.03356042367913549,115,8,74
35,estresHistory,BA****,Apuesto,Admin,0.1713133842941185,138,10,74
36,estresHistory,BBAA**,Apuesto,Admin,2.035473038546333,31,5,74
37,estresHistory,BBAB**,Apuesto,Admin,-0.3931899571876157,38,2,74
38,estresHistory,BBA***,Apuesto,Admin,1.0323776092491437,70,7,74
39,estresHistory,BBBA**,Apuesto,Admin,1.8037811099810772,34,5,74
40,estresHistory,BBBB**,Apuesto,Admin,0.45605422096721887,319,24,74
41,estresHistory,BBB***,Apuesto,Admin,0.9145638854133166,358,29,74
42,estresHistory,BB*A**,Apuesto,Admin,2.7102575740971946,65,10,74
43,estresHistory,BB*B**,Apuesto,Admin,0.3028193512143856,357,26,74
44,estresHistory,BB****,Apuesto,Admin,1.2539467247632397,428,36,74
45,estresHistory,B*AA**,Apuesto,Admin,2.2351725339681217,46,7,74
46,estresHistory,B*AB**,Apuesto,Admin,0.35048288051234383,76,6,74
47,estresHistory,B*A***,Apuesto,Admin,1.6178981793422909,123,13,74
48,estresHistory,B*BA**,Apuesto,Admin,1.3455082307876782,41,5,74
49,estresHistory,B*BB**,Apuesto,Admin,0.1520652212278172,396,28,74
50,estresHistory,B*B***,Apuesto,Admin,0.48909945178610714,442,33,74
51,estresHistory,B**A**,Apuesto,Admin,2.5489619241901367,87,12,74
52,estresHistory,B**B**,Apuesto,Admin,0.27992366295929394,472,34,74
53,estresHistory,B*****,Apuesto,Admin,1.1750080538228589,566,46,74
54,estresHistory,*AAA**,Apuesto,Admin,-1.1332175341057396,118,5,74
55,estresHistory,*AAB**,Apuesto,Admin,-0.882199787350634,157,8,74
56,estresHistory,*AA***,Apuesto,Admin,-1.4088916564825835,275,13,74
57,estresHistory,*ABA**,Apuesto,Admin,-0.27802728502181134,19,1,74
58,estresHistory,*ABB**,Apuesto,Admin,-0.6435885455370421,256,15,74
59,estresHistory,*AB***,Apuesto,Admin,-0.6940374805747276,275,16,74
60,estresHistory,*A*A**,Apuesto,Admin,-1.1741844368772054,138,6,74
61,estresHistory,*A*B**,Apuesto,Admin,-1.0506311693228596,413,23,74
62,estresHistory,*A****,Apuesto,Admin,-1.5074327355223336,552,29,74
63,estresHistory,*BAA**,Apuesto,Admin,1.8037811099810772,34,5,74
64,estresHistory,*BAB**,Apuesto,Admin,-0.20880231597615065,49,3,74
65,estresHistory,*BA***,Apuesto,Admin,1.3519251722558547,85,9,74
66,estresHistory,*BBA**,Apuesto,Admin,1.7318906216021923,35,5,74
67,estresHistory,*BBB**,Apuesto,Admin,0.7623966076312045,395,31,74
68,estresHistory,*BB***,Apuesto,Admin,1.1526080590902061,435,36,74
69,estresHistory,*B*A**,Apuesto,Admin,2.4996634392973074,69,10,74
70,estresHistory,*B*B**,Apuesto,Admin,0.6497326601097434,444,34,74
71,estresHistory,*B****,Apuesto,Admin,1.5873493878561575,521,45,74
72,estresHistory,**AA**,Apuesto,Admin,-0.1453611356875429,152,10,74
73,estresHistory,**AB**,Apuesto,Admin,-0.8719995388892107,206,11,74
74,estresHistory,**A***,Apuesto,Admin,-0.5744641424555017,360,22,74
75,estresHistory,**BA**,Apuesto,Admin,1.2293866890251046,54,6,74
76,estresHistory,**BB**,Apuesto,Admin,0.1902791664424031,651,46,74
77,estresHistory,**B***,Apuesto,Admin,0.4702514328400119,710,52,74
78,estresHistory,***A**,Apuesto,Admin,0.4844637814729803,207,16,74
79,estresHistory,***B**,Apuesto,Admin,-0.2616821940885387,857,57,74
80,estresHistory,******,Apuesto,Admin,0.0,1076,74,74
81,estresHistory,AAAA**,Apuesto,Sec,0.6468922144368542,103,8,67
82,estresHistory,AAAB**,Apuesto,Sec,0.22388101136308378,119,8,67
83,estresHistory,AAA***,Apuesto,Sec,0.6045433093075296,222,16,67
84,estresHistory,AABA**,Apuesto,Sec,0.3019919014159568,12,1,67
85,estresHistory,AABB**,Apuesto,Sec,-0.3544488540837139,179,10,67
86,estresHistory,AAB***,Apuesto,Sec,-0.2674383718155228,191,11,67
87,estresHistory,AA*A**,Apuesto,Sec,1.0670103056774014,116,10,67
88,estresHistory,AA*B**,Apuesto,Sec,-0.1332324663546928,298,18,67
89,estresHistory,AA****,Apuesto,Sec,0.4517672516004696,414,28,67
90,estresHistory,ABAA**,Apuesto,Sec,1.942962601021781,3,1,67
91,estresHistory,ABAB**,Apuesto,Sec,-0.8546497320653216,11,0,67
92,estresHistory,ABA***,Apuesto,Sec,0.07050659387596339,15,1,67
93,estresHistory,ABBA**,Apuesto,Sec,-0.25768658985804055,1,0,67
94,estresHistory,ABBB**,Apuesto,Sec,-0.3202002366483894,75,4,67
95,estresHistory,ABB***,Apuesto,Sec,-0.34764535969594973,76,4,67
96,estresHistory,AB*A**,Apuesto,Sec,1.553811676158931,4,1,67
97,estresHistory,AB*B**,Apuesto,Sec,-0.6046795955122637,86,4,67
98,estresHistory,AB****,Apuesto,Sec,-0.31436860255953897,92,5,67
99,estresHistory,A*AA**,Apuesto,Sec,0.9645401733366771,106,9,67
100,estresHistory,A*AB**,Apuesto,Sec,-0.03440689729924359,130,8,67
101,estresHistory,A*A***,Apuesto,Sec,0.6028373671718823,237,17,67
102,estresHistory,A*BA**,Apuesto,Sec,0.21867503284751777,13,1,67
103,estresHistory,A*BB**,Apuesto,Sec,-0.47154670727848225,254,14,67
104,estresHistory,A*B***,Apuesto,Sec,-0.41167187203288746,267,15,67
105,estresHistory,A**A**,Apuesto,Sec,1.3327619838030584,120,11,67
106,estresHistory,A**B**,Apuesto,Sec,-0.40352877932458187,384,22,67
107,estresHistory,A*****,Apuesto,Sec,0.2745916318679638,506,33,67
108,estresHistory,BAAA**,Apuesto,Sec,0.07050659387596339,15,1,67
109,estresHistory,BAAB**,Apuesto,Sec,-0.9171546070936355,38,1,67
110,estresHistory,BAA***,Apuesto,Sec,-0.73908909629218,53,2,67
111,estresHistory,BABA**,Apuesto,Sec,-0.6817746329606742,7,0,67
112,estresHistory,BABB**,Apuesto,Sec,-1.3179686532045487,77,2,67
113,estresHistory,BAB***,Apuesto,Sec,-1.4586702996843992,84,2,67
114,estresHistory,BA*A**,Apuesto,Sec,-0.3263538550758434,22,1,67
115,estresHistory,BA*B**,Apuesto,Sec,-1.6056659203643402,115,3,67
116,estresHistory,BA****,Apuesto,Sec,-1.6180063190488292,138,4,67
117,estresHistory,BBAA**,Apuesto,Sec,2.281627498095808,31,5,67
118,estresHistory,BBAB**,Apuesto,Sec,1.7681742561247364,38,5,67
119,estresHistory,BBA***,Apuesto,Sec,2.79033718440552,70,10,67
120,estresHistory,BBBA**,Apuesto,Sec,-0.08310900868548272,34,2,67
121,estresHistory,BBBB**,Apuesto,Sec,-0.663457903946964,319,17,67
122,estresHistory,BBB***,Apuesto,Sec,-0.5012663766127903,358,20,67
123,estresHistory,BB*A**,Apuesto,Sec,1.5155754160869157,65,7,67
124,estresHistory,BB*B**,Apuesto,Sec,-0.050278216153857615,357,22,67
125,estresHistory,BB****,Apuesto,Sec,0.6700078843800423,428,30,67
126,estresHistory,B*AA**,Apuesto,Sec,1.913300468912116,46,6,67
127,estresHistory,B*AB**,Apuesto,Sec,0.6017617647528873,76,6,67
128,estresHistory,B*A***,Apuesto,Sec,1.6198482353021446,123,12,67
129,estresHistory,B*BA**,Apuesto,Sec,-0.3573897172417019,41,2,67
130,estresHistory,B*BB**,Apuesto,Sec,-1.1766412412513974,396,19,67
131,estresHistory,B*B***,Apuesto,Sec,-1.087022486971531,442,22,67
132,estresHistory,B**A**,Apuesto,Sec,1.1458979329044423,87,8,67
133,estresHistory,B**B**,Apuesto,Sec,-0.8362880771623272,472,25,67
134,estresHistory,B*****,Apuesto,Sec,-0.21630418063000487,566,34,67
135,estresHistory,*AAA**,Apuesto,Sec,0.629517443350812,118,9,67
136,estresHistory,*AAB**,Apuesto,Sec,-0.25630298537839213,157,9,67
137,estresHistory,*AA***,Apuesto,Sec,0.21870683781210304,275,18,67
138,estresHistory,*ABA**,Apuesto,Sec,-0.17382267984797486,19,1,67
139,estresHistory,*ABB**,Apuesto,Sec,-1.0192081539161304,256,12,67
140,estresHistory,*AB***,Apuesto,Sec,-1.029058578337539,275,13,67
141,estresHistory,*A*A**,Apuesto,Sec,0.8479636516261566,138,11,67
142,estresHistory,*A*B**,Apuesto,Sec,-0.9604572436513173,413,21,67
143,estresHistory,*A****,Apuesto,Sec,-0.41776124304053114,552,32,67
144,estresHistory,*BAA**,Apuesto,Sec,2.7557891927614824,34,6,67
145,estresHistory,*BAB**,Apuesto,Sec,1.152172236529448,49,5,67
146,estresHistory,*BA***,Apuesto,Sec,2.5618084278159583,85,11,67
147,estresHistory,*BBA**,Apuesto,Sec,-0.12547011682497317,35,2,67
148,estresHistory,*BBB**,Apuesto,Sec,-0.7487161437356575,395,21,67
149,estresHistory,*BB***,Apuesto,Sec,-0.6124085743696288,435,24,67
150,estresHistory,*B*A**,Apuesto,Sec,1.8451037685979015,69,8,67
151,estresHistory,*B*B**,Apuesto,Sec,-0.32343666332162874,444,26,67
152,estresHistory,*B****,Apuesto,Sec,0.4638786293698847,521,35,67
153,estresHistory,**AA**,Apuesto,Sec,1.8580179727379909,152,15,67
154,estresHistory,**AB**,Apuesto,Sec,0.3381759823460183,206,14,67
155,estresHistory,**A***,Apuesto,Sec,1.4359665310775502,360,29,67
156,estresHistory,**BA**,Apuesto,Sec,-0.20411961600076123,54,3,67
157,estresHistory,**BB**,Apuesto,Sec,-1.2223450599017507,651,33,67
158,estresHistory,**B***,Apuesto,Sec,-1.1197926599335841,710,37,67
159,estresHistory,***A**,Apuesto,Sec,1.757630579786538,207,19,67
160,estresHistory,***B**,Apuesto,Sec,-0.8995533649074555,857,47,67
161,estresHistory,******,Apuesto,Sec,0.0,1076,67,67
162,estresHistory,AAAA**,Apuesto,Int,-2.123756041449738,103,4,110
163,estresHistory,AAAB**,Apuesto,Int,-1.5630042393382728,119,7,110
164,estresHistory,AAA***,Apuesto,Int,-2.590939765700972,222,11,110
165,estresHistory,AABA**,Apuesto,Int,0.7367969127892554,12,2,110
166,estresHistory,AABB**,Apuesto,Int,-0.8139859932368487,179,15,110
167,estresHistory,AAB***,Apuesto,Int,-0.6033201953353747,191,17,110
168,estresHistory,AA*A**,Apuesto,Int,-1.7955698486392682,116,6,110
169,estresHistory,AA*B**,Apuesto,Int,-1.6185644006586752,298,22,110
170,estresHistory,AA****,Apuesto,Int,-2.3236671801849083,414,28,110
171,estresHistory,ABAA**,Apuesto,Int,1.321275233030732,3,1,110
172,estresHistory,ABAB**,Apuesto,Int,-0.12394344124155478,11,1,110
173,estresHistory,ABA***,Apuesto,Int,0.39762454195653707,15,2,110
