,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,estresHistory,AAAA**,obesity,1,0.04212829542659083,103,22,228
1,estresHistory,AAAB**,obesity,1,-0.7213354373263066,119,22,228
2,estresHistory,AAA***,obesity,1,-0.49942635680505615,222,44,228
3,estresHistory,AABA**,obesity,1,1.7358231582892136,12,5,228
4,estresHistory,AABB**,obesity,1,-1.26740096723518,179,31,228
5,estresHistory,AAB***,obesity,1,-0.7918512113275127,191,36,228
6,estresHistory,AA*A**,obesity,1,0.7770580688180827,116,28,228
7,estresHistory,AA*B**,obesity,1,-1.4381031757484588,298,53,228
8,estresHistory,AA****,obesity,1,-0.8087849067238626,414,81,228
9,estresHistory,ABAA**,obesity,1,3.340343505815249,3,3,228
10,estresHistory,ABAB**,obesity,1,-0.24411153733275895,11,2,228
11,estresHistory,ABA***,obesity,1,1.7827514077757771,15,6,228
12,estresHistory,ABBA**,obesity,1,1.928548222268252,1,1,228
13,estresHistory,ABBB**,obesity,1,1.4432804959088534,75,21,228
14,estresHistory,ABB***,obesity,1,1.6549734407223382,76,22,228
15,estresHistory,AB*A**,obesity,1,3.857096444536504,4,4,228
16,estresHistory,AB*B**,obesity,1,1.2605165256458233,86,23,228
17,estresHistory,AB****,obesity,1,2.425110075973769,92,29,228
18,estresHistory,A*AA**,obesity,1,0.6034793484059409,106,25,228
19,estresHistory,A*AB**,obesity,1,-0.7611519077823078,130,24,228
20,estresHistory,A*A***,obesity,1,-0.03486362008434587,237,50,228
21,estresHistory,A*BA**,obesity,1,2.2026079846748123,13,6,228
22,estresHistory,A*BB**,obesity,1,-0.2796880193396385,254,52,228
23,estresHistory,A*B***,obesity,1,0.2132248340052991,267,58,228
24,estresHistory,A**A**,obesity,1,1.4682035822049728,120,32,228
25,estresHistory,A**B**,obesity,1,-0.6703416788899694,384,76,228
26,estresHistory,A*****,obesity,1,0.3024969367760931,506,110,228
27,estresHistory,BAAA**,obesity,1,0.5190883545697585,15,4,228
28,estresHistory,BAAB**,obesity,1,-0.417627683179075,38,7,228
29,estresHistory,BAA***,obesity,1,-0.07747264730003048,53,11,228
30,estresHistory,BABA**,obesity,1,-1.3718875579646144,7,0,228
31,estresHistory,BABB**,obesity,1,-0.9247282673999563,77,13,228
32,estresHistory,BAB***,obesity,1,-1.2813897359616537,84,13,228
33,estresHistory,BA*A**,obesity,1,-0.3452258468277338,22,4,228
34,estresHistory,BA*B**,obesity,1,-0.9967439037601102,115,20,228
35,estresHistory,BA****,obesity,1,-1.0918782402903413,138,24,228
36,estresHistory,BBAA**,obesity,1,0.6290345853041054,31,8,228
37,estresHistory,BBAB**,obesity,1,-0.417627683179075,38,7,228
38,estresHistory,BBA***,obesity,1,0.04892807567835849,70,15,228
39,estresHistory,BBBA**,obesity,1,-1.344814704110223,34,4,228
40,estresHistory,BBBB**,obesity,1,0.6035561096218344,319,72,228
41,estresHistory,BBB***,obesity,1,0.27693357478899494,358,78,228
42,estresHistory,BB*A**,obesity,1,-0.5382156755059476,65,12,228
43,estresHistory,BB*B**,obesity,1,0.43427724213012336,357,79,228
44,estresHistory,BB****,obesity,1,0.27306394318275695,428,93,228
45,estresHistory,B*AA**,obesity,1,0.8128087122299527,46,12,228
46,estresHistory,B*AB**,obesity,1,-0.590614733574302,76,14,228
47,estresHistory,B*A***,obesity,1,-0.013944116654333979,123,26,228
48,estresHistory,B*BA**,obesity,1,-1.7915040731529623,41,4,228
49,estresHistory,B*BB**,obesity,1,0.1339413491357651,396,85,228
50,estresHistory,B*B***,obesity,1,-0.3093780863592851,442,91,228
51,estresHistory,B**A**,obesity,1,-0.6388167800245634,87,16,228
52,estresHistory,B**B**,obesity,1,-0.1143105434405592,472,99,228
53,estresHistory,B*****,obesity,1,-0.3016917465989536,566,117,228
54,estresHistory,*AAA**,obesity,1,0.22443388748769236,118,26,228
55,estresHistory,*AAB**,obesity,1,-0.8334637266554129,157,29,228
56,estresHistory,*AA***,obesity,1,-0.48273742214118553,275,55,228
57,estresHistory,*ABA**,obesity,1,0.5467881985740888,19,5,228
58,estresHistory,*ABB**,obesity,1,-1.5669454305929542,256,44,228
59,estresHistory,*AB***,obesity,1,-1.3681217395683163,275,49,228
60,estresHistory,*A*A**,obesity,1,0.5745912441811588,138,32,228
61,estresHistory,*A*B**,obesity,1,-1.747549253410783,413,73,228
62,estresHistory,*A****,obesity,1,-1.2463673955654628,552,105,228
63,estresHistory,*BAA**,obesity,1,1.5928721727338029,34,11,228
64,estresHistory,*BAB**,obesity,1,-0.4834366163637394,49,9,228
65,estresHistory,*BA***,obesity,1,0.7933068925017316,85,21,228
66,estresHistory,*BBA**,obesity,1,-0.9994796962966365,35,5,228
67,estresHistory,*BBB**,obesity,1,1.2683310357668263,395,94,228
68,estresHistory,*BB***,obesity,1,1.0354538037703906,435,101,228
69,estresHistory,*B*A**,obesity,1,0.4062973651709128,69,16,228
70,estresHistory,*B*B**,obesity,1,1.0356986367686485,444,103,228
71,estresHistory,*B****,obesity,1,1.3510626193101694,521,123,228
72,estresHistory,**AA**,obesity,1,0.9510990876640072,152,37,228
73,estresHistory,**AB**,obesity,1,-0.963395513435709,206,38,228
74,estresHistory,**A***,obesity,1,-0.03643820573487068,360,76,228
75,estresHistory,**BA**,obesity,1,-0.48031869142993205,54,10,228
76,estresHistory,**BB**,obesity,1,0.005348049354177268,651,138,228
77,estresHistory,**B***,obesity,1,-0.0409681840013419,710,150,228
78,estresHistory,***A**,obesity,1,0.7037276794573867,207,48,228
79,estresHistory,***B**,obesity,1,-0.46767131257393085,857,176,228
80,estresHistory,******,obesity,1,0.0,1076,228,228
81,estresHistory,AAAA**,obesity,0,-0.04212829542659083,103,81,848
82,estresHistory,AAAB**,obesity,0,0.7213354373263073,119,97,848
83,estresHistory,AAA***,obesity,0,0.49942635680505815,222,178,848
84,estresHistory,AABA**,obesity,0,-1.7358231582892127,12,7,848
85,estresHistory,AABB**,obesity,0,1.2674009672351818,179,148,848
86,estresHistory,AAB***,obesity,0,0.7918512113275145,191,155,848
87,estresHistory,AA*A**,obesity,0,-0.7770580688180827,116,88,848
88,estresHistory,AA*B**,obesity,0,1.4381031757484586,298,245,848
89,estresHistory,AA****,obesity,0,0.8087849067238654,414,333,848
90,estresHistory,ABAA**,obesity,0,-3.3403435058152486,3,0,848
91,estresHistory,ABAB**,obesity,0,0.24411153733275961,11,9,848
92,estresHistory,ABA***,obesity,0,-1.7827514077757771,15,9,848
93,estresHistory,ABBA**,obesity,0,-1.928548222268252,1,0,848
94,estresHistory,ABBB**,obesity,0,-1.4432804959088528,75,54,848
95,estresHistory,ABB***,obesity,0,-1.6549734407223375,76,54,848
96,estresHistory,AB*A**,obesity,0,-3.857096444536504,4,0,848
97,estresHistory,AB*B**,obesity,0,-1.2605165256458237,86,63,848
98,estresHistory,AB****,obesity,0,-2.4251100759737665,92,63,848
99,estresHistory,A*AA**,obesity,0,-0.6034793484059388,106,81,848
100,estresHistory,A*AB**,obesity,0,0.7611519077823086,130,106,848
101,estresHistory,A*A***,obesity,0,0.03486362008434796,237,187,848
102,estresHistory,A*BA**,obesity,0,-2.2026079846748114,13,7,848
103,estresHistory,A*BB**,obesity,0,0.2796880193396406,254,202,848
104,estresHistory,A*B***,obesity,0,-0.21322483400529682,267,209,848
105,estresHistory,A**A**,obesity,0,-1.4682035822049737,120,88,848
106,estresHistory,A**B**,obesity,0,0.6703416788899721,384,308,848
107,estresHistory,A*****,obesity,0,-0.30249693677608996,506,396,848
108,estresHistory,BAAA**,obesity,0,-0.5190883545697589,15,11,848
109,estresHistory,BAAB**,obesity,0,0.417627683179075,38,31,848
110,estresHistory,BAA***,obesity,0,0.07747264730003196,53,42,848
111,estresHistory,BABA**,obesity,0,1.3718875579646144,7,7,848
112,estresHistory,BABB**,obesity,0,0.924728267399958,77,64,848
113,estresHistory,BAB***,obesity,0,1.2813897359616544,84,71,848
114,estresHistory,BA*A**,obesity,0,0.3452258468277347,22,18,848
115,estresHistory,BA*B**,obesity,0,0.9967439037601108,115,95,848
116,estresHistory,BA****,obesity,0,1.091878240290342,138,114,848
117,estresHistory,BBAA**,obesity,0,-0.629034585304105,31,23,848
118,estresHistory,BBAB**,obesity,0,0.417627683179075,38,31,848
119,estresHistory,BBA***,obesity,0,-0.04892807567835848,70,55,848
120,estresHistory,BBBA**,obesity,0,1.3448147041102227,34,30,848
121,estresHistory,BBBB**,obesity,0,-0.6035561096218307,319,247,848
122,estresHistory,BBB***,obesity,0,-0.27693357478899616,358,280,848
123,estresHistory,BB*A**,obesity,0,0.5382156755059481,65,53,848
124,estresHistory,BB*B**,obesity,0,-0.4342772421301221,357,278,848
125,estresHistory,BB****,obesity,0,-0.2730639431827584,428,335,848
126,estresHistory,B*AA**,obesity,0,-0.8128087122299529,46,34,848
127,estresHistory,B*AB**,obesity,0,0.590614733574302,76,62,848
128,estresHistory,B*A***,obesity,0,0.013944116654333979,123,97,848
129,estresHistory,B*BA**,obesity,0,1.7915040731529628,41,37,848
130,estresHistory,B*BB**,obesity,0,-0.13394134913576372,396,311,848
131,estresHistory,B*B***,obesity,0,0.30937808635928365,442,351,848
132,estresHistory,B**A**,obesity,0,0.638816780024564,87,71,848
