,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,estresHistory,AAAA**,id_sexo,F,2.0440448887134983,103,76,690
1,estresHistory,AAAB**,id_sexo,F,1.087430843115919,119,82,690
2,estresHistory,AAA***,id_sexo,F,2.1884559953917986,222,158,690
3,estresHistory,AABA**,id_sexo,F,1.3872120738152225,12,10,690
4,estresHistory,AABB**,id_sexo,F,1.7475057273120782,179,126,690
5,estresHistory,AAB***,id_sexo,F,2.039429523006794,191,136,690
6,estresHistory,AA*A**,id_sexo,F,2.441724487453277,116,87,690
7,estresHistory,AA*B**,id_sexo,F,2.041543395374533,298,208,690
8,estresHistory,AA****,id_sexo,F,3.0245594512315477,414,295,690
9,estresHistory,ABAA**,id_sexo,F,1.2954770818371188,3,3,690
10,estresHistory,ABAB**,id_sexo,F,-0.6625192694121891,11,6,690
11,estresHistory,ABA***,id_sexo,F,0.20512567797843673,15,10,690
12,estresHistory,ABBA**,id_sexo,F,0.7479440419276515,1,1,690
13,estresHistory,ABBB**,id_sexo,F,0.9401717958341236,75,52,690
14,estresHistory,ABB***,id_sexo,F,1.0197610392231566,76,53,690
15,estresHistory,AB*A**,id_sexo,F,1.495888083855303,4,4,690
16,estresHistory,AB*B**,id_sexo,F,0.641044136224356,86,58,690
17,estresHistory,AB****,id_sexo,F,1.0876594558183044,92,64,690
18,estresHistory,A*AA**,id_sexo,F,2.232852359759828,106,79,690
19,estresHistory,A*AB**,id_sexo,F,0.8476890455928016,130,88,690
20,estresHistory,A*A***,id_sexo,F,2.169674104708054,237,168,690
21,estresHistory,A*BA**,id_sexo,F,1.5402326033083262,13,11,690
22,estresHistory,A*BB**,id_sexo,F,1.9778762142826465,254,178,690
23,estresHistory,A*B***,id_sexo,F,2.2689866531282696,267,189,690
24,estresHistory,A**A**,id_sexo,F,2.6737947272272224,120,91,690
25,estresHistory,A**B**,id_sexo,F,2.1018307015706887,384,266,690
26,estresHistory,A*****,id_sexo,F,3.199596510951455,506,359,690
27,estresHistory,BAAA**,id_sexo,F,-0.8715339781425306,15,8,690
28,estresHistory,BAAB**,id_sexo,F,0.5519687816996884,38,26,690
29,estresHistory,BAA***,id_sexo,F,0.0037262492632569185,53,34,690
30,estresHistory,BABA**,id_sexo,F,0.4028055741092406,7,5,690
31,estresHistory,BABB**,id_sexo,F,0.3855499748034618,77,51,690
32,estresHistory,BAB***,id_sexo,F,0.4854159505931327,84,56,690
33,estresHistory,BA*A**,id_sexo,F,-0.4924325103502592,22,13,690
34,estresHistory,BA*B**,id_sexo,F,0.6327745794568885,115,77,690
35,estresHistory,BA****,id_sexo,F,0.2672128097252523,138,90,690
36,estresHistory,BBAA**,id_sexo,F,0.7941757017721668,31,22,690
37,estresHistory,BBAB**,id_sexo,F,-1.477365190198483,38,20,690
38,estresHistory,BBA***,id_sexo,F,-0.7198032321050407,70,42,690
39,estresHistory,BBBA**,id_sexo,F,0.7855789105617585,34,24,690
40,estresHistory,BBBB**,id_sexo,F,-4.268181654775689,319,168,690
41,estresHistory,BBB***,id_sexo,F,-3.6994411460800887,358,196,690
42,estresHistory,BB*A**,id_sexo,F,1.116617241509434,65,46,690
43,estresHistory,BB*B**,id_sexo,F,-4.516632204589241,357,188,690
44,estresHistory,BB****,id_sexo,F,-3.674517891147781,428,238,690
45,estresHistory,B*AA**,id_sexo,F,0.15427538762579066,46,30,690
46,estresHistory,B*AB**,id_sexo,F,-0.654354075735174,76,46,690
47,estresHistory,B*A***,id_sexo,F,-0.5405670325459072,123,76,690
48,estresHistory,B*BA**,id_sexo,F,0.8818189376812714,41,29,690
49,estresHistory,B*BB**,id_sexo,F,-3.6607987144063294,396,219,690
50,estresHistory,B*B***,id_sexo,F,-3.1177909317009314,442,252,690
51,estresHistory,B**A**,id_sexo,F,0.7175373448375684,87,59,690
52,estresHistory,B**B**,id_sexo,F,-3.6157179671765216,472,265,690
53,estresHistory,B*****,id_sexo,F,-3.0633739444202863,566,328,690
54,estresHistory,*AAA**,id_sexo,F,1.5989785820310958,118,84,690
55,estresHistory,*AAB**,id_sexo,F,1.2182823505553209,157,108,690
56,estresHistory,*AA***,id_sexo,F,1.967927607661392,275,192,690
57,estresHistory,*ABA**,id_sexo,F,1.3469380770907449,19,15,690
58,estresHistory,*ABB**,id_sexo,F,1.6727012802954535,256,177,690
59,estresHistory,*AB***,id_sexo,F,1.967927607661392,275,192,690
60,estresHistory,*A*A**,id_sexo,F,2.042033694073224,138,100,690
61,estresHistory,*A*B**,id_sexo,F,2.068075208667158,413,285,690
62,estresHistory,*A****,id_sexo,F,2.752951724885469,552,385,690
63,estresHistory,*BAA**,id_sexo,F,1.1431435923572122,34,25,690
64,estresHistory,*BAB**,id_sexo,F,-1.6149169284255802,49,26,690
65,estresHistory,*BA***,id_sexo,F,-0.5670407689067327,85,52,690
66,estresHistory,*BBA**,id_sexo,F,0.9007006454240915,35,25,690
67,estresHistory,*BBB**,id_sexo,F,-3.3883483365384777,395,221,690
