,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,pesoHistory,AAAA**,academic,0,-1.0370048866747241,348,235,754
1,pesoHistory,AAAB**,academic,0,0.2102549100630659,25,18,754
2,pesoHistory,AAA***,academic,0,-0.9549436503925139,376,255,754
3,pesoHistory,AABA**,academic,0,-0.5359039876869822,29,19,754
4,pesoHistory,AABB**,academic,0,0.4810356445891578,20,15,754
5,pesoHistory,AAB***,academic,0,-0.10495349895591524,49,34,754
6,pesoHistory,AA*A**,academic,0,-1.144955091504391,377,254,754
7,pesoHistory,AA*B**,academic,0,0.47740518689414463,45,33,754
8,pesoHistory,AA****,academic,0,-0.9338455347337371,425,289,754
9,pesoHistory,ABAA**,academic,0,1.457628764547523,20,17,754
10,pesoHistory,ABAB**,academic,0,-0.12888977009236188,3,2,754
11,pesoHistory,ABA***,academic,0,1.3126963167901604,23,19,754
12,pesoHistory,ABBA**,academic,0,0.046268964929882306,17,12,754
13,pesoHistory,ABBB**,academic,0,-1.8833916978893805,13,6,754
14,pesoHistory,ABB***,academic,0,-1.2049701839908604,30,18,754
15,pesoHistory,AB*A**,academic,0,1.1030326768714986,37,29,754
16,pesoHistory,AB*B**,academic,0,-1.753477242224797,16,8,754
17,pesoHistory,AB****,academic,0,-0.041815733135970895,53,37,754
18,pesoHistory,A*AA**,academic,0,-0.6686203032006592,368,252,754
19,pesoHistory,A*AB**,academic,0,0.15648313514513745,28,20,754
20,pesoHistory,A*A***,academic,0,-0.6118439845473834,399,274,754
21,pesoHistory,A*BA**,academic,0,-0.3973795836544004,46,31,754
22,pesoHistory,A*BB**,academic,0,-0.8076173630930326,33,21,754
23,pesoHistory,A*B***,academic,0,-0.8252033717142792,79,52,754
24,pesoHistory,A**A**,academic,0,-0.7628411284610557,414,283,754
25,pesoHistory,A**B**,academic,0,-0.48799689829862514,61,41,754
26,pesoHistory,A*****,academic,0,-0.8944771160722147,478,326,754
27,pesoHistory,BAAA**,academic,0,1.028724688661205,81,61,754
28,pesoHistory,BAAB**,academic,0,0.304233654525798,8,6,754
29,pesoHistory,BAA***,academic,0,1.0726144961524127,89,67,754
30,pesoHistory,BABA**,academic,0,1.2779023226558306,14,12,754
31,pesoHistory,BABB**,academic,0,0.07824156757256873,7,5,754
32,pesoHistory,BAB***,academic,0,1.0885756673079268,21,17,754
33,pesoHistory,BA*A**,academic,0,1.4996480284433669,96,74,754
34,pesoHistory,BA*B**,academic,0,0.275630013165858,15,11,754
35,pesoHistory,BA****,academic,0,1.4959679460106448,111,85,754
36,pesoHistory,BBAA**,academic,0,0.1360446795338494,190,134,754
37,pesoHistory,BBAB**,academic,0,0.7092258079268076,6,5,754
38,pesoHistory,BBA***,academic,0,0.34961206499735614,198,141,754
39,pesoHistory,BBBA**,academic,0,0.05528366496224894,138,97,754
