,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,pesoHistory,AAAA**,AedadC,2,-3.1091046892228382,348,128,485
1,pesoHistory,AAAB**,AedadC,2,0.6959503231327399,25,13,485
2,pesoHistory,AAA***,AedadC,2,-2.8481536680565815,376,142,485
3,pesoHistory,AABA**,AedadC,2,-1.892737318655196,29,8,485
4,pesoHistory,AABB**,AedadC,2,-0.9054816848806877,20,7,485
5,pesoHistory,AAB***,AedadC,2,-2.0345913710172296,49,15,485
6,pesoHistory,AA*A**,AedadC,2,-3.51208204426238,377,136,485
7,pesoHistory,AA*B**,AedadC,2,-0.08492371275787514,45,20,485
8,pesoHistory,AA****,AedadC,2,-3.369784554407142,425,157,485
9,pesoHistory,ABAA**,AedadC,2,-2.7030800113227906,20,3,485
10,pesoHistory,ABAB**,AedadC,2,-1.5690535153429763,3,0,485
11,pesoHistory,ABA***,AedadC,2,-3.0873106455621513,23,3,485
12,pesoHistory,ABBA**,AedadC,2,0.1644438191662132,17,8,485
13,pesoHistory,ABBB**,AedadC,2,-0.47918746275414165,13,5,485
14,pesoHistory,ABB***,AedadC,2,-0.19165099505827454,30,13,485
15,pesoHistory,AB*A**,AedadC,2,-1.8758782732581258,37,11,485
16,pesoHistory,AB*B**,AedadC,2,-1.1113538439720343,16,5,485
17,pesoHistory,AB****,AedadC,2,-2.1779805097736253,53,16,485
18,pesoHistory,A*AA**,AedadC,2,-3.6535967157838445,368,131,485
19,pesoHistory,A*AB**,AedadC,2,0.14401792113040116,28,13,485
20,pesoHistory,A*A***,AedadC,2,-3.5060838666958225,399,145,485
21,pesoHistory,A*BA**,AedadC,2,-1.4028634975506595,46,16,485
22,pesoHistory,A*BB**,AedadC,2,-1.0056765888957087,33,12,485
23,pesoHistory,A*B***,AedadC,2,-1.7204681413074145,79,28,485
24,pesoHistory,A**A**,AedadC,2,-3.9122651837857605,414,147,485
25,pesoHistory,A**B**,AedadC,2,-0.6421178794378016,61,25,485
26,pesoHistory,A*****,AedadC,2,-3.9027124281584733,478,173,485
27,pesoHistory,BAAA**,AedadC,2,0.10937133067661281,81,37,485
28,pesoHistory,BAAB**,AedadC,2,2.411688239815598,8,7,485
29,pesoHistory,BAA***,AedadC,2,0.8273947446737924,89,44,485
30,pesoHistory,BABA**,AedadC,2,-1.2410020437658218,14,4,485
31,pesoHistory,BABB**,AedadC,2,-0.8775209606131772,7,2,485
32,pesoHistory,BAB***,AedadC,2,-1.5199108884886707,21,6,485
33,pesoHistory,BA*A**,AedadC,2,-0.4659088664153575,96,41,485
34,pesoHistory,BA*B**,AedadC,2,1.1617871288558554,15,9,485
35,pesoHistory,BA****,AedadC,2,-0.0062050022771543345,111,50,485
36,pesoHistory,BBAA**,AedadC,2,0.635523234012964,190,90,485
37,pesoHistory,BBAB**,AedadC,2,-0.5780015069440934,6,2,485
38,pesoHistory,BBA***,AedadC,2,0.39317676886450464,198,92,485
39,pesoHistory,BBBA**,AedadC,2,3.900258529298029,138,85,485
40,pesoHistory,BBBB**,AedadC,2,2.940762155560341,147,84,485
41,pesoHistory,BBB***,AedadC,2,4.826014973751087,285,169,485
42,pesoHistory,BB*A**,AedadC,2,3.0135519320925703,328,175,485
43,pesoHistory,BB*B**,AedadC,2,2.7680621204185973,153,86,485
44,pesoHistory,BB****,AedadC,2,3.958864456165575,483,261,485
45,pesoHistory,B*AA**,AedadC,2,0.5919316767881814,271,127,485
46,pesoHistory,B*AB**,AedadC,2,1.444674141053214,14,9,485
47,pesoHistory,B*A***,AedadC,2,0.7873239723030627,287,136,485
48,pesoHistory,B*BA**,AedadC,2,3.3396734087898037,152,89,485
49,pesoHistory,B*BB**,AedadC,2,2.68606129248079,154,86,485
50,pesoHistory,B*B***,AedadC,2,4.259304737285136,306,175,485
51,pesoHistory,B**A**,AedadC,2,2.428835832069505,424,216,485
52,pesoHistory,B**B**,AedadC,2,2.988749396630317,168,95,485
53,pesoHistory,B*****,AedadC,2,3.5671759632898783,594,311,485
54,pesoHistory,*AAA**,AedadC,2,-2.7932057584367667,430,165,485
55,pesoHistory,*AAB**,AedadC,2,1.7931802094276874,33,20,485
56,pesoHistory,*AA***,AedadC,2,-2.238752097374924,466,186,485
57,pesoHistory,*ABA**,AedadC,2,-2.262485085700326,43,12,485
58,pesoHistory,*ABB**,AedadC,2,-1.2261263552886352,27,9,485
59,pesoHistory,*AB***,AedadC,2,-2.5347507494842403,70,21,485
60,pesoHistory,*A*A**,AedadC,2,-3.3834604328452884,474,177,485
61,pesoHistory,*A*B**,AedadC,2,0.5073474717959157,60,29,485
62,pesoHistory,*A****,AedadC,2,-3.0397602286614434,537,207,485
63,pesoHistory,*BAA**,AedadC,2,-0.22968542778599765,210,93,485
64,pesoHistory,*BAB**,AedadC,2,-1.3778297236471215,9,2,485
65,pesoHistory,*BA***,AedadC,2,-0.6238188679628622,221,95,485
66,pesoHistory,*BBA**,AedadC,2,3.7346231097675306,155,93,485
67,pesoHistory,*BBB**,AedadC,2,2.682173653239383,160,89,485
68,pesoHistory,*BB***,AedadC,2,4.473175138129916,316,182,485
69,pesoHistory,*B*A**,AedadC,2,2.259475807236284,365,186,485
70,pesoHistory,*B*B**,AedadC,2,2.291817086644851,169,91,485
71,pesoHistory,*B****,AedadC,2,3.0312163688720295,537,277,485
72,pesoHistory,**AA**,AedadC,2,-2.421103238191636,640,258,485
73,pesoHistory,**AB**,AedadC,2,0.9516731444236558,42,22,485
74,pesoHistory,**A***,AedadC,2,-2.197643832993463,687,281,485
75,pesoHistory,**BA**,AedadC,2,2.249948086513621,198,105,485
76,pesoHistory,**BB**,AedadC,2,2.015092234544377,187,98,485
77,pesoHistory,**B***,AedadC,2,2.9678832599010914,386,203,485
78,pesoHistory,***A**,AedadC,2,-1.052836184443826,839,363,485
79,pesoHistory,***B**,AedadC,2,2.228512845909216,229,120,485
80,pesoHistory,******,AedadC,2,0.0,1076,485,485
81,pesoHistory,AAAA**,AedadC,1,1.0810421626841251,348,120,342
82,pesoHistory,AAAB**,AedadC,1,-0.4063653699189549,25,7,342
83,pesoHistory,AAA***,AedadC,1,0.9403750230053659,376,128,342
84,pesoHistory,AABA**,AedadC,1,-0.08672728988697018,29,9,342
85,pesoHistory,AABB**,AedadC,1,-0.17137802892082674,20,6,342
86,pesoHistory,AAB***,AedadC,1,-0.17620951347875005,49,15,342
87,pesoHistory,AA*A**,AedadC,1,1.0145778918172115,377,129,342
88,pesoHistory,AA*B**,AedadC,1,-0.4171388828940955,45,13,342
89,pesoHistory,AA****,AedadC,1,0.8246735921476204,425,143,342
90,pesoHistory,ABAA**,AedadC,1,0.3088374896177388,20,7,342
91,pesoHistory,ABAB**,AedadC,1,-1.1822944487257556,3,0,342
92,pesoHistory,ABA***,AedadC,1,-0.13900213339184814,23,7,342
93,pesoHistory,ABBA**,AedadC,1,0.3107774396329963,17,6,342
94,pesoHistory,ABBB**,AedadC,1,-1.2698740675189584,13,2,342
95,pesoHistory,ABB***,AedadC,1,-0.6019886909851557,30,8,342
