,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,pesoHistory,AAAA**,hdegree,0,-4.218077481051062,348,103,438
1,pesoHistory,AAAB**,hdegree,0,0.33520950361938984,25,11,438
2,pesoHistory,AAA***,hdegree,0,-3.9947663003978526,376,115,438
3,pesoHistory,AABA**,hdegree,0,-1.4381409238133454,29,8,438
4,pesoHistory,AABB**,hdegree,0,-1.4297309144320423,20,5,438
5,pesoHistory,AAB***,hdegree,0,-2.0197967027179273,49,13,438
6,pesoHistory,AA*A**,hdegree,0,-4.4514662842045105,377,111,438
7,pesoHistory,AA*B**,hdegree,0,-0.7033035306890556,45,16,438
8,pesoHistory,AA****,hdegree,0,-4.4432511681482945,425,128,438
9,pesoHistory,ABAA**,hdegree,0,-0.9745858067607768,20,6,438
10,pesoHistory,ABAB**,hdegree,0,-1.4351171131746168,3,0,438
11,pesoHistory,ABA***,hdegree,0,-1.4271093446897274,23,6,438
12,pesoHistory,ABBA**,hdegree,0,0.5331314131374498,17,8,438
13,pesoHistory,ABBB**,hdegree,0,-0.7292823945643043,13,4,438
14,pesoHistory,ABB***,hdegree,0,-0.078745695842585,30,12,438
15,pesoHistory,AB*A**,hdegree,0,-0.3551549297191967,37,14,438
16,pesoHistory,AB*B**,hdegree,0,-1.2787902056811926,16,4,438
17,pesoHistory,AB****,hdegree,0,-0.9993645744804034,53,18,438
18,pesoHistory,A*AA**,hdegree,0,-4.329056124369751,368,109,438
19,pesoHistory,A*AB**,hdegree,0,-0.15300913455983095,28,11,438
20,pesoHistory,A*A***,hdegree,0,-4.220557423246335,399,121,438
21,pesoHistory,A*BA**,hdegree,0,-0.8177822040093705,46,16,438
22,pesoHistory,A*BB**,hdegree,0,-1.5707751227569435,33,9,438
23,pesoHistory,A*B***,hdegree,0,-1.6392401171868305,79,25,438
24,pesoHistory,A**A**,hdegree,0,-4.354067323575129,414,125,438
25,pesoHistory,A**B**,hdegree,0,-1.2589948773810888,61,20,438
26,pesoHistory,A*****,hdegree,0,-4.522457971315586,478,146,438
27,pesoHistory,BAAA**,hdegree,0,0.684795938545254,81,36,438
28,pesoHistory,BAAB**,hdegree,0,-0.18459362309022379,8,3,438
29,pesoHistory,BAA***,hdegree,0,0.5979505107483699,89,39,438
30,pesoHistory,BABA**,hdegree,0,2.339817246762017,14,10,438
31,pesoHistory,BABB**,hdegree,0,0.1158293448537039,7,3,438
32,pesoHistory,BAB***,hdegree,0,1.977326885408257,21,13,438
33,pesoHistory,BA*A**,hdegree,0,1.6457369875309986,96,47,438
34,pesoHistory,BA*B**,hdegree,0,-0.055681615519545175,15,6,438
35,pesoHistory,BA****,hdegree,0,1.5100353413948726,111,53,438
36,pesoHistory,BBAA**,hdegree,0,2.60753055307767,190,95,438
37,pesoHistory,BBAB**,hdegree,0,0.46337033905143094,6,3,438
38,pesoHistory,BBA***,hdegree,0,2.6618599412285118,198,99,438
39,pesoHistory,BBBA**,hdegree,0,1.1826213916021426,138,63,438
40,pesoHistory,BBBB**,hdegree,0,2.209624761554569,147,73,438
41,pesoHistory,BBB***,hdegree,0,2.409848922927172,285,136,438
42,pesoHistory,BB*A**,hdegree,0,2.751676667065709,328,158,438
43,pesoHistory,BB*B**,hdegree,0,2.2576264832860113,153,76,438
44,pesoHistory,BB****,hdegree,0,3.55543039401521,483,235,438
45,pesoHistory,B*AA**,hdegree,0,2.5577264699745412,271,131,438
46,pesoHistory,B*AB**,hdegree,0,0.1638074304128983,14,6,438
47,pesoHistory,B*A***,hdegree,0,2.5439203212383177,287,138,438
48,pesoHistory,B*BA**,hdegree,0,1.836950779081816,152,73,438
49,pesoHistory,B*BB**,hdegree,0,2.183516898406424,154,76,438
50,pesoHistory,B*B***,hdegree,0,2.8436856290067247,306,149,438
51,pesoHistory,B**A**,hdegree,0,3.203293366684286,424,205,438
52,pesoHistory,B**B**,hdegree,0,2.1378454008004266,168,82,438
53,pesoHistory,B*****,hdegree,0,3.8588292537091897,594,288,438
54,pesoHistory,*AAA**,hdegree,0,-3.4392181797684263,430,140,438
55,pesoHistory,*AAB**,hdegree,0,0.20087480605487157,33,14,438
56,pesoHistory,*AA***,hdegree,0,-3.2711041234145704,466,155,438
57,pesoHistory,*ABA**,hdegree,0,0.15404926644526412,43,18,438
58,pesoHistory,*ABB**,hdegree,0,-1.1715390335352402,27,8,438
59,pesoHistory,*AB***,hdegree,0,-0.6068566241898847,70,26,438
60,pesoHistory,*A*A**,hdegree,0,-3.173871420554623,474,159,438
