,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,pesoHistory,AAAA**,Apuesto,Admin,-1.892232160589712,348,15,74
1,pesoHistory,AAAB**,Apuesto,Admin,1.0121141406562555,25,3,74
2,pesoHistory,AAA***,Apuesto,Admin,-1.601479306132942,376,18,74
3,pesoHistory,AABA**,Apuesto,Admin,-0.729684394254519,29,1,74
4,pesoHistory,AABB**,Apuesto,Admin,-0.3317543657026317,20,1,74
5,pesoHistory,AAB***,Apuesto,Admin,-0.7733030496202162,49,2,74
6,pesoHistory,AA*A**,Apuesto,Admin,-2.0203758930127855,377,16,74
7,pesoHistory,AA*B**,Apuesto,Admin,0.5332157626969694,45,4,74
8,pesoHistory,AA****,Apuesto,Admin,-1.7689072537169142,425,20,74
9,pesoHistory,ABAA**,Apuesto,Admin,-1.2153377753462749,20,0,74
10,pesoHistory,ABAB**,Apuesto,Admin,-0.47069829639328936,3,0,74
11,pesoHistory,ABA***,Apuesto,Admin,-1.3033045670184606,23,0,74
12,pesoHistory,ABBA**,Apuesto,Admin,1.7546562385812297,17,3,74
13,pesoHistory,ABBB**,Apuesto,Admin,1.212064034443,13,2,74
14,pesoHistory,ABB***,Apuesto,Admin,2.118735457328671,30,5,74
15,pesoHistory,AB*A**,Apuesto,Admin,0.29583223687607774,37,3,74
16,pesoHistory,AB*B**,Apuesto,Admin,0.8887214152351738,16,2,74
17,pesoHistory,AB****,Apuesto,Admin,0.7354783084454198,53,5,74
18,pesoHistory,A*AA**,Apuesto,Admin,-2.1234216006710875,368,15,74
19,pesoHistory,A*AB**,Apuesto,Admin,0.8022857857308922,28,3,74
20,pesoHistory,A*A***,Apuesto,Admin,-1.8675491485162277,399,18,74
21,pesoHistory,A*BA**,Apuesto,Admin,0.4873195931616543,46,4,74
22,pesoHistory,A*BB**,Apuesto,Admin,0.5024766158626066,33,3,74
23,pesoHistory,A*B***,Apuesto,Admin,0.6966173775683308,79,7,74
24,pesoHistory,A**A**,Apuesto,Admin,-1.8395412198161407,414,19,74
25,pesoHistory,A**B**,Apuesto,Admin,0.9131341548703125,61,6,74
26,pesoHistory,A*****,Apuesto,Admin,-1.42305694177745,478,25,74
27,pesoHistory,BAAA**,Apuesto,Admin,1.5056850423405836,81,9,74
28,pesoHistory,BAAB**,Apuesto,Admin,0.6284209392984969,8,1,74
29,pesoHistory,BAA***,Apuesto,Admin,1.6248292207675816,89,10,74
30,pesoHistory,BABA**,Apuesto,Admin,0.03925963457023465,14,1,74
31,pesoHistory,BABB**,Apuesto,Admin,0.7745250318993735,7,1,74
32,pesoHistory,BAB***,Apuesto,Admin,0.47922759305627527,21,2,74
33,pesoHistory,BA*A**,Apuesto,Admin,1.3703163826450564,96,10,74
34,pesoHistory,BA*B**,Apuesto,Admin,0.9880350900082397,15,2,74
35,pesoHistory,BA****,Apuesto,Admin,1.6375772731735925,111,12,74
36,pesoHistory,BBAA**,Apuesto,Admin,1.1275067172576503,190,17,74
37,pesoHistory,BBAB**,Apuesto,Admin,-0.6656679145453007,6,0,74
38,pesoHistory,BBA***,Apuesto,Admin,0.949990074686099,198,17,74
39,pesoHistory,BBBA**,Apuesto,Admin,-0.5014355262915434,138,8,74
40,pesoHistory,BBBB**,Apuesto,Admin,0.29017308104554135,147,11,74
41,pesoHistory,BBB***,Apuesto,Admin,-0.14052719168964786,285,19,74
42,pesoHistory,BB*A**,Apuesto,Admin,0.5328914084781832,328,25,74
43,pesoHistory,BB*B**,Apuesto,Admin,0.15260462041129447,153,11,74
44,pesoHistory,BB****,Apuesto,Admin,0.5002977042370202,483,36,74
45,pesoHistory,B*AA**,Apuesto,Admin,1.7672600985346831,271,26,74
46,pesoHistory,B*AB**,Apuesto,Admin,0.03925963457023465,14,1,74
47,pesoHistory,B*A***,Apuesto,Admin,1.6938803808565221,287,27,74
48,pesoHistory,B*BA**,Apuesto,Admin,-0.4658705250313871,152,9,74
49,pesoHistory,B*BB**,Apuesto,Admin,0.448630835341628,154,12,74
50,pesoHistory,B*B***,Apuesto,Admin,-0.010076989441234611,306,21,74
51,pesoHistory,B**A**,Apuesto,Admin,1.1207365289815967,424,35,74
52,pesoHistory,B**B**,Apuesto,Admin,0.44086460342515077,168,13,74
53,pesoHistory,B*****,Apuesto,Admin,1.1590344173002503,594,48,74
54,pesoHistory,*AAA**,Apuesto,Admin,-1.061885463778567,430,24,74
55,pesoHistory,*AAB**,Apuesto,Admin,1.1903453673488213,33,4,74
56,pesoHistory,*AA***,Apuesto,Admin,-0.741046042169787,466,28,74
57,pesoHistory,*ABA**,Apuesto,Admin,-0.5768372215072443,43,2,74
58,pesoHistory,*ABB**,Apuesto,Admin,0.10884014661346324,27,2,74
59,pesoHistory,*AB***,Apuesto,Admin,-0.3845079871183035,70,4,74
60,pesoHistory,*A*A**,Apuesto,Admin,-1.19762115056216,474,26,74
61,pesoHistory,*A*B**,Apuesto,Admin,0.9557959411979902,60,6,74
62,pesoHistory,*A****,Apuesto,Admin,-0.8408729505001299,537,32,74
63,pesoHistory,*BAA**,Apuesto,Admin,0.6974114311844742,210,17,74
64,pesoHistory,*BAB**,Apuesto,Admin,-0.8152733643892917,9,0,74
65,pesoHistory,*BA***,Apuesto,Admin,0.4787490390322422,221,17,74
66,pesoHistory,*BBA**,Apuesto,Admin,0.10796065622061575,155,11,74
67,pesoHistory,*BBB**,Apuesto,Admin,0.6236265050510871,160,13,74
68,pesoHistory,*BB***,Apuesto,Admin,0.7263661623755197,316,25,74
69,pesoHistory,*B*A**,Apuesto,Admin,0.5993492386647674,365,28,74
70,pesoHistory,*B*B**,Apuesto,Admin,0.41865388982152835,169,13,74
71,pesoHistory,*B****,Apuesto,Admin,0.8643273788216564,537,42,74
72,pesoHistory,**AA**,Apuesto,Admin,-0.4709134968309423,640,41,74
73,pesoHistory,**AB**,Apuesto,Admin,0.677730161563599,42,4,74
74,pesoHistory,**A***,Apuesto,Admin,-0.3387881468974622,687,45,74
75,pesoHistory,**BA**,Apuesto,Admin,-0.17329489274493637,198,13,74
76,pesoHistory,**BB**,Apuesto,Admin,0.6182082485209262,187,15,74
77,pesoHistory,**B***,Apuesto,Admin,0.4934697711352883,386,29,74
78,pesoHistory,***A**,Apuesto,Admin,-0.5048595253461511,839,54,74
79,pesoHistory,***B**,Apuesto,Admin,0.8488918095256155,229,19,74
80,pesoHistory,******,Apuesto,Admin,0.0,1076,74,74
81,pesoHistory,AAAA**,Apuesto,Sec,-0.3702829592472793,348,20,67
82,pesoHistory,AAAB**,Apuesto,Sec,-1.2884329492902027,25,0,67
83,pesoHistory,AAA***,Apuesto,Sec,-0.7283259191516505,376,20,67
84,pesoHistory,AABA**,Apuesto,Sec,-0.6192087918489335,29,1,67
85,pesoHistory,AABB**,Apuesto,Sec,-0.2270418644754466,20,1,67
86,pesoHistory,AAB***,Apuesto,Sec,-0.6214147827919914,49,2,67
87,pesoHistory,AA*A**,Apuesto,Sec,-0.5274939790700018,377,21,67
88,pesoHistory,AA*B**,Apuesto,Sec,-1.111702462671442,45,1,67
89,pesoHistory,AA****,Apuesto,Sec,-0.8960559688984152,425,22,67
90,pesoHistory,ABAA**,Apuesto,Sec,-1.1524094636253732,20,0,67
91,pesoHistory,ABAB**,Apuesto,Sec,-0.4463262660632892,3,0,67
92,pesoHistory,ABA***,Apuesto,Sec,-1.2358214707761466,23,0,67
93,pesoHistory,ABBA**,Apuesto,Sec,-1.0624690282899178,17,0,67
94,pesoHistory,ABBB**,Apuesto,Sec,-0.9291022127326239,13,0,67
95,pesoHistory,ABB***,Apuesto,Sec,-1.4114075803183077,30,0,67
96,pesoHistory,AB*A**,Apuesto,Sec,-1.5674463333488142,37,0,67
97,pesoHistory,AB*B**,Apuesto,Sec,-1.0307463594321622,16,0,67
98,pesoHistory,AB****,Apuesto,Sec,-1.8759866911604939,53,0,67
99,pesoHistory,A*AA**,Apuesto,Sec,-0.6287372051190779,368,20,67
100,pesoHistory,A*AB**,Apuesto,Sec,-1.3635492659213484,28,0,67
101,pesoHistory,A*A***,Apuesto,Sec,-1.0037332075756653,399,20,67
102,pesoHistory,A*BA**,Apuesto,Sec,-1.1375461590508908,46,1,67
103,pesoHistory,A*BB**,Apuesto,Sec,-0.7598990597127637,33,1,67
104,pesoHistory,A*B***,Apuesto,Sec,-1.3591625709435937,79,2,67
105,pesoHistory,A**A**,Apuesto,Sec,-0.9719611747822662,414,21,67
106,pesoHistory,A**B**,Apuesto,Sec,-1.482732659022981,61,1,67
107,pesoHistory,A*****,Apuesto,Sec,-1.469594568398309,478,22,67
108,pesoHistory,BAAA**,Apuesto,Sec,-1.3995415950001373,81,2,67
109,pesoHistory,BAAB**,Apuesto,Sec,-0.7288477404378284,8,0,67
