,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,pesoHistory,AAAA**,obesity,1,-9.017069526285653,348,5,228
1,pesoHistory,AAAB**,obesity,1,-2.5926237893700557,25,0,228
2,pesoHistory,AAA***,obesity,1,-9.423577331553952,376,5,228
3,pesoHistory,AABA**,obesity,1,-2.337931233139621,29,1,228
4,pesoHistory,AABB**,obesity,1,-2.3189132132458163,20,0,228
5,pesoHistory,AAB***,obesity,1,-3.280091450812041,49,1,228
6,pesoHistory,AA*A**,obesity,1,-9.311745632749219,377,6,228
7,pesoHistory,AA*B**,obesity,1,-3.4783698198687247,45,0,228
8,pesoHistory,AA****,obesity,1,-9.977458881363864,425,6,228
9,pesoHistory,ABAA**,obesity,1,-2.3189132132458163,20,0,228
10,pesoHistory,ABAB**,obesity,1,-0.8981112256201376,3,0,228
11,pesoHistory,ABA***,obesity,1,-2.4867573794302777,23,0,228
12,pesoHistory,ABBA**,obesity,1,-1.5444299714640448,17,1,228
13,pesoHistory,ABBB**,obesity,1,-1.1908716709811125,13,1,228
14,pesoHistory,ABB***,obesity,1,-1.946532351068131,30,2,228
15,pesoHistory,AB*A**,obesity,1,-2.751766648430301,37,1,228
16,pesoHistory,AB*B**,obesity,1,-1.4623307864604786,16,1,228
17,pesoHistory,AB****,obesity,1,-3.102654568483494,53,2,228
18,pesoHistory,A*AA**,obesity,1,-9.309217031959532,368,5,228
19,pesoHistory,A*AB**,obesity,1,-2.7437751159292287,28,0,228
20,pesoHistory,A*A***,obesity,1,-9.744989534273358,399,5,228
21,pesoHistory,A*BA**,obesity,1,-2.795203558229738,46,2,228
22,pesoHistory,A*BB**,obesity,1,-2.552717227052531,33,1,228
23,pesoHistory,A*B***,obesity,1,-3.7827971973833883,79,3,228
24,pesoHistory,A**A**,obesity,1,-9.708548507191098,414,7,228
25,pesoHistory,A**B**,obesity,1,-3.7364922327895633,61,1,228
26,pesoHistory,A*****,obesity,1,-10.4412041435158,478,8,228
27,pesoHistory,BAAA**,obesity,1,-0.8601648517559132,81,14,228
28,pesoHistory,BAAB**,obesity,1,0.26373240829366434,8,2,228
