,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,pesoHistory,AAAA**,id_sexo,F,-1.1355121965495554,348,213,690
1,pesoHistory,AAAB**,id_sexo,F,-0.4301647080516549,25,15,690
2,pesoHistory,AAA***,id_sexo,F,-1.30266346109715,376,229,690
3,pesoHistory,AABA**,id_sexo,F,-0.6181672074041755,29,17,690
4,pesoHistory,AABB**,id_sexo,F,-0.8509583182052279,20,11,690
5,pesoHistory,AAB***,id_sexo,F,-1.0192190830413081,49,28,690
6,pesoHistory,AA*A**,id_sexo,F,-1.2624135655633821,377,230,690
7,pesoHistory,AA*B**,id_sexo,F,-0.8879313883784364,45,26,690
8,pesoHistory,AA****,id_sexo,F,-1.5713453987416541,425,257,690
9,pesoHistory,ABAA**,id_sexo,F,0.08145629522534782,20,13,690
10,pesoHistory,ABAB**,id_sexo,F,0.09173499197810324,3,2,690
11,pesoHistory,ABA***,id_sexo,F,0.10908917276037974,23,15,690
12,pesoHistory,ABBA**,id_sexo,F,1.5668338196568599,17,14,690
13,pesoHistory,ABBB**,id_sexo,F,-1.3510623742906953,13,6,690
14,pesoHistory,ABB***,id_sexo,F,0.2900915157880814,30,20,690
15,pesoHistory,AB*A**,id_sexo,F,1.1219417047567954,37,27,690
16,pesoHistory,AB*B**,id_sexo,F,-1.1781087499793061,16,8,690
17,pesoHistory,AB****,id_sexo,F,0.2901151212107663,53,35,690
18,pesoHistory,A*AA**,id_sexo,F,-1.0852352519791877,368,226,690
19,pesoHistory,A*AB**,id_sexo,F,-0.37644011834936364,28,17,690
20,pesoHistory,A*A***,id_sexo,F,-1.2383693499665143,399,244,690
21,pesoHistory,A*BA**,id_sexo,F,0.46168338222829186,46,31,690
22,pesoHistory,A*BB**,id_sexo,F,-1.5104589316535637,33,17,690
23,pesoHistory,A*B***,id_sexo,F,-0.6239328992517761,79,48,690
24,pesoHistory,A**A**,id_sexo,F,-0.8692751470668021,414,257,690
25,pesoHistory,A**B**,id_sexo,F,-1.366007525231718,61,34,690
26,pesoHistory,A*****,id_sexo,F,-1.3850685131597276,478,292,690
27,pesoHistory,BAAA**,id_sexo,F,-0.6816323652109797,81,49,690
28,pesoHistory,BAAB**,id_sexo,F,-0.8330486860855741,8,4,690
29,pesoHistory,BAA***,id_sexo,F,-0.9000345313396251,89,53,690
30,pesoHistory,BABA**,id_sexo,F,2.241326038505309,14,13,690
31,pesoHistory,BABB**,id_sexo,F,1.1908397518211364,7,6,690
32,pesoHistory,BAB***,id_sexo,F,2.5175666984595098,21,19,690
33,pesoHistory,BA*A**,id_sexo,F,0.09334438192899608,96,62,690
34,pesoHistory,BA*B**,id_sexo,F,0.20512567797843673,15,10,690
35,pesoHistory,BA****,id_sexo,F,0.16221421082230267,111,72,690
36,pesoHistory,BBAA**,id_sexo,F,1.0829820936644463,190,129,690
37,pesoHistory,BBAB**,id_sexo,F,-0.7214413247393554,6,3,690
38,pesoHistory,BBA***,id_sexo,F,1.0415994150697325,198,134,690
39,pesoHistory,BBBA**,id_sexo,F,0.4446948981600503,138,91,690
40,pesoHistory,BBBB**,id_sexo,F,0.814108099540868,147,99,690
41,pesoHistory,BBB***,id_sexo,F,0.8941221010332725,285,190,690
42,pesoHistory,BB*A**,id_sexo,F,1.1127003374016324,328,220,690
43,pesoHistory,BB*B**,id_sexo,F,0.6551188796045768,153,102,690
44,pesoHistory,BB****,id_sexo,F,1.35372289237586,483,324,690
45,pesoHistory,B*AA**,id_sexo,F,0.5341480514041141,271,178,690
46,pesoHistory,B*AB**,id_sexo,F,-1.1020198266957713,14,7,690
47,pesoHistory,B*A***,id_sexo,F,0.3639494180108302,287,187,690
48,pesoHistory,B*BA**,id_sexo,F,1.1039375633993769,152,104,690
49,pesoHistory,B*BB**,id_sexo,F,1.0492783569423016,154,105,690
50,pesoHistory,B*B***,id_sexo,F,1.522419140829217,306,209,690
51,pesoHistory,B**A**,id_sexo,F,1.0230769915420124,424,282,690
52,pesoHistory,B**B**,id_sexo,F,0.6864818207210365,168,112,690
53,pesoHistory,B*****,id_sexo,F,1.290825756304114,594,396,690
54,pesoHistory,*AAA**,id_sexo,F,-1.2812927804487404,430,263,690
55,pesoHistory,*AAB**,id_sexo,F,-0.7845751395770849,33,19,690
56,pesoHistory,*AA***,id_sexo,F,-1.5288134413275472,466,283,690
57,pesoHistory,*ABA**,id_sexo,F,0.7712373999637168,43,30,690
58,pesoHistory,*ABB**,id_sexo,F,-0.12604238735202816,27,17,690
59,pesoHistory,*AB***,id_sexo,F,0.5261882057087026,70,47,690
