,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,saludHistory,AAAA**,academic,0,-3.497610865272087,457,286,754
1,saludHistory,AAAB**,academic,0,-1.770596223717286,21,11,754
2,saludHistory,AAA***,academic,0,-3.7893765142659843,481,299,754
3,saludHistory,AABA**,academic,0,-2.845997802091313,37,18,754
4,saludHistory,AABB**,academic,0,0.9726998814323266,24,19,754
5,saludHistory,AAB***,academic,0,-1.606388085879712,61,37,754
6,saludHistory,AA*A**,academic,0,-4.142960953293635,494,304,754
7,saludHistory,AA*B**,academic,0,-0.49918793306422043,45,30,754
8,saludHistory,AA****,academic,0,-4.0768536126994945,543,337,754
9,saludHistory,ABAA**,academic,0,0.9974896994090197,51,39,754
10,saludHistory,ABAB**,academic,0,1.3069899814731127,4,4,754
11,saludHistory,ABA***,academic,0,1.3130017051765654,55,43,754
12,saludHistory,ABBA**,academic,0,0.275630013165858,15,11,754
13,saludHistory,ABBB**,academic,0,0.7137053656485701,18,14,754
14,saludHistory,ABB***,academic,0,0.7129360624329573,33,25,754
15,saludHistory,AB*A**,academic,0,1.0082438485975598,66,50,754
16,saludHistory,AB*B**,academic,0,1.2028731939265422,22,18,754
17,saludHistory,AB****,academic,0,1.4746013830581488,88,68,754
18,saludHistory,A*AA**,academic,0,-3.0013449201840077,508,325,754
19,saludHistory,A*AB**,academic,0,-1.099982251488241,25,15,754
20,saludHistory,A*A***,academic,0,-3.169102782067961,536,342,754
21,saludHistory,A*BA**,academic,0,-2.252640040332726,52,29,754
22,saludHistory,A*BB**,academic,0,1.2025218335892298,42,33,754
23,saludHistory,A*B***,academic,0,-0.8716320386309596,94,62,754
24,saludHistory,A**A**,academic,0,-3.545037440155631,560,354,754
25,saludHistory,A**B**,academic,0,0.2801737437762193,67,48,754
26,saludHistory,A*****,academic,0,-3.23122019031675,631,405,754
27,saludHistory,BAAA**,academic,0,1.8180566309772908,82,65,754
28,saludHistory,BAAB**,academic,0,0.6854213750727796,10,8,754
29,saludHistory,BAA***,academic,0,1.9423842985386313,92,73,754
30,saludHistory,BABA**,academic,0,1.3069899814731127,4,4,754
31,saludHistory,BABB**,academic,0,-0.7471302628988405,7,4,754
32,saludHistory,BAB***,academic,0,0.19214084517450047,11,8,754
33,saludHistory,BA*A**,academic,0,2.0571455434204187,86,69,754
34,saludHistory,BA*B**,academic,0,0.046268964929882306,17,12,754
35,saludHistory,BA****,academic,0,1.8985279983931898,103,81,754
36,saludHistory,BBAA**,academic,0,2.4568998442873844,177,139,754
37,saludHistory,BBAB**,academic,0,0.7092258079268076,6,5,754
38,saludHistory,BBA***,academic,0,2.544707707559301,183,144,754
39,saludHistory,BBBA**,academic,0,0.5790814199526815,78,57,754
40,saludHistory,BBBB**,academic,0,2.250369685703805,77,63,754
41,saludHistory,BBB***,academic,0,1.996901443099962,155,120,754
42,saludHistory,BB*A**,academic,0,2.367205164342051,255,196,754
43,saludHistory,BB*B**,academic,0,2.358192396192127,83,68,754
44,saludHistory,BB****,academic,0,3.2247001146616867,338,264,754
45,saludHistory,B*AA**,academic,0,3.0540404440597206,259,204,754
46,saludHistory,B*AB**,academic,0,0.9761835110070921,16,13,754
