,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,saludHistory,AAAA**,AedadC,2,-1.4092392549588995,457,191,485
1,saludHistory,AAAB**,AedadC,2,-0.20420363505841357,21,9,485
2,saludHistory,AAA***,AedadC,2,-1.5402150586683323,481,200,485
3,saludHistory,AABA**,AedadC,2,0.10655258811926227,37,17,485
4,saludHistory,AABB**,AedadC,2,0.48497224065493866,24,12,485
5,saludHistory,AAB***,AedadC,2,0.3871839280483431,61,29,485
6,saludHistory,AA*A**,AedadC,2,-1.3262761345033593,494,208,485
7,saludHistory,AA*B**,AedadC,2,0.21467600831580913,45,21,485
8,saludHistory,AA****,AedadC,2,-1.3587226004390718,543,229,485
9,saludHistory,ABAA**,AedadC,2,-0.8408746878455071,51,20,485
10,saludHistory,ABAB**,AedadC,2,-1.8117869389123922,4,0,485
11,saludHistory,ABA***,AedadC,2,-1.2983228934879207,55,20,485
12,saludHistory,ABBA**,AedadC,2,-0.3949786876433976,15,6,485
13,saludHistory,ABBB**,AedadC,2,-1.4748367293505389,18,5,485
14,saludHistory,ABB***,AedadC,2,-1.3555336886861336,33,11,485
15,saludHistory,AB*A**,AedadC,2,-0.9274688159612875,66,26,485
16,saludHistory,AB*B**,AedadC,2,-2.106588562417178,22,5,485
17,saludHistory,AB****,AedadC,2,-1.8565058370489378,88,31,485
18,saludHistory,A*AA**,AedadC,2,-1.6030601477180024,508,211,485
19,saludHistory,A*AB**,AedadC,2,-0.9118704985330205,25,9,485
20,saludHistory,A*A***,AedadC,2,-1.8749475323021358,536,220,485
21,saludHistory,A*BA**,AedadC,2,-0.1222575580648405,52,23,485
22,saludHistory,A*BB**,AedadC,2,-0.5989027238377815,42,17,485
23,saludHistory,A*B***,AedadC,2,-0.49126027147891504,94,40,485
24,saludHistory,A**A**,AedadC,2,-1.564074265190304,560,234,485
25,saludHistory,A**B**,AedadC,2,-1.0311938879937945,67,26,485
26,saludHistory,A*****,AedadC,2,-1.9537250069091205,631,260,485
27,saludHistory,BAAA**,AedadC,2,0.4525484557844692,82,39,485
28,saludHistory,BAAB**,AedadC,2,0.31304823523824554,10,5,485
29,saludHistory,BAA***,AedadC,2,0.5304550396437059,92,44,485
30,saludHistory,BABA**,AedadC,2,0.1979890881698079,4,2,485
31,saludHistory,BABB**,AedadC,2,-0.11789702367047518,7,3,485
32,saludHistory,BAB***,AedadC,2,0.02534262290906783,11,5,485
33,saludHistory,BA*A**,AedadC,2,0.4845981899428055,86,41,485
34,saludHistory,BA*B**,AedadC,2,0.1644438191662132,17,8,485
35,saludHistory,BA****,AedadC,2,0.5096121029442304,103,49,485
36,saludHistory,BBAA**,AedadC,2,1.0904407234502853,177,87,485
37,saludHistory,BBAB**,AedadC,2,-0.5780015069440934,6,2,485
38,saludHistory,BBA***,AedadC,2,0.9677560730685703,183,89,485
39,saludHistory,BBBA**,AedadC,2,0.646733816505067,78,38,485
40,saludHistory,BBBB**,AedadC,2,2.815473093000063,77,47,485
41,saludHistory,BBB***,AedadC,2,2.443190348393694,155,85,485
42,saludHistory,BB*A**,AedadC,2,1.2661734569172267,255,125,485
43,saludHistory,BB*B**,AedadC,2,2.5563950562659215,83,49,485
44,saludHistory,BB****,AedadC,2,2.36657957107863,338,174,485
45,saludHistory,B*AA**,AedadC,2,1.1560814914778852,259,126,485
46,saludHistory,B*AB**,AedadC,2,-0.10646583043093423,16,7,485
47,saludHistory,B*A***,AedadC,2,1.096265550106476,275,133,485
48,saludHistory,B*BA**,AedadC,2,0.6744910895237989,82,40,485
49,saludHistory,B*BB**,AedadC,2,2.66157632122044,84,50,485
50,saludHistory,B*B***,AedadC,2,2.3673775833773285,166,90,485
51,saludHistory,B**A**,AedadC,2,1.3382919640795508,341,166,485
52,saludHistory,B**B**,AedadC,2,2.396788659806578,100,57,485
53,saludHistory,B*****,AedadC,2,2.3181444766261037,441,223,485
54,saludHistory,*AAA**,AedadC,2,-1.0725672787776763,540,231,485
55,saludHistory,*AAB**,AedadC,2,0.009728649145128183,31,14,485
56,saludHistory,*AA***,AedadC,2,-1.151489386575821,574,245,485
57,saludHistory,*ABA**,AedadC,2,0.16306294054921708,41,19,485
58,saludHistory,*ABB**,AedadC,2,0.37069507949539876,31,15,485
59,saludHistory,*AB***,AedadC,2,0.36628780860288024,72,34,485
60,saludHistory,*A*A**,AedadC,2,-0.9907134440196949,581,250,485
61,saludHistory,*A*B**,AedadC,2,0.26900019824598714,62,29,485
62,saludHistory,*A****,AedadC,2,-0.9980094702703026,647,279,485
63,saludHistory,*BAA**,AedadC,2,0.5019862500311701,229,107,485
64,saludHistory,*BAB**,AedadC,2,-1.5935927144769548,10,2,485
65,saludHistory,*BA***,AedadC,2,0.16540166914970994,239,109,485
66,saludHistory,*BBA**,AedadC,2,0.43365864607066795,93,44,485
67,saludHistory,*BBB**,AedadC,2,1.8927734758004038,95,52,485
68,saludHistory,*BB***,AedadC,2,1.6505007662435676,188,96,485
69,saludHistory,*B*A**,AedadC,2,0.6563891911024186,322,151,485
70,saludHistory,*B*B**,AedadC,2,1.3085933050525864,105,54,485
71,saludHistory,*B****,AedadC,2,1.218912142874015,427,205,485
72,saludHistory,**AA**,AedadC,2,-0.6248557591309009,769,338,485
