,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,saludHistory,AAAA**,hdegree,0,-5.525142567034991,457,128,438
1,saludHistory,AAAB**,hdegree,0,-2.0202584085987487,21,4,438
2,saludHistory,AAA***,hdegree,0,-5.828193820937885,481,133,438
3,saludHistory,AABA**,hdegree,0,-2.3629309597254466,37,8,438
4,saludHistory,AABB**,hdegree,0,-0.3197255339454871,24,9,438
5,saludHistory,AAB***,hdegree,0,-2.0408408689521074,61,17,438
6,saludHistory,AA*A**,hdegree,0,-5.9608811796999674,494,136,438
7,saludHistory,AA*B**,hdegree,0,-1.6135937460315875,45,13,438
8,saludHistory,AA****,hdegree,0,-6.204964177730521,543,150,438
9,saludHistory,ABAA**,hdegree,0,-0.5017039172965047,51,19,438
10,saludHistory,ABAB**,hdegree,0,-0.6393951028405963,4,1,438
11,saludHistory,ABA***,hdegree,0,-0.6555478297719745,55,20,438
12,saludHistory,ABBA**,hdegree,0,-0.055681615519545175,15,6,438
13,saludHistory,ABBB**,hdegree,0,-0.6367142361662795,18,6,438
14,saludHistory,ABB***,hdegree,0,-0.5077851654698543,33,12,438
15,saludHistory,AB*A**,hdegree,0,-0.4675675320690348,66,25,438
16,saludHistory,AB*B**,hdegree,0,-0.8485686842946646,22,7,438
17,saludHistory,AB****,hdegree,0,-0.8292097029039114,88,32,438
18,saludHistory,A*AA**,hdegree,0,-5.399428598968966,508,147,438
19,saludHistory,A*AB**,hdegree,0,-2.1073554572911957,25,5,438
20,saludHistory,A*A***,hdegree,0,-5.731073418755589,536,153,438
21,saludHistory,A*BA**,hdegree,0,-2.0231028154244304,52,14,438
22,saludHistory,A*BB**,hdegree,0,-0.6585170977888802,42,15,438
23,saludHistory,A*B***,hdegree,0,-1.9448974544478748,94,29,438
24,saludHistory,A**A**,hdegree,0,-5.759123734637476,560,161,438
25,saludHistory,A**B**,hdegree,0,-1.8086521442993595,67,20,438
26,saludHistory,A*****,hdegree,0,-6.065713639254302,631,182,438
27,saludHistory,BAAA**,hdegree,0,3.511249728214427,82,49,438
28,saludHistory,BAAB**,hdegree,0,-0.04546384869224084,10,4,438
29,saludHistory,BAA***,hdegree,0,3.299943830202947,92,53,438
30,saludHistory,BABA**,hdegree,0,-0.6393951028405963,4,1,438
31,saludHistory,BABB**,hdegree,0,0.1158293448537039,7,3,438
32,saludHistory,BAB***,hdegree,0,-0.2931699019745191,11,4,438
33,saludHistory,BA*A**,hdegree,0,3.2907250189667803,86,50,438
34,saludHistory,BA*B**,hdegree,0,0.0394572302322037,17,7,438
35,saludHistory,BA****,hdegree,0,3.022952263372979,103,57,438
36,saludHistory,BBAA**,hdegree,0,4.73517777625821,177,103,438
37,saludHistory,BBAB**,hdegree,0,-1.1985846103463678,6,1,438
38,saludHistory,BBA***,hdegree,0,4.439875480149581,183,104,438
39,saludHistory,BBBA**,hdegree,0,3.284007305938855,78,46,438
40,saludHistory,BBBB**,hdegree,0,3.167723586447253,77,45,438
41,saludHistory,BBB***,hdegree,0,4.56230417140699,155,91,438
42,saludHistory,BB*A**,hdegree,0,5.761326736187543,255,149,438
43,saludHistory,BB*B**,hdegree,0,2.728820833312146,83,46,438
44,saludHistory,BB****,hdegree,0,6.3564412820633605,338,195,438
45,saludHistory,B*AA**,hdegree,0,5.890160460981219,259,152,438
46,saludHistory,B*AB**,hdegree,0,-0.7699225054914872,16,5,438
47,saludHistory,B*A***,hdegree,0,5.530530423162897,275,157,438
48,saludHistory,B*BA**,hdegree,0,3.0616894345972536,82,47,438
49,saludHistory,B*BB**,hdegree,0,3.0663014832594007,84,48,438
50,saludHistory,B*B***,hdegree,0,4.333084951376943,166,95,438
51,saludHistory,B**A**,hdegree,0,6.634718350208922,341,199,438
52,saludHistory,B**B**,hdegree,0,2.5023427279217194,100,53,438
53,saludHistory,B*****,hdegree,0,7.025779325295784,441,252,438
54,saludHistory,*AAA**,hdegree,0,-3.662612931952328,540,178,438
55,saludHistory,*AAB**,hdegree,0,-1.6886052966977125,31,8,438
56,saludHistory,*AA***,hdegree,0,-3.963696346206781,574,187,438
57,saludHistory,*ABA**,hdegree,0,-2.4444220553583937,41,9,438
58,saludHistory,*ABB**,hdegree,0,-0.22627990494983422,31,12,438
59,saludHistory,*AB***,hdegree,0,-1.9930760753944459,72,21,438
60,saludHistory,*A*A**,hdegree,0,-4.180369052189208,581,187,438
61,saludHistory,*A*B**,hdegree,0,-1.3540283112787497,62,20,438
62,saludHistory,*A****,hdegree,0,-4.430843238707225,647,208,438
63,saludHistory,*BAA**,hdegree,0,4.005979223681841,229,123,438
64,saludHistory,*BAB**,hdegree,0,-1.332808616925174,10,2,438
65,saludHistory,*BA***,hdegree,0,3.6486496643149633,239,125,438
66,saludHistory,*BBA**,hdegree,0,2.9851675421688797,93,52,438
67,saludHistory,*BBB**,hdegree,0,2.574724678490324,95,51,438
68,saludHistory,*BB***,hdegree,0,3.9298380910501156,188,103,438
69,saludHistory,*B*A**,hdegree,0,4.982589898032965,322,175,438
70,saludHistory,*B*B**,hdegree,0,2.037738005976626,105,53,438
71,saludHistory,*B****,hdegree,0,5.337306225781875,427,228,438
72,saludHistory,**AA**,hdegree,0,-0.8831308136622368,769,301,438
73,saludHistory,**AB**,hdegree,0,-2.1265349231894755,41,10,438
74,saludHistory,**A***,hdegree,0,-1.3522410940901575,813,312,438
75,saludHistory,**BA**,hdegree,0,1.134775415450209,134,61,438
76,saludHistory,**BB**,hdegree,0,2.1234296535005344,126,63,438
77,saludHistory,**B***,hdegree,0,2.292869753717275,260,124,438
78,saludHistory,***A**,hdegree,0,-0.377837206195426,903,362,438
79,saludHistory,***B**,hdegree,0,0.7907677510184539,167,73,438
80,saludHistory,******,hdegree,0,0.0,1076,438,438
81,saludHistory,AAAA**,hdegree,1,5.525142567034993,457,329,638
82,saludHistory,AAAB**,hdegree,1,2.0202584085987487,21,17,638
83,saludHistory,AAA***,hdegree,1,5.828193820937889,481,348,638
84,saludHistory,AABA**,hdegree,1,2.362930959725447,37,29,638
85,saludHistory,AABB**,hdegree,1,0.31972553394548764,24,15,638
86,saludHistory,AAB***,hdegree,1,2.0408408689521083,61,44,638
87,saludHistory,AA*A**,hdegree,1,5.9608811796999674,494,358,638
88,saludHistory,AA*B**,hdegree,1,1.6135937460315881,45,32,638
89,saludHistory,AA****,hdegree,1,6.204964177730526,543,393,638
90,saludHistory,ABAA**,hdegree,1,0.5017039172965054,51,32,638
91,saludHistory,ABAB**,hdegree,1,0.6393951028405965,4,3,638
92,saludHistory,ABA***,hdegree,1,0.6555478297719752,55,35,638
93,saludHistory,ABBA**,hdegree,1,0.055681615519545605,15,9,638
94,saludHistory,ABBB**,hdegree,1,0.6367142361662795,18,12,638
95,saludHistory,ABB***,hdegree,1,0.507785165469855,33,21,638
96,saludHistory,AB*A**,hdegree,1,0.46756753206903573,66,41,638
97,saludHistory,AB*B**,hdegree,1,0.8485686842946646,22,15,638
98,saludHistory,AB****,hdegree,1,0.8292097029039124,88,56,638
99,saludHistory,A*AA**,hdegree,1,5.399428598968965,508,361,638
100,saludHistory,A*AB**,hdegree,1,2.107355457291197,25,20,638
101,saludHistory,A*A***,hdegree,1,5.731073418755594,536,383,638
102,saludHistory,A*BA**,hdegree,1,2.02310281542443,52,38,638
103,saludHistory,A*BB**,hdegree,1,0.6585170977888817,42,27,638
104,saludHistory,A*B***,hdegree,1,1.944897454447877,94,65,638
105,saludHistory,A**A**,hdegree,1,5.7591237346374795,560,399,638
106,saludHistory,A**B**,hdegree,1,1.80865214429936,67,47,638
107,saludHistory,A*****,hdegree,1,6.0657136392543025,631,449,638
108,saludHistory,BAAA**,hdegree,1,-3.5112497282144264,82,33,638
109,saludHistory,BAAB**,hdegree,1,0.045463848692241196,10,6,638
110,saludHistory,BAA***,hdegree,1,-3.299943830202946,92,39,638
111,saludHistory,BABA**,hdegree,1,0.6393951028405965,4,3,638
112,saludHistory,BABB**,hdegree,1,-0.1158293448537039,7,4,638
113,saludHistory,BAB***,hdegree,1,0.2931699019745194,11,7,638
114,saludHistory,BA*A**,hdegree,1,-3.290725018966778,86,36,638
115,saludHistory,BA*B**,hdegree,1,-0.03945723023220323,17,10,638
116,saludHistory,BA****,hdegree,1,-3.0229522633729777,103,46,638
117,saludHistory,BBAA**,hdegree,1,-4.735177776258209,177,74,638
118,saludHistory,BBAB**,hdegree,1,1.1985846103463682,6,5,638
119,saludHistory,BBA***,hdegree,1,-4.439875480149581,183,79,638
120,saludHistory,BBBA**,hdegree,1,-3.284007305938854,78,32,638
121,saludHistory,BBBB**,hdegree,1,-3.167723586447252,77,32,638
122,saludHistory,BBB***,hdegree,1,-4.56230417140699,155,64,638
123,saludHistory,BB*A**,hdegree,1,-5.76132673618754,255,106,638
124,saludHistory,BB*B**,hdegree,1,-2.7288208333121453,83,37,638
125,saludHistory,BB****,hdegree,1,-6.3564412820633605,338,143,638
126,saludHistory,B*AA**,hdegree,1,-5.890160460981216,259,107,638
127,saludHistory,B*AB**,hdegree,1,0.7699225054914877,16,11,638
128,saludHistory,B*A***,hdegree,1,-5.530530423162896,275,118,638
129,saludHistory,B*BA**,hdegree,1,-3.0616894345972536,82,35,638
130,saludHistory,B*BB**,hdegree,1,-3.0663014832594,84,36,638
131,saludHistory,B*B***,hdegree,1,-4.333084951376942,166,71,638
132,saludHistory,B**A**,hdegree,1,-6.634718350208918,341,142,638
133,saludHistory,B**B**,hdegree,1,-2.5023427279217185,100,47,638
134,saludHistory,B*****,hdegree,1,-7.025779325295783,441,189,638
135,saludHistory,*AAA**,hdegree,1,3.6626129319523297,540,362,638
136,saludHistory,*AAB**,hdegree,1,1.6886052966977128,31,23,638
137,saludHistory,*AA***,hdegree,1,3.9636963462067833,574,387,638
138,saludHistory,*ABA**,hdegree,1,2.4444220553583946,41,32,638
139,saludHistory,*ABB**,hdegree,1,0.2262799049498348,31,19,638
140,saludHistory,*AB***,hdegree,1,1.9930760753944476,72,51,638
141,saludHistory,*A*A**,hdegree,1,4.180369052189212,581,394,638
142,saludHistory,*A*B**,hdegree,1,1.3540283112787495,62,42,638
143,saludHistory,*A****,hdegree,1,4.43084323870723,647,439,638
144,saludHistory,*BAA**,hdegree,1,-4.005979223681837,229,106,638
145,saludHistory,*BAB**,hdegree,1,1.3328086169251743,10,8,638
146,saludHistory,*BA***,hdegree,1,-3.6486496643149615,239,114,638
147,saludHistory,*BBA**,hdegree,1,-2.9851675421688797,93,41,638
148,saludHistory,*BBB**,hdegree,1,-2.574724678490323,95,44,638
149,saludHistory,*BB***,hdegree,1,-3.929838091050113,188,85,638
150,saludHistory,*B*A**,hdegree,1,-4.982589898032965,322,147,638
151,saludHistory,*B*B**,hdegree,1,-2.0377380059766246,105,52,638
152,saludHistory,*B****,hdegree,1,-5.3373062257818695,427,199,638
153,saludHistory,**AA**,hdegree,1,0.8831308136622399,769,468,638
154,saludHistory,**AB**,hdegree,1,2.1265349231894763,41,31,638
155,saludHistory,**A***,hdegree,1,1.3522410940901608,813,501,638
156,saludHistory,**BA**,hdegree,1,-1.1347754154502077,134,73,638
157,saludHistory,**BB**,hdegree,1,-2.123429653500533,126,63,638
158,saludHistory,**B***,hdegree,1,-2.2928697537172713,260,136,638
159,saludHistory,***A**,hdegree,1,0.3778372061954294,903,541,638
160,saludHistory,***B**,hdegree,1,-0.7907677510184524,167,94,638
161,saludHistory,******,hdegree,1,0.0,1076,638,638
