,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,saludHistory,AAAA**,Apuesto,Admin,-1.188427621136609,457,25,74
1,saludHistory,AAAB**,Apuesto,Admin,0.47922759305627527,21,2,74
2,saludHistory,AAA***,Apuesto,Admin,-1.0954392075361148,481,27,74
3,saludHistory,AABA**,Apuesto,Admin,-1.0034146483429407,37,1,74
4,saludHistory,AABB**,Apuesto,Admin,1.088456995405154,24,3,74
5,saludHistory,AAB***,Apuesto,Admin,-0.09874262230832409,61,4,74
6,saludHistory,AA*A**,Apuesto,Admin,-1.4176665516374392,494,26,74
7,saludHistory,AA*B**,Apuesto,Admin,1.1222713691260646,45,5,74
8,saludHistory,AA****,Apuesto,Admin,-1.075763112760941,543,31,74
9,saludHistory,ABAA**,Apuesto,Admin,0.2725467834469382,51,4,74
10,saludHistory,ABAB**,Apuesto,Admin,3.4079895592489304,4,2,74
11,saludHistory,ABA***,Apuesto,Admin,1.1815153654746982,55,6,74
12,saludHistory,ABBA**,Apuesto,Admin,0.9880350900082397,15,2,74
13,saludHistory,ABBB**,Apuesto,Admin,0.709786735846787,18,2,74
14,saludHistory,ABB***,Apuesto,Admin,1.1903453673488213,33,4,74
15,saludHistory,AB*A**,Apuesto,Admin,0.7106092449282341,66,6,74
16,saludHistory,AB*B**,Apuesto,Admin,2.0951978899945067,22,4,74
17,saludHistory,AB****,Apuesto,Admin,1.663004603269182,88,10,74
18,saludHistory,A*AA**,Apuesto,Admin,-1.0408384581716466,508,29,74
19,saludHistory,A*AB**,Apuesto,Admin,1.8024151677579474,25,4,74
20,saludHistory,A*A***,Apuesto,Admin,-0.6592398067605573,536,33,74
21,saludHistory,A*BA**,Apuesto,Admin,-0.3157477736784284,52,3,74
22,saludHistory,A*BB**,Apuesto,Admin,1.287460641364964,42,5,74
23,saludHistory,A*B***,Apuesto,Admin,0.6257435699459839,94,8,74
24,saludHistory,A**A**,Apuesto,Admin,-1.0875528204469682,560,32,74
25,saludHistory,A**B**,Apuesto,Admin,2.1203453166395057,67,9,74
26,saludHistory,A*****,Apuesto,Admin,-0.3768933830181668,631,41,74
27,saludHistory,BAAA**,Apuesto,Admin,0.1573530186373934,82,6,74
28,saludHistory,BAAB**,Apuesto,Admin,-0.8593735823795239,10,0,74
29,saludHistory,BAA***,Apuesto,Admin,-0.13477180011471748,92,6,74
30,saludHistory,BABA**,Apuesto,Admin,-0.5435155762595277,4,0,74
31,saludHistory,BABB**,Apuesto,Admin,0.7745250318993735,7,1,74
32,saludHistory,BAB***,Apuesto,Admin,0.2901050094297681,11,1,74
33,saludHistory,BA*A**,Apuesto,Admin,0.036432492241853645,86,6,74
34,saludHistory,BA*B**,Apuesto,Admin,-0.16210529716841812,17,1,74
35,saludHistory,BA****,Apuesto,Admin,-0.032566731715146374,103,7,74
36,saludHistory,BBAA**,Apuesto,Admin,0.24567086378871436,177,13,74
37,saludHistory,BBAB**,Apuesto,Admin,-0.6656679145453007,6,0,74
38,saludHistory,BBA***,Apuesto,Admin,0.12107642613480664,183,13,74
39,saludHistory,BBBA**,Apuesto,Admin,0.2844193108201311,78,6,74
40,saludHistory,BBBB**,Apuesto,Admin,0.7675457090452145,77,7,74
41,saludHistory,BBB***,Apuesto,Admin,0.7427457168401924,155,13,74
42,saludHistory,BB*A**,Apuesto,Admin,0.36198028461595705,255,19,74
43,saludHistory,BB*B**,Apuesto,Admin,0.5603069809404463,83,7,74
44,saludHistory,BB****,Apuesto,Admin,0.5920660089258569,338,26,74
45,saludHistory,B*AA**,Apuesto,Admin,0.29162936428936703,259,19,74
46,saludHistory,B*AB**,Apuesto,Admin,-1.0870311525190555,16,0,74
47,saludHistory,B*A***,Apuesto,Admin,0.02081669533312849,275,19,74
48,saludHistory,B*BA**,Apuesto,Admin,0.1573530186373934,82,6,74
49,saludHistory,B*BB**,Apuesto,Admin,0.9584551861125505,84,8,74
50,saludHistory,B*B***,Apuesto,Admin,0.7923937315383024,166,14,74
51,saludHistory,B**A**,Apuesto,Admin,0.33132033129121297,341,25,74
52,saludHistory,B**B**,Apuesto,Admin,0.44362622710912814,100,8,74
53,saludHistory,B*****,Apuesto,Admin,0.5025945193596791,441,33,74
54,saludHistory,*AAA**,Apuesto,Admin,-1.0436634252102392,540,31,74
55,saludHistory,*AAB**,Apuesto,Admin,-0.09366078142371334,31,2,74
56,saludHistory,*AA***,Apuesto,Admin,-1.0680767838540017,574,33,74
57,saludHistory,*ABA**,Apuesto,Admin,-1.12297745775033,41,1,74
58,saludHistory,*ABB**,Apuesto,Admin,1.3257617652229843,31,4,74
59,saludHistory,*AB***,Apuesto,Admin,0.02250543308782508,72,5,74
60,saludHistory,*A*A**,Apuesto,Admin,-1.3044800351191876,581,32,74
61,saludHistory,*A*B**,Apuesto,Admin,0.871226960751081,62,6,74
62,saludHistory,*A****,Apuesto,Admin,-1.0091955219555524,647,38,74
63,saludHistory,*BAA**,Apuesto,Admin,0.326646190858056,229,17,74
64,saludHistory,*BAB**,Apuesto,Admin,1.6397777004322809,10,2,74
65,saludHistory,*BA***,Apuesto,Admin,0.6551573094802363,239,19,74
66,saludHistory,*BBA**,Apuesto,Admin,0.6572787572978205,93,8,74
67,saludHistory,*BBB**,Apuesto,Admin,0.9999755819655176,95,9,74
68,saludHistory,*BB***,Apuesto,Admin,1.1731281746827822,188,17,74
69,saludHistory,*B*A**,Apuesto,Admin,0.6287001368453653,322,25,74
70,saludHistory,*B*B**,Apuesto,Admin,1.4572128897673589,105,11,74
71,saludHistory,*B****,Apuesto,Admin,1.2685654689161898,427,36,74
72,saludHistory,**AA**,Apuesto,Admin,-0.6963181111002997,769,48,74
73,saludHistory,**AB**,Apuesto,Admin,0.7283868086531763,41,4,74
74,saludHistory,**A***,Apuesto,Admin,-0.542234445105772,813,52,74
75,saludHistory,**BA**,Apuesto,Admin,-0.07360136437365217,134,9,74
76,saludHistory,**BB**,Apuesto,Admin,1.525891130296455,126,13,74
77,saludHistory,**B***,Apuesto,Admin,1.0094001317982157,260,22,74
