,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,saludHistory,AAAA**,obesity,1,-3.7587615195495383,457,64,228
1,saludHistory,AAAB**,obesity,1,-1.8421838496861582,21,1,228
2,saludHistory,AAA***,obesity,1,-4.008058789416773,481,66,228
3,saludHistory,AABA**,obesity,1,-2.34947032863261,37,2,228
4,saludHistory,AABB**,obesity,1,0.9563046111588211,24,7,228
5,saludHistory,AAB***,obesity,1,-1.2299675180254919,61,9,228
6,saludHistory,AA*A**,obesity,1,-4.258253487349557,494,66,228
7,saludHistory,AA*B**,obesity,1,-0.560065004134808,45,8,228
8,saludHistory,AA****,obesity,1,-4.206804304426105,543,75,228
9,saludHistory,ABAA**,obesity,1,-2.332372423482249,51,4,228
10,saludHistory,ABAB**,obesity,1,-1.0370495157480222,4,0,228
11,saludHistory,ABA***,obesity,1,-2.5256295115473426,55,4,228
12,saludHistory,ABBA**,obesity,1,-2.008237751842278,15,0,228
13,saludHistory,ABBB**,obesity,1,-1.0463529694903104,18,2,228
14,saludHistory,ABB***,obesity,1,-2.126736498716842,33,2,228
15,saludHistory,AB*A**,obesity,1,-3.007659600079228,66,4,228
16,saludHistory,AB*B**,obesity,1,-1.3886612715093116,22,2,228
17,saludHistory,AB****,obesity,1,-3.2990402553594125,88,6,228
18,saludHistory,A*AA**,obesity,1,-4.304105638485331,508,68,228
19,saludHistory,A*AB**,obesity,1,-2.1032091933416024,25,1,228
20,saludHistory,A*A***,obesity,1,-4.605894265183046,536,70,228
21,saludHistory,A*BA**,obesity,1,-3.06043927309341,52,2,228
22,saludHistory,A*BB**,obesity,1,0.03789952445285172,42,9,228
23,saludHistory,A*B***,obesity,1,-2.2509246794840374,94,11,228
24,saludHistory,A**A**,obesity,1,-5.031995855585757,560,70,228
25,saludHistory,A**B**,obesity,1,-1.254732601315446,67,10,228
26,saludHistory,A*****,obesity,1,-5.134461882819387,631,81,228
27,saludHistory,BAAA**,obesity,1,3.411578722200361,82,30,228
28,saludHistory,BAAB**,obesity,1,-0.09205441448809545,10,2,228
29,saludHistory,BAA***,obesity,1,3.1904850588876643,92,32,228
30,saludHistory,BABA**,obesity,1,-1.0370495157480222,4,0,228
31,saludHistory,BABB**,obesity,1,0.4779257407445649,7,2,228
32,saludHistory,BAB***,obesity,1,-0.24411153733275895,11,2,228
33,saludHistory,BA*A**,obesity,1,3.107639185405424,86,30,228
34,saludHistory,BA*B**,obesity,1,0.23607715278093266,17,4,228
35,saludHistory,BA****,obesity,1,2.9355354791932977,103,34,228
36,saludHistory,BBAA**,obesity,1,3.217806549878193,177,55,228
37,saludHistory,BBAB**,obesity,1,2.7259323673420366,6,4,228
38,saludHistory,BBA***,obesity,1,3.6582046423184056,183,59,228
39,saludHistory,BBBA**,obesity,1,3.1786540368005918,78,28,228
40,saludHistory,BBBB**,obesity,1,2.4217099020698414,77,25,228
41,saludHistory,BBB***,obesity,1,3.961761304889268,155,53,228
42,saludHistory,BB*A**,obesity,1,4.438880928254006,255,83,228
43,saludHistory,BB*B**,obesity,1,3.0654481236233124,83,29,228
