,feat,cat,class,classcat,epsilon,nx,ncx,nc
0,saludHistory,AAAA**,id_sexo,F,-3.7117405231277427,457,255,690
1,saludHistory,AAAB**,id_sexo,F,0.6976797199291555,21,15,690
2,saludHistory,AAA***,id_sexo,F,-3.4649319232477405,481,272,690
3,saludHistory,AABA**,id_sexo,F,0.7791792759327439,37,26,690
4,saludHistory,AABB**,id_sexo,F,-1.017295552209223,24,13,690
5,saludHistory,AAB***,id_sexo,F,-0.03125988888107399,61,39,690
6,saludHistory,AA*A**,id_sexo,F,-3.3567900291139714,494,281,690
7,saludHistory,AA*B**,id_sexo,F,-0.26632164609138503,45,28,690
8,saludHistory,AA****,id_sexo,F,-3.239504150882959,543,312,690
9,saludHistory,ABAA**,id_sexo,F,1.837984762223398,51,39,690
10,saludHistory,ABAB**,id_sexo,F,0.453416854432825,4,3,690
11,saludHistory,ABA***,id_sexo,F,1.892164882783752,55,42,690
12,saludHistory,ABBA**,id_sexo,F,0.7434555060389204,15,11,690
13,saludHistory,ABBB**,id_sexo,F,-0.26672172843967906,18,11,690
14,saludHistory,ABB***,id_sexo,F,0.30425054853763095,33,22,690
15,saludHistory,AB*A**,id_sexo,F,1.970107307293422,66,50,690
16,saludHistory,AB*B**,id_sexo,F,-0.047921284564287195,22,14,690
17,saludHistory,AB****,id_sexo,F,1.6822023340153158,88,64,690
18,saludHistory,A*AA**,id_sexo,F,-2.938131147170067,508,294,690
19,saludHistory,A*AB**,id_sexo,F,0.8208007672553187,25,18,690
20,saludHistory,A*A***,id_sexo,F,-2.676230665249978,536,314,690
21,saludHistory,A*BA**,id_sexo,F,1.0565587222973378,52,37,690
22,saludHistory,A*BB**,id_sexo,F,-0.9436135131513922,42,24,690
23,saludHistory,A*B***,id_sexo,F,0.15508850043132644,94,61,690
24,saludHistory,A**A**,id_sexo,F,-2.476435483655111,560,331,690
25,saludHistory,A**B**,id_sexo,F,-0.24572070600093956,67,42,690
26,saludHistory,A*****,id_sexo,F,-2.3769234807644377,631,376,690
27,saludHistory,BAAA**,id_sexo,F,-0.5948667188416419,82,50,690
28,saludHistory,BAAB**,id_sexo,F,-0.2720600492929202,10,6,690
29,saludHistory,BAA***,id_sexo,F,-0.6513027647767853,92,56,690
30,saludHistory,BABA**,id_sexo,F,1.495888083855303,4,4,690
31,saludHistory,BABB**,id_sexo,F,0.4028055741092406,7,5,690
32,saludHistory,BAB***,id_sexo,F,1.2233821429886451,11,9,690
33,saludHistory,BA*A**,id_sexo,F,-0.25825637300303295,86,54,690
34,saludHistory,BA*B**,id_sexo,F,0.04981535239460942,17,11,690
35,saludHistory,BA****,id_sexo,F,-0.21574544407306592,103,65,690
36,saludHistory,BBAA**,id_sexo,F,1.4881992024660018,177,123,690
37,saludHistory,BBAB**,id_sexo,F,-0.7214413247393554,6,3,690
38,saludHistory,BBA***,id_sexo,F,1.3329667170840893,183,126,690
39,saludHistory,BBBA**,id_sexo,F,2.3563444851061135,78,60,690
40,saludHistory,BBBB**,id_sexo,F,2.761562419754924,77,61,690
