feat,cat,class,classcat,epsilon,nx,ncx,nc
ejerHistory,*B*B**,academic,0,2.8304276695280963,333,257,754
ejerHistory,*BBB**,academic,0,2.793476354540109,290,225,754
ejerHistory,*BB***,academic,0,2.7771742732677125,399,305,754
ejerHistory,**BB**,academic,0,2.624460590956853,364,278,754
ejerHistory,**B***,academic,0,2.5477183698925665,509,383,754
ejerHistory,BBB***,academic,0,2.51489190765726,353,269,754
ejerHistory,AB*B**,academic,0,2.500379368235069,46,40,754
ejerHistory,*B****,academic,0,2.4751237319663817,608,454,754
ejerHistory,***B**,academic,0,2.3192286651697533,475,356,754
ejerHistory,BBBB**,academic,0,2.3032868065775958,257,197,754
ejerHistory,AAA***,academic,1,4.158248993716752,253,106,322
ejerHistory,AAAA**,academic,1,4.037503857795004,211,90,322
ejerHistory,AA*A**,academic,1,3.758670359727045,233,96,322
ejerHistory,A*AA**,academic,1,3.705936419538265,251,102,322
ejerHistory,*AAA**,academic,1,3.66882693296204,286,114,322
ejerHistory,A**A**,academic,1,3.5846146189694847,285,113,322
ejerHistory,*A*A**,academic,1,3.5271553594990577,321,125,322
ejerHistory,A*A***,academic,1,3.423925608397805,306,119,322
ejerHistory,*AA***,academic,1,3.4101654618949158,356,136,322
ejerHistory,AA****,academic,1,3.4018721291413683,324,125,322
condiHistory,B**A**,academic,0,3.074106852453727,477,365,754
condiHistory,*B*A**,academic,0,2.8303248908953904,427,326,754
condiHistory,BB*A**,academic,0,2.740142030687294,394,301,754
condiHistory,B*****,academic,0,2.3855945057432253,662,492,754
condiHistory,*BAA**,academic,0,2.375588978660379,259,199,754
condiHistory,B*A***,academic,0,2.3097746103121244,328,249,754
condiHistory,*BA***,academic,0,2.3036037858707057,272,208,754
condiHistory,B*AA**,academic,0,2.2708264253858736,312,237,754
condiHistory,B*BA**,academic,0,2.104182622645568,165,128,754
condiHistory,BBAA**,academic,0,2.04064666952625,235,179,754
condiHistory,AA****,academic,1,3.677790880583333,358,139,322
condiHistory,AAA***,academic,1,3.458664838325469,311,121,322
condiHistory,AA*A**,academic,1,3.3348369496571304,311,120,322
condiHistory,A*****,academic,1,3.088357531828988,412,152,322
condiHistory,A**A**,academic,1,2.95003424737311,344,128,322
condiHistory,AAAA**,academic,1,2.933578708863871,291,110,322
condiHistory,A*A***,academic,1,2.8728362680665738,337,125,322
condiHistory,AAAB**,academic,1,2.6018909427590935,17,10,322
condiHistory,*AA***,academic,1,2.466601674738683,393,140,322
condiHistory,A*AA**,academic,1,2.4280796401607843,315,114,322
saludHistory,B*****,academic,0,3.7406354793624894,441,345,754
saludHistory,*B****,academic,0,3.5700711286018283,427,333,754
saludHistory,BB****,academic,0,3.2247001146616867,338,264,754
saludHistory,B*A***,academic,0,3.1993286462113266,275,217,754
saludHistory,B**A**,academic,0,3.080139026103967,341,265,754
saludHistory,B*AA**,academic,0,3.0540404440597206,259,204,754
saludHistory,*BA***,academic,0,2.8988506859731693,239,188,754
saludHistory,*BAA**,academic,0,2.6739312800178654,229,179,754
saludHistory,*B*B**,academic,0,2.647239281009019,105,86,754
saludHistory,*B*A**,academic,0,2.5994655627516474,322,247,754
saludHistory,AA*A**,academic,1,4.1429609532936365,494,190,322
saludHistory,AA****,academic,1,4.076853612699492,543,206,322
saludHistory,AAA***,academic,1,3.789376514265984,481,182,322
saludHistory,A**A**,academic,1,3.5450374401556313,560,206,322
saludHistory,AAAA**,academic,1,3.497610865272088,457,171,322
saludHistory,A*****,academic,1,3.231220190316747,631,226,322
saludHistory,A*A***,academic,1,3.1691027820679616,536,194,322
saludHistory,*A*A**,academic,1,3.0016348512112287,581,207,322
saludHistory,A*AA**,academic,1,3.0013449201840086,508,183,322
saludHistory,*A****,academic,1,2.9516546525847844,647,228,322
estresHistory,AB****,academic,0,3.5360704136359056,92,80,754
estresHistory,AB*B**,academic,0,3.2345330991227432,86,74,754
estresHistory,ABB***,academic,0,3.19212874977994,76,66,754
estresHistory,ABBB**,academic,0,3.1378800391576824,75,65,754
estresHistory,A*B***,academic,0,3.060600985615914,267,210,754
estresHistory,A*BB**,academic,0,2.741914473569828,254,198,754
estresHistory,**BB**,academic,0,2.551862861281652,651,486,754
estresHistory,**B***,academic,0,2.333400452278305,710,526,754
estresHistory,*AB***,academic,0,2.27754212018946,275,210,754
estresHistory,*ABB**,academic,0,2.1304545544276405,256,195,754
estresHistory,AAAA**,academic,1,4.556547184683717,103,52,322
estresHistory,AAA***,academic,1,4.333121609981355,222,96,322
estresHistory,*AA***,academic,1,4.306647351395324,275,115,322
estresHistory,A*AA**,academic,1,4.301185814754446,106,52,322
estresHistory,*AAA**,academic,1,4.158824057475131,118,56,322
estresHistory,A*A***,academic,1,3.840717233305459,237,98,322
estresHistory,AA*A**,academic,1,3.7076114141100778,116,53,322
estresHistory,**A***,academic,1,3.4835835429728887,360,138,322
estresHistory,*A*A**,academic,1,3.476651480313377,138,60,322
estresHistory,**AA**,academic,1,3.4562182679147444,152,65,322
pesoHistory,BA*A**,academic,0,1.4996480284433669,96,74,754
pesoHistory,BA****,academic,0,1.4959679460106448,111,85,754
pesoHistory,ABAA**,academic,0,1.4576287645475232,20,17,754
pesoHistory,ABA***,academic,0,1.3126963167901604,23,19,754
pesoHistory,BABA**,academic,0,1.2779023226558306,14,12,754
pesoHistory,AB*A**,academic,0,1.1030326768714986,37,29,754
pesoHistory,BAB***,academic,0,1.0885756673079268,21,17,754
pesoHistory,BAA***,academic,0,1.0726144961524129,89,67,754
pesoHistory,BAAA**,academic,0,1.028724688661205,81,61,754
pesoHistory,B*A***,academic,0,0.8876947488634699,287,208,754
pesoHistory,ABBB**,academic,1,1.8833916978893803,13,7,322
pesoHistory,AB*B**,academic,1,1.753477242224797,16,8,322
pesoHistory,ABB***,academic,1,1.2049701839908604,30,12,322
pesoHistory,AA*A**,academic,1,1.144955091504391,377,123,322
