feat,cat,class,classcat,epsilon,nx,ncx,nc
ejerHistory,BBB***,AedadC,2,3.197058427518244,353,189,485
ejerHistory,BBBB**,AedadC,2,3.154083071237995,257,141,485
ejerHistory,BB*B**,AedadC,2,2.9227238736566155,287,154,485
ejerHistory,B*BB**,AedadC,2,2.85920529411736,282,151,485
ejerHistory,B**B**,AedadC,2,2.6413532339588732,339,177,485
ejerHistory,BB****,AedadC,2,2.634286618114955,509,259,485
ejerHistory,*BB***,AedadC,2,2.5307950353946533,399,205,485
ejerHistory,B*B***,AedadC,2,2.4675370677756523,392,201,485
ejerHistory,*BBB**,AedadC,2,2.393925011219724,290,151,485
ejerHistory,**BB**,AedadC,2,2.2047181867393797,364,185,485
ejerHistory,ABAA**,AedadC,1,2.134580414334836,40,19,342
ejerHistory,BA*A**,AedadC,1,2.0672123317907403,88,37,342
ejerHistory,ABA***,AedadC,1,1.8154745225779527,53,23,342
ejerHistory,BAAA**,AedadC,1,1.7759768073841462,75,31,342
ejerHistory,*ABA**,AedadC,1,1.7698366369956278,35,16,342
ejerHistory,*AB***,AedadC,1,1.7186417583893936,109,43,342
ejerHistory,AB*A**,AedadC,1,1.6296901720905894,52,22,342
ejerHistory,*A****,AedadC,1,1.613650519833734,465,164,342
ejerHistory,*A*A**,AedadC,1,1.554925532121488,321,115,342
ejerHistory,A*****,AedadC,1,1.4845722774936467,424,149,342
ejerHistory,BBBB**,AedadC,3,2.0187490644080373,257,33,99
ejerHistory,BB*B**,AedadC,3,1.7550723736405034,287,35,99
ejerHistory,B*BB**,AedadC,3,1.659316574922585,282,34,99
ejerHistory,*BBB**,AedadC,3,1.4867280398539469,290,34,99
ejerHistory,BBB***,AedadC,3,1.3850240303754418,353,40,99
ejerHistory,AAAA**,AedadC,3,1.330578866097402,211,25,99
ejerHistory,BB****,AedadC,3,1.2526094798273122,509,55,99
ejerHistory,*B*B**,AedadC,3,1.2061087177664256,333,37,99
ejerHistory,B**B**,AedadC,3,1.0916533972483728,339,37,99
ejerHistory,A*AA**,AedadC,3,1.0713957569476047,251,28,99
ejerHistory,AB****,AedadC,0,3.8298413880894118,99,27,150
