feat,cat,class,classcat,epsilon,nx,ncx,nc
ejerHistory,BB*B**,hdegree,0,6.7491718047707145,287,173,438
ejerHistory,BBBB**,hdegree,0,6.65124981769481,257,157,438
ejerHistory,*BBB**,hdegree,0,6.4486795004748965,290,172,438
ejerHistory,*B*B**,hdegree,0,6.4079237669767855,333,193,438
ejerHistory,B*BB**,hdegree,0,6.328180575936653,282,167,438
ejerHistory,BBB***,hdegree,0,6.208445307398269,353,201,438
ejerHistory,B**B**,hdegree,0,6.191505989794892,339,194,438
ejerHistory,B*B***,hdegree,0,6.007127469424722,392,218,438
ejerHistory,*BB***,hdegree,0,5.765740184043518,399,219,438
ejerHistory,BB****,hdegree,0,5.75651392960005,509,271,438
ejerHistory,A**A**,hdegree,1,6.030112988859052,285,219,638
ejerHistory,A*****,hdegree,1,5.693314687396997,424,309,638
ejerHistory,A*A***,hdegree,1,5.534243069289937,306,229,638
ejerHistory,AA****,hdegree,1,5.528392503258831,324,241,638
ejerHistory,*A****,hdegree,1,5.312835116483126,465,332,638
ejerHistory,*A*A**,hdegree,1,5.1882102237123835,321,236,638
ejerHistory,AA*A**,hdegree,1,5.180004613120142,233,177,638
ejerHistory,*AA***,hdegree,1,5.0611237059989405,356,258,638
ejerHistory,A*AA**,hdegree,1,5.032842314600467,251,188,638
ejerHistory,AAA***,hdegree,1,4.9891241368050245,253,189,638
condiHistory,BB****,hdegree,0,4.445665168007312,563,281,438
condiHistory,B*****,hdegree,0,3.838786333582401,662,318,438
condiHistory,*B****,hdegree,0,3.756521873185735,617,297,438
condiHistory,BB*A**,hdegree,0,3.5498291642450863,394,195,438
condiHistory,BBA***,hdegree,0,3.4861253619613777,246,127,438
condiHistory,BBAA**,hdegree,0,3.3646516285359813,235,121,438
condiHistory,B**A**,hdegree,0,3.2461592583096346,477,229,438
condiHistory,B*A***,hdegree,0,2.9764568138742966,328,160,438
condiHistory,B*AA**,hdegree,0,2.8804676656839105,312,152,438
condiHistory,*B*A**,hdegree,0,2.874722824294232,427,203,438
condiHistory,A*****,hdegree,1,4.984944834853064,412,294,638
condiHistory,AA****,hdegree,1,4.704236859057019,358,256,638
condiHistory,A**A**,hdegree,1,4.502818253699028,344,245,638
condiHistory,*A****,hdegree,1,4.4777741788190655,457,318,638
condiHistory,A*A***,hdegree,1,4.122520135818255,337,237,638
condiHistory,AA*A**,hdegree,1,4.108600009449766,311,220,638
condiHistory,AAA***,hdegree,1,3.8777580894368184,311,218,638
condiHistory,A*AA**,hdegree,1,3.695738833209704,315,219,638
condiHistory,*A*A**,hdegree,1,3.6283584606190664,394,269,638
condiHistory,*AA***,hdegree,1,3.4885002521632567,393,267,638
saludHistory,B*****,hdegree,0,7.025779325295784,441,252,438
saludHistory,B**A**,hdegree,0,6.634718350208923,341,199,438
saludHistory,BB****,hdegree,0,6.3564412820633605,338,195,438
saludHistory,B*AA**,hdegree,0,5.890160460981218,259,152,438
saludHistory,BB*A**,hdegree,0,5.761326736187542,255,149,438
saludHistory,B*A***,hdegree,0,5.5305304231628964,275,157,438
saludHistory,*B****,hdegree,0,5.337306225781875,427,228,438
saludHistory,*B*A**,hdegree,0,4.982589898032965,322,175,438
saludHistory,BBAA**,hdegree,0,4.73517777625821,177,103,438
saludHistory,BBB***,hdegree,0,4.56230417140699,155,91,438
saludHistory,AA****,hdegree,1,6.204964177730527,543,393,638
saludHistory,A*****,hdegree,1,6.065713639254303,631,449,638
saludHistory,AA*A**,hdegree,1,5.960881179699968,494,358,638
saludHistory,AAA***,hdegree,1,5.828193820937889,481,348,638
saludHistory,A**A**,hdegree,1,5.75912373463748,560,399,638
saludHistory,A*A***,hdegree,1,5.731073418755593,536,383,638
saludHistory,AAAA**,hdegree,1,5.525142567034993,457,329,638
saludHistory,A*AA**,hdegree,1,5.3994285989689645,508,361,638
saludHistory,*A****,hdegree,1,4.43084323870723,647,439,638
saludHistory,*A*A**,hdegree,1,4.180369052189212,581,394,638
estresHistory,*BBB**,hdegree,0,4.835046679715308,395,208,438
estresHistory,*BB***,hdegree,0,4.677406429765259,435,225,438
estresHistory,BBBB**,hdegree,0,4.119456049446649,319,166,438
estresHistory,*B****,hdegree,0,4.094949946291513,521,258,438
estresHistory,BBB***,hdegree,0,4.0095790826239615,358,183,438
estresHistory,B*BB**,hdegree,0,3.9690109426848696,396,200,438
estresHistory,*B*B**,hdegree,0,3.7928640370541347,444,220,438
estresHistory,B*B***,hdegree,0,3.6866222065859318,442,218,438
estresHistory,BB****,hdegree,0,3.520029689610558,428,210,438
estresHistory,BB*B**,hdegree,0,3.412671903979181,357,177,438
estresHistory,*AA***,hdegree,1,4.534437199800445,275,200,638
estresHistory,AA****,hdegree,1,4.254029391388445,414,288,638
estresHistory,**A***,hdegree,1,4.242096127538321,360,253,638
estresHistory,A*A***,hdegree,1,4.161427534738079,237,172,638
estresHistory,AAA***,hdegree,1,4.148632884983549,222,162,638
estresHistory,*A****,hdegree,1,4.132411512975791,552,375,638
estresHistory,**AB**,hdegree,1,4.092160179171563,206,151,638
estresHistory,A*AB**,hdegree,1,3.734374215381461,130,98,638
estresHistory,AA*B**,hdegree,1,3.6912047158772183,298,208,638
estresHistory,*AAB**,hdegree,1,3.3966178815478565,157,114,638
pesoHistory,B*****,hdegree,0,3.8588292537091897,594,288,438
pesoHistory,BB****,hdegree,0,3.5554303940152097,483,235,438
pesoHistory,B**A**,hdegree,0,3.203293366684286,424,205,438
pesoHistory,*B****,hdegree,0,3.1100519249699903,537,254,438
pesoHistory,B*B***,hdegree,0,2.8436856290067247,306,149,438
pesoHistory,BB*A**,hdegree,0,2.751676667065709,328,158,438
pesoHistory,BBA***,hdegree,0,2.661859941228512,198,99,438
pesoHistory,BBAA**,hdegree,0,2.60753055307767,190,95,438
pesoHistory,B*AA**,hdegree,0,2.557726469974541,271,131,438
pesoHistory,B*A***,hdegree,0,2.5439203212383177,287,138,438
pesoHistory,A*****,hdegree,1,4.522457971315591,478,332,638
pesoHistory,AA*A**,hdegree,1,4.451466284204513,377,266,638
pesoHistory,AA****,hdegree,1,4.443251168148296,425,297,638
pesoHistory,A**A**,hdegree,1,4.354067323575132,414,289,638
pesoHistory,A*AA**,hdegree,1,4.329056124369751,368,259,638
pesoHistory,A*A***,hdegree,1,4.220557423246335,399,278,638
pesoHistory,AAAA**,hdegree,1,4.218077481051062,348,245,638
