feat,cat,class,classcat,epsilon,nx,ncx,nc
ejerHistory,*BB***,Apuesto,Admin,2.484550028849015,399,40,74
ejerHistory,BBB***,Apuesto,Admin,2.465561008690413,353,36,74
ejerHistory,BB****,Apuesto,Admin,2.451086742827712,509,49,74
ejerHistory,BB*B**,Apuesto,Admin,2.1603803270560658,287,29,74
ejerHistory,*BBB**,Apuesto,Admin,2.1013023959402743,290,29,74
ejerHistory,BBBB**,Apuesto,Admin,2.0520823065223786,257,26,74
ejerHistory,B*B***,Apuesto,Admin,2.003972794622479,392,37,74
ejerHistory,*B*B**,Apuesto,Admin,1.9702024483107483,333,32,74
ejerHistory,**BB**,Apuesto,Admin,1.8571068090830716,364,34,74
ejerHistory,*B****,Apuesto,Admin,1.7925887593599017,608,53,74
ejerHistory,**BA**,Apuesto,Sec,1.4440054192071874,142,13,67
ejerHistory,*BBA**,Apuesto,Sec,1.3664941727597082,106,10,67
ejerHistory,BBBA**,Apuesto,Sec,1.343198018653316,94,9,67
ejerHistory,B*BA**,Apuesto,Sec,1.3041905154287154,108,10,67
ejerHistory,*BB***,Apuesto,Sec,1.2752206088190348,399,31,67
ejerHistory,BB*A**,Apuesto,Sec,1.220198690880104,219,18,67
ejerHistory,**B***,Apuesto,Sec,1.1566660175810979,509,38,67
ejerHistory,BBB***,Apuesto,Sec,1.1056147910619418,353,27,67
ejerHistory,A*B***,Apuesto,Sec,1.0386175137359341,117,10,67
ejerHistory,BB****,Apuesto,Sec,0.9732360050656574,509,37,67
ejerHistory,B**B**,Apuesto,Int,3.647211988027357,339,55,110
ejerHistory,B*BB**,Apuesto,Int,3.3751920826371964,282,46,110
ejerHistory,*B*B**,Apuesto,Int,3.248217151601498,333,52,110
ejerHistory,BB*B**,Apuesto,Int,3.2460674361642647,287,46,110
ejerHistory,BBBB**,Apuesto,Int,3.2381743119918824,257,42,110
ejerHistory,*BBB**,Apuesto,Int,3.169786771056528,290,46,110
ejerHistory,B*B***,Apuesto,Int,2.821822567040839,392,57,110
ejerHistory,BBB***,Apuesto,Int,2.7956463632088524,353,52,110
ejerHistory,*BB***,Apuesto,Int,2.5134554573778782,399,56,110
ejerHistory,***B**,Apuesto,Int,2.489981510965638,475,65,110
ejerHistory,B*****,Apuesto,Jef,2.0511149610047643,651,73,96
