feat,cat,class,classcat,epsilon,nx,ncx,nc
ejerHistory,***B**,id_sexo,F,2.8124778304084894,475,334,690
ejerHistory,**BB**,id_sexo,F,2.576830268230424,364,257,690
ejerHistory,*A*B**,id_sexo,F,2.439095972933014,142,105,690
ejerHistory,*ABB**,id_sexo,F,2.3137740883314275,74,57,690
ejerHistory,A**B**,id_sexo,F,2.2862871847144244,136,100,690
ejerHistory,*AB***,id_sexo,F,2.2171295165232356,109,81,690
ejerHistory,AA*B**,id_sexo,F,2.040858868269412,90,67,690
ejerHistory,B*BB**,id_sexo,F,2.0068123955118944,282,197,690
ejerHistory,**B***,id_sexo,F,1.9034078744522005,509,347,690
ejerHistory,B**B**,id_sexo,F,1.8810645841229283,339,234,690
ejerHistory,**AA**,id_sexo,M,2.6713754950692308,451,189,386
ejerHistory,***A**,id_sexo,M,2.5916253191477985,593,243,386
ejerHistory,AAAA**,id_sexo,M,2.484087542946666,211,93,386
ejerHistory,A*AA**,id_sexo,M,2.3631811799956433,251,108,386
ejerHistory,AA*A**,id_sexo,M,2.2420418878294406,233,100,386
ejerHistory,*AAA**,id_sexo,M,2.1453463620250064,286,120,386
ejerHistory,A**A**,id_sexo,M,2.0699098806205485,285,119,386
ejerHistory,BB*A**,id_sexo,M,1.8930756323443805,219,92,386
ejerHistory,*A*A**,id_sexo,M,1.843969228477588,321,131,386
ejerHistory,**A***,id_sexo,M,1.7818371114156135,565,223,386
condiHistory,BBB***,id_sexo,F,3.3630920885596134,317,232,690
condiHistory,BBBB**,id_sexo,F,3.0486441049565416,157,119,690
condiHistory,*BB***,id_sexo,F,2.8919901800370025,345,247,690
condiHistory,B*B***,id_sexo,F,2.8312934759782005,334,239,690
condiHistory,BB****,id_sexo,F,2.8090585862846678,563,393,690
condiHistory,B*****,id_sexo,F,2.7943032692938328,662,459,690
condiHistory,BB*B**,id_sexo,F,2.7776202589278918,168,125,690
condiHistory,*B****,id_sexo,F,2.6305862414840178,617,427,690
condiHistory,B*BB**,id_sexo,F,2.455906653049913,168,123,690
condiHistory,*BBB**,id_sexo,F,2.3292415416309624,175,127,690
condiHistory,AAAA**,id_sexo,M,3.740931784602217,291,135,386
condiHistory,AAA***,id_sexo,M,3.716215522136882,311,143,386
condiHistory,AA****,id_sexo,M,3.6994411460800887,358,162,386
condiHistory,AA*A**,id_sexo,M,3.597989281766138,311,142,386
condiHistory,A*****,id_sexo,M,3.5130231601278155,412,182,386
condiHistory,A*AA**,id_sexo,M,3.4065044289118185,315,142,386
condiHistory,A*A***,id_sexo,M,3.305680467408406,337,150,386
condiHistory,A**A**,id_sexo,M,3.214414273688235,344,152,386
condiHistory,*A****,id_sexo,M,3.0290340610960422,457,195,386
condiHistory,*AAA**,id_sexo,M,2.715512333787084,368,157,386
saludHistory,*B****,id_sexo,F,3.852294166403107,427,312,690
saludHistory,B*B***,id_sexo,F,3.8109598104618168,166,130,690
saludHistory,BBB***,id_sexo,F,3.6179635460943134,155,121,690
saludHistory,BB****,id_sexo,F,3.4308452466419017,338,247,690
saludHistory,*BB***,id_sexo,F,3.412589458024785,188,143,690
saludHistory,*B*A**,id_sexo,F,3.1967175253661217,322,234,690
saludHistory,**B***,id_sexo,F,3.1383529788269886,260,191,690
saludHistory,B*****,id_sexo,F,2.8993212047188086,441,312,690
saludHistory,BBBB**,id_sexo,F,2.761562419754924,77,61,690
saludHistory,B*BB**,id_sexo,F,2.760274673756076,84,66,690
saludHistory,AAAA**,id_sexo,M,3.711740523127743,457,202,386
saludHistory,*AAA**,id_sexo,M,3.703936022683812,540,235,386
saludHistory,*AA***,id_sexo,M,3.488393371848917,574,246,386
saludHistory,AAA***,id_sexo,M,3.464931923247743,481,209,386
saludHistory,AA*A**,id_sexo,M,3.3567900291139714,494,213,386
saludHistory,*A*A**,id_sexo,M,3.2501056408191116,581,246,386
saludHistory,AA****,id_sexo,M,3.2395041508829587,543,231,386
saludHistory,*A****,id_sexo,M,3.1063871676840584,647,270,386
saludHistory,A*AA**,id_sexo,M,2.9381311471700644,508,214,386
saludHistory,A*A***,id_sexo,M,2.6762306652499763,536,222,386
estresHistory,A*****,id_sexo,F,3.199596510951455,506,359,690
estresHistory,AA****,id_sexo,F,3.024559451231548,414,295,690
estresHistory,*A****,id_sexo,F,2.752951724885469,552,385,690
estresHistory,A**A**,id_sexo,F,2.6737947272272224,120,91,690
estresHistory,***A**,id_sexo,F,2.5009702940250023,207,150,690
estresHistory,AA*A**,id_sexo,F,2.4417244874532766,116,87,690
estresHistory,A*B***,id_sexo,F,2.2689866531282696,267,189,690
estresHistory,A*AA**,id_sexo,F,2.232852359759828,106,79,690
estresHistory,AAA***,id_sexo,F,2.1884559953917986,222,158,690
estresHistory,A*A***,id_sexo,F,2.169674104708054,237,168,690
estresHistory,BB*B**,id_sexo,M,4.516632204589241,357,169,386
estresHistory,BBBB**,id_sexo,M,4.268181654775689,319,151,386
estresHistory,*B*B**,id_sexo,M,3.7323981796233565,444,197,386
estresHistory,BBB***,id_sexo,M,3.6994411460800887,358,162,386
estresHistory,BB****,id_sexo,M,3.674517891147781,428,190,386
estresHistory,B*BB**,id_sexo,M,3.6607987144063263,396,177,386
estresHistory,B**B**,id_sexo,M,3.6157179671765203,472,207,386
estresHistory,*BBB**,id_sexo,M,3.3883483365384777,395,174,386
estresHistory,B*B***,id_sexo,M,3.117790931700932,442,190,386
estresHistory,B*****,id_sexo,M,3.0633739444202863,566,238,386
pesoHistory,BAB***,id_sexo,F,2.5175666984595098,21,19,690
pesoHistory,BABA**,id_sexo,F,2.241326038505309,14,13,690
pesoHistory,ABBA**,id_sexo,F,1.56683381965686,17,14,690
pesoHistory,B*B***,id_sexo,F,1.522419140829217,306,209,690
pesoHistory,*B*A**,id_sexo,F,1.4120074869214545,365,247,690
pesoHistory,BB****,id_sexo,F,1.3537228923758602,483,324,690
pesoHistory,*B****,id_sexo,F,1.3173024531140762,537,359,690
pesoHistory,B*****,id_sexo,F,1.2908257563041141,594,396,690
pesoHistory,BABB**,id_sexo,F,1.1908397518211364,7,6,690
pesoHistory,**BA**,id_sexo,F,1.1897698236650545,198,135,690
pesoHistory,AA****,id_sexo,M,1.571345398741654,425,168,386
pesoHistory,*AA***,id_sexo,M,1.5288134413275447,466,183,386
pesoHistory,A*BB**,id_sexo,M,1.5104589316535637,33,16,386
pesoHistory,A*****,id_sexo,M,1.3850685131597302,478,186,386
pesoHistory,A**B**,id_sexo,M,1.3660075252317174,61,27,386
pesoHistory,ABBB**,id_sexo,M,1.351062374290695,13,7,386
pesoHistory,AAA***,id_sexo,M,1.30266346109715,376,147,386
pesoHistory,*A****,id_sexo,M,1.2918828805771532,537,207,386
pesoHistory,*AAA**,id_sexo,M,1.2812927804487404,430,167,386
pesoHistory,AA*A**,id_sexo,M,1.262413565563384,377,147,386
