cat,class,classcat,epsilon,feat,nc,ncx,nx
AAAA**,academic,1,4.037503857795004,ejerHistory,322,90,211
AAAB**,academic,1,1.2722481587262506,ejerHistory,322,16,41
AAA***,academic,1,4.158248993716752,ejerHistory,322,106,253
AABA**,academic,1,-0.2717281891316076,ejerHistory,322,6,22
AABB**,academic,1,-0.5189689589256592,ejerHistory,322,13,49
AAB***,academic,1,-0.5823894691253412,ejerHistory,322,19,71
AA*A**,academic,1,3.7586703597270454,ejerHistory,322,96,233
AA*B**,academic,1,0.47577313925151704,ejerHistory,322,29,90
AA****,academic,1,3.4018721291413683,ejerHistory,322,125,324
ABAA**,academic,1,0.01026848501981649,ejerHistory,322,12,40
ABAB**,academic,1,-1.7505523551811044,ejerHistory,322,1,13
ABA***,academic,1,-0.8580588439501151,ejerHistory,322,13,53
ABBA**,academic,1,0.8881676884546387,ejerHistory,322,5,12
ABBB**,academic,1,-1.8533511315774496,ejerHistory,322,5,33
ABB***,academic,1,-1.2124865007286385,ejerHistory,322,10,46
AB*A**,academic,1,0.43566801379748354,ejerHistory,322,17,52
AB*B**,academic,1,-2.5003793682350692,ejerHistory,322,6,46
AB****,academic,1,-1.4543144650681388,ejerHistory,322,23,99
A*AA**,academic,1,3.7059364195382645,ejerHistory,322,102,251
A*AB**,academic,1,0.24966515979977932,ejerHistory,322,17,54
A*A***,academic,1,3.423925608397805,ejerHistory,322,119,306
A*BA**,academic,1,0.30907216795783926,ejerHistory,322,11,34
A*BB**,academic,1,-1.5769041488604798,ejerHistory,322,18,82
A*B***,academic,1,-1.2139414510205517,ejerHistory,322,29,117
A**A**,academic,1,3.5846146189694847,ejerHistory,322,113,285
A**B**,academic,1,-1.0671343096382166,ejerHistory,322,35,136
A*****,academic,1,2.2392974727594166,ejerHistory,322,148,424
BAAA**,academic,1,0.3922935911538428,ejerHistory,322,24,75
BAAB**,academic,1,-0.8741069862627452,ejerHistory,322,6,27
BAA***,academic,1,-0.17717461623934844,ejerHistory,322,30,103
BABA**,academic,1,0.6720770135325526,ejerHistory,322,5,13
BABB**,academic,1,0.22649081045403618,ejerHistory,322,8,25
BAB***,academic,1,0.5768045728125959,ejerHistory,322,13,38
BA*A**,academic,1,0.6204748777304527,ejerHistory,322,29,88
BA*B**,academic,1,-0.472817999470138,ejerHistory,322,14,52
BA****,academic,1,0.14801125017621536,ejerHistory,322,43,141
BBAA**,academic,1,-0.07950702352077482,ejerHistory,322,37,125
BBAB**,academic,1,0.40758524058731394,ejerHistory,322,10,30
BBA***,academic,1,0.05524627604309822,ejerHistory,322,47,156
BBBA**,academic,1,-0.9302432227848187,ejerHistory,322,24,94
BBBB**,academic,1,-2.303286806577593,ejerHistory,322,60,257
BBB***,academic,1,-2.514891907657259,ejerHistory,322,84,353
BB*A**,academic,1,-0.6695177708542738,ejerHistory,322,61,219
BB*B**,academic,1,-2.0478075623579115,ejerHistory,322,70,287
BB****,academic,1,-2.063758027048768,ejerHistory,322,131,509
B*AA**,academic,1,0.1773739608461719,ejerHistory,322,61,200
B*AB**,academic,1,-0.3059082752630868,ejerHistory,322,16,57
B*A***,academic,1,-0.06885399630261006,ejerHistory,322,77,259
B*BA**,academic,1,-0.6975670587422975,ejerHistory,322,29,108
B*BB**,academic,1,-2.131385108872183,ejerHistory,322,68,282
B*B***,academic,1,-2.239930531906246,ejerHistory,322,97,392
B**A**,academic,1,-0.27013687491285254,ejerHistory,322,90,308
B**B**,academic,1,-2.0693948104517235,ejerHistory,322,84,339
B*****,academic,1,-1.7815792147305798,ejerHistory,322,174,651
*AAA**,academic,1,3.6688269329620398,ejerHistory,322,114,286
*AAB**,academic,1,0.43709405167803145,ejerHistory,322,22,68
*AA***,academic,1,3.4101654618949153,ejerHistory,322,136,356
*ABA**,academic,1,0.1941640401710938,ejerHistory,322,11,35
*ABB**,academic,1,-0.2906573028328444,ejerHistory,322,21,74
*AB***,academic,1,-0.12946350822120892,ejerHistory,322,32,109
*A*A**,academic,1,3.5271553594990577,ejerHistory,322,125,321
*A*B**,academic,1,0.09264908161419592,ejerHistory,322,43,142
*A****,academic,1,2.9211485549015244,ejerHistory,322,168,465
*BAA**,academic,1,-0.06414612890780137,ejerHistory,322,49,165
*BAB**,academic,1,-0.6220828389184957,ejerHistory,322,11,43
*BA***,academic,1,-0.3843675291722068,ejerHistory,322,60,209
*BBA**,academic,1,-0.5771710387534845,ejerHistory,322,29,106
*BBB**,academic,1,-2.793476354540109,ejerHistory,322,65,290
*BB***,academic,1,-2.777174273267713,ejerHistory,322,94,399
*B*A**,academic,1,-0.411024151308197,ejerHistory,322,78,271
*B*B**,academic,1,-2.8304276695280954,ejerHistory,322,76,333
*B****,academic,1,-2.4751237319663817,ejerHistory,322,154,608
**AA**,academic,1,2.882808852321319,ejerHistory,322,163,451
**AB**,academic,1,-0.04507552142241716,ejerHistory,322,33,111
**A***,academic,1,2.4731513435063484,ejerHistory,322,196,565
**BA**,academic,1,-0.45711421884651543,ejerHistory,322,40,142
**BB**,academic,1,-2.624460590956856,ejerHistory,322,86,364
**B***,academic,1,-2.547718369892565,ejerHistory,322,126,509
***A**,academic,1,2.290379140998244,ejerHistory,322,203,593
***B**,academic,1,-2.3192286651697533,ejerHistory,322,119,475
******,academic,1,0.0,ejerHistory,322,322,1076
