cat,class,classcat,epsilon,feat,nc,ncx,nx
AAAA**,hdegree,1,4.328588100653944,ejerHistory,638,156,211
AAAB**,hdegree,1,2.4444220553583946,ejerHistory,638,32,41
AAA***,hdegree,1,4.9891241368050245,ejerHistory,638,189,253
AABA**,hdegree,1,3.452351681350918,ejerHistory,638,21,22
AABB**,hdegree,1,0.5658889878901991,ejerHistory,638,31,49
AAB***,hdegree,1,2.3918620238689683,ejerHistory,638,52,71
AA*A**,hdegree,1,5.180004613120141,ejerHistory,638,177,233
AA*B**,hdegree,1,2.0674086984261226,ejerHistory,638,63,90
AA****,hdegree,1,5.528392503258831,ejerHistory,638,241,324
ABAA**,hdegree,1,2.6656172338503485,ejerHistory,638,32,40
ABAB**,hdegree,1,0.16474436826848365,ejerHistory,638,8,13
ABA***,hdegree,1,2.3973316599470116,ejerHistory,638,40,53
ABBA**,hdegree,1,1.6950546116035052,ejerHistory,638,10,12
ABBB**,hdegree,1,-0.5552047918172343,ejerHistory,638,18,33
ABB***,hdegree,1,0.2175546108892606,ejerHistory,638,28,46
AB*A**,hdegree,1,3.1521788680160734,ejerHistory,638,42,52
AB*B**,hdegree,1,-0.3826729822308516,ejerHistory,638,26,46
AB****,hdegree,1,1.9023722692328406,ejerHistory,638,68,99
A*AA**,hdegree,1,5.032842314600467,ejerHistory,638,188,251
A*AB**,hdegree,1,2.2107913732076043,ejerHistory,638,40,54
A*A***,hdegree,1,5.534243069289936,ejerHistory,638,229,306
A*BA**,hdegree,1,3.7840830365912415,ejerHistory,638,31,34
A*BB**,hdegree,1,0.08523262072295866,ejerHistory,638,49,82
A*B***,hdegree,1,1.9996678415943072,ejerHistory,638,80,117
A**A**,hdegree,1,6.030112988859052,ejerHistory,638,219,285
A**B**,hdegree,1,1.459259730674504,ejerHistory,638,89,136
A*****,hdegree,1,5.693314687396998,ejerHistory,638,309,424
BAAA**,hdegree,1,1.7697593380427326,ejerHistory,638,52,75
BAAB**,hdegree,1,-0.0036405812104886165,ejerHistory,638,16,27
BAA***,hdegree,1,1.5899483787502489,ejerHistory,638,69,103
BABA**,hdegree,1,-0.3997936580273381,ejerHistory,638,7,13
BABB**,hdegree,1,0.07188465653237486,ejerHistory,638,15,25
BAB***,hdegree,1,-0.17553221611005584,ejerHistory,638,22,38
BA*A**,hdegree,1,1.480155452167975,ejerHistory,638,59,88
BA*B**,hdegree,1,0.047219723389056056,ejerHistory,638,31,52
BA****,hdegree,1,1.2677890133805927,ejerHistory,638,91,141
BBAA**,hdegree,1,-0.3854351506599047,ejerHistory,638,72,125
BBAB**,hdegree,1,-1.407752001115694,ejerHistory,638,14,30
BBA***,hdegree,1,-1.0589896750446588,ejerHistory,638,86,156
BBBA**,hdegree,1,-0.7843587246067864,ejerHistory,638,52,94
BBBB**,hdegree,1,-6.651249817694805,ejerHistory,638,100,257
BBB***,hdegree,1,-6.20844530739827,ejerHistory,638,152,353
BB*A**,hdegree,1,-0.805069185844742,ejerHistory,638,124,219
BB*B**,hdegree,1,-6.749171804770711,ejerHistory,638,114,287
BB****,hdegree,1,-5.756513929600046,ejerHistory,638,238,509
B*AA**,hdegree,1,0.7790385948387429,ejerHistory,638,124,200
B*AB**,hdegree,1,-1.023796262684638,ejerHistory,638,30,57
B*A***,hdegree,1,0.18078361183374989,ejerHistory,638,155,259
B*BA**,hdegree,1,-0.9865975080424174,ejerHistory,638,59,108
B*BB**,hdegree,1,-6.328180575936651,ejerHistory,638,115,282
B*B***,hdegree,1,-6.007127469424718,ejerHistory,638,174,392
B**A**,hdegree,1,0.043547037189487936,ejerHistory,638,183,308
B**B**,hdegree,1,-6.1915059897948925,ejerHistory,638,145,339
B*****,hdegree,1,-4.547402539270473,ejerHistory,638,329,651
*AAA**,hdegree,1,4.6242367529887,ejerHistory,638,208,286
*AAB**,hdegree,1,1.895782271156578,ejerHistory,638,48,68
*AA***,hdegree,1,5.06112370599894,ejerHistory,638,258,356
*ABA**,hdegree,1,2.4934566033370196,ejerHistory,638,28,35
*ABB**,hdegree,1,0.5022649183525524,ejerHistory,638,46,74
*AB***,hdegree,1,1.8267791642567237,ejerHistory,638,74,109
*A*A**,hdegree,1,5.188210223712384,ejerHistory,638,236,321
*A*B**,hdegree,1,1.6744745621266168,ejerHistory,638,94,142
*A****,hdegree,1,5.312835116483126,ejerHistory,638,332,465
*BAA**,hdegree,1,0.9769809610303385,ejerHistory,638,104,165
*BAB**,hdegree,1,-1.0852684276537097,ejerHistory,638,22,43
*BA***,hdegree,1,0.29232276043130034,ejerHistory,638,126,209
*BBA**,hdegree,1,-0.16830427462904668,ejerHistory,638,62,106
*BBB**,hdegree,1,-6.448679500474896,ejerHistory,638,118,290
*BB***,hdegree,1,-5.7657401840435165,ejerHistory,638,180,399
*B*A**,hdegree,1,0.6570707141393868,ejerHistory,638,166,271
*B*B**,hdegree,1,-6.40792376697678,ejerHistory,638,140,333
*B****,hdegree,1,-4.499393973086798,ejerHistory,638,306,608
**AA**,hdegree,1,4.2733677211243535,ejerHistory,638,312,451
**AB**,hdegree,1,0.8083447213983018,ejerHistory,638,70,111
**A***,hdegree,1,4.195216264307512,ejerHistory,638,384,565
**BA**,hdegree,1,0.9912229015850027,ejerHistory,638,90,142
**BB**,hdegree,1,-5.529514271403385,ejerHistory,638,164,364
**B***,hdegree,1,-4.312983417000715,ejerHistory,638,254,509
***A**,hdegree,1,4.2118098113643505,ejerHistory,638,402,593
***B**,hdegree,1,-4.449746127371734,ejerHistory,638,234,475
******,hdegree,1,0.0,ejerHistory,638,638,1076
