cat,class,classcat,epsilon,feat,nc,ncx,nx
AAAA**,id_sexo,M,2.484087542946666,ejerHistory,386,93,211
AAAB**,id_sexo,M,-1.2074322448003687,ejerHistory,386,11,41
AAA***,id_sexo,M,1.7354594944698,ejerHistory,386,104,253
AABA**,id_sexo,M,-0.3965899412216854,ejerHistory,386,7,22
AABB**,id_sexo,M,-1.6614212211879216,ejerHistory,386,12,49
AAB***,id_sexo,M,-1.600982728998395,ejerHistory,386,19,71
AA*A**,id_sexo,M,2.2420418878294406,ejerHistory,386,100,233
AA*B**,id_sexo,M,-2.040858868269412,ejerHistory,386,23,90
AA****,id_sexo,M,0.7841140474094734,ejerHistory,386,123,324
ABAA**,id_sexo,M,0.21446175056874336,ejerHistory,386,15,40
ABAB**,id_sexo,M,-0.9619736077885219,ejerHistory,386,3,13
ABA***,id_sexo,M,-0.2901151212107672,ejerHistory,386,18,53
ABBA**,id_sexo,M,-0.1834699839562069,ejerHistory,386,4,12
ABBB**,id_sexo,M,-0.6671924445758702,ejerHistory,386,10,33
ABB***,id_sexo,M,-0.7690913768307931,ejerHistory,386,14,46
AB*A**,id_sexo,M,0.09995926874227085,ejerHistory,386,19,52
AB*B**,id_sexo,M,-1.076499371433295,ejerHistory,386,13,46
AB****,id_sexo,M,-0.7365220096757481,ejerHistory,386,32,99
A*AA**,id_sexo,M,2.363181179995643,ejerHistory,386,108,251
A*AB**,id_sexo,M,-1.5240975354508313,ejerHistory,386,14,54
A*A***,id_sexo,M,1.457286540799563,ejerHistory,386,122,306
A*BA**,id_sexo,M,-0.4280142287663045,ejerHistory,386,11,34
A*BB**,id_sexo,M,-1.707567056243272,ejerHistory,386,22,82
A*B***,id_sexo,M,-1.7294028323259576,ejerHistory,386,33,117
A**A**,id_sexo,M,2.0699098806205485,ejerHistory,386,119,285
A**B**,id_sexo,M,-2.286287184714423,ejerHistory,386,36,136
A*****,id_sexo,M,0.293221845625912,ejerHistory,386,155,424
BAAA**,id_sexo,M,0.022821876053089097,ejerHistory,386,27,75
BAAB**,id_sexo,M,-0.2752049759343103,ejerHistory,386,9,27
BAA***,id_sexo,M,-0.19512552552449008,ejerHistory,386,36,103
BABA**,id_sexo,M,-0.38371461226871756,ejerHistory,386,4,13
BABB**,id_sexo,M,-1.6547777507933012,ejerHistory,386,5,25
BAB***,id_sexo,M,-1.5666357676487737,ejerHistory,386,9,38
BA*A**,id_sexo,M,-0.12641304376441162,ejerHistory,386,31,88
BA*B**,id_sexo,M,-1.34568822005724,ejerHistory,386,14,52
BA****,id_sexo,M,-0.980071079178323,ejerHistory,386,45,141
BBAA**,id_sexo,M,1.7078092194693113,ejerHistory,386,54,125
BBAB**,id_sexo,M,0.09056515614847419,ejerHistory,386,11,30
BBA***,id_sexo,M,1.5085664790477724,ejerHistory,386,65,156
BBBA**,id_sexo,M,0.9201384742085418,ejerHistory,386,38,94
BBBB**,id_sexo,M,-1.5860441559910148,ejerHistory,386,80,257
BBB***,id_sexo,M,-0.8471282174272226,ejerHistory,386,119,353
BB*A**,id_sexo,M,1.8930756323443805,ejerHistory,386,92,219
BB*B**,id_sexo,M,-1.471581776281381,ejerHistory,386,91,287
BB****,id_sexo,M,0.12968801960215062,ejerHistory,386,184,509
B*AA**,id_sexo,M,1.3641172234651286,ejerHistory,386,81,200
B*AB**,id_sexo,M,-0.12370618468317753,ejerHistory,386,20,57
B*A***,id_sexo,M,1.0477339078148824,ejerHistory,386,101,259
