cat,class,classcat,epsilon,feat,nc,ncx,nx
AAAA**,academic,1,4.556547184683717,estresHistory,322,52,103
AAAB**,academic,1,1.6792224804920528,estresHistory,322,44,119
AAA***,academic,1,4.333121609981355,estresHistory,322,96,222
AABA**,academic,1,-1.6333849046250217,estresHistory,322,1,12
AABB**,academic,1,-1.2350682965070907,estresHistory,322,46,179
AAB***,academic,1,-1.6050548177676305,estresHistory,322,47,191
AA*A**,academic,1,3.7076114141100778,estresHistory,322,53,116
AA*B**,academic,1,0.10392751048961606,estresHistory,322,90,298
AA****,academic,1,2.0507339959674877,estresHistory,322,143,414
ABAA**,academic,1,-1.1318865264474685,estresHistory,322,0,3
ABAB**,academic,1,-0.8505597923329786,estresHistory,322,2,11
ABA***,academic,1,-1.4033026145592558,estresHistory,322,2,15
ABBA**,academic,1,-0.6534949907365564,estresHistory,322,0,1
ABBB**,academic,1,-3.137880039157682,estresHistory,322,10,75
ABB***,academic,1,-3.192128749779939,estresHistory,322,10,76
AB*A**,academic,1,-1.3069899814731127,estresHistory,322,0,4
AB*B**,academic,1,-3.2345330991227437,estresHistory,322,12,86
AB****,academic,1,-3.536070413635906,estresHistory,322,12,92
A*AA**,academic,1,4.301185814754446,estresHistory,322,52,106
A*AB**,academic,1,1.3591914526515705,estresHistory,322,46,130
A*A***,academic,1,3.840717233305459,estresHistory,322,98,237
A*BA**,academic,1,-1.7505523551811044,estresHistory,322,1,13
A*BB**,academic,1,-2.7419144735698304,estresHistory,322,56,254
A*B***,academic,1,-3.0606009856159133,estresHistory,322,57,267
A**A**,academic,1,3.406671547236152,estresHistory,322,53,120
A**B**,academic,1,-1.4391649864122253,estresHistory,322,102,384
A*****,academic,1,0.3471732029443531,estresHistory,322,155,506
BAAA**,academic,1,-0.2756300131658585,estresHistory,322,4,15
BAAB**,academic,1,1.2852996873632274,estresHistory,322,15,38
BAA***,academic,1,0.9416903102220551,estresHistory,322,19,53
BABA**,academic,1,0.7471302628988402,estresHistory,322,3,7
BABB**,academic,1,-2.0015107153217593,estresHistory,322,15,77
BAB***,academic,1,-1.7006226861116516,estresHistory,322,18,84
BA*A**,academic,1,0.19384431326585969,estresHistory,322,7,22
BA*B**,academic,1,-0.8989407763535072,estresHistory,322,30,115
BA****,academic,1,-0.7988489587044848,estresHistory,322,37,138
BBAA**,academic,1,-0.10862300380403309,estresHistory,322,9,31
BBAB**,academic,1,0.2225570155372797,estresHistory,322,12,38
BBA***,academic,1,0.01358392885191329,estresHistory,322,21,70
BBBA**,academic,1,1.4325912649937682,estresHistory,322,14,34
BBBB**,academic,1,-0.1788528140633948,estresHistory,322,94,319
BBB***,academic,1,0.21538159379990904,estresHistory,322,109,358
BB*A**,academic,1,0.9610934931007198,estresHistory,322,23,65
BB*B**,academic,1,-0.09645586050575522,estresHistory,322,106,357
BB****,academic,1,0.20247630169195519,estresHistory,322,130,428
B*AA**,academic,1,-0.2465668500988155,estresHistory,322,13,46
B*AB**,academic,1,1.0662156996785381,estresHistory,322,27,76
B*A***,academic,1,0.6283970337049388,estresHistory,322,40,123
B*BA**,academic,1,1.6132892695357783,estresHistory,322,17,41
B*BB**,academic,1,-1.0431085798539224,estresHistory,322,109,396
B*B***,academic,1,-0.5475344868455202,estresHistory,322,127,442
B**A**,academic,1,0.9282129346526191,estresHistory,322,30,87
B**B**,academic,1,-0.5276064302924431,estresHistory,322,136,472
B*****,academic,1,-0.21838265464168072,estresHistory,322,167,566
*AAA**,academic,1,4.158824057475131,estresHistory,322,56,118
*AAB**,academic,1,2.094281661663266,estresHistory,322,59,157
*AA***,academic,1,4.306647351395324,estresHistory,322,115,275
*ABA**,academic,1,-0.8445918249855324,estresHistory,322,4,19
*ABB**,academic,1,-2.1304545544276405,estresHistory,322,61,256
*AB***,academic,1,-2.2775421201894583,estresHistory,322,65,275
*A*A**,academic,1,3.4766514803133766,estresHistory,322,60,138
*A*B**,academic,1,-0.38607636453996697,estresHistory,322,120,413
*A****,academic,1,1.3765632575599769,estresHistory,322,180,552
*BAA**,academic,1,-0.4399405633994472,estresHistory,322,9,34
*BAB**,academic,1,-0.2070077299848724,estresHistory,322,14,49
*BA***,academic,1,-0.5771777963423391,estresHistory,322,23,85
*BBA**,academic,1,1.3015165519595957,estresHistory,322,14,35
*BBB**,academic,1,-1.5609237861023826,estresHistory,322,104,395
*BB***,academic,1,-1.1702077290876864,estresHistory,322,119,435
*B*A**,academic,1,0.6181336224414771,estresHistory,322,23,69
*B*B**,academic,1,-1.5410434674330633,estresHistory,322,118,444
*B****,academic,1,-1.3310345536714778,estresHistory,322,142,521
**AA**,academic,1,3.4562182679147444,estresHistory,322,65,152
**AB**,academic,1,1.7273558099825588,estresHistory,322,73,206
**A***,academic,1,3.4835835429728887,estresHistory,322,138,360
**BA**,academic,1,0.5468329827473041,estresHistory,322,18,54
**BB**,academic,1,-2.551862861281652,estresHistory,322,165,651
**B***,academic,1,-2.333400452278305,estresHistory,322,184,710
***A**,academic,1,3.1955536600649355,estresHistory,322,83,207
***B**,academic,1,-1.3772298004762402,estresHistory,322,238,857
******,academic,1,0.0,estresHistory,322,322,1076
