,cat,class,classcat,epsilon,feat,nc,ncx,nx
0,AAAA**,AedadC,0,0.8497270540805129,saludHistory,150,70,457
1,AAAB**,AedadC,0,-1.2143614772895135,saludHistory,150,1,21
2,AAA***,AedadC,0,0.9143857145527402,saludHistory,150,74,481
3,AABA**,AedadC,0,-0.07498889195787875,saludHistory,150,5,37
4,AABB**,AedadC,0,-1.382396440391297,saludHistory,150,1,24
5,AAB***,AedadC,0,-0.9255109278882003,saludHistory,150,6,61
6,AA*A**,AedadC,0,0.7967633303238497,saludHistory,150,75,494
7,AA*B**,AedadC,0,-1.8391264364137858,saludHistory,150,2,45
8,AA****,AedadC,0,0.6570232371427634,saludHistory,150,81,543
9,ABAA**,AedadC,0,0.3599393252306745,saludHistory,150,8,51
10,ABAB**,AedadC,0,3.525690962103624,saludHistory,150,3,4
11,ABA***,AedadC,0,1.2974117225560182,saludHistory,150,11,55
12,ABBA**,AedadC,0,-0.06789367596397428,saludHistory,150,2,15
13,ABBB**,AedadC,0,-0.3465717689609424,saludHistory,150,2,18
14,ABB***,AedadC,0,-0.3017341216335186,saludHistory,150,4,33
15,AB*A**,AedadC,0,0.28403729013821627,saludHistory,150,10,66
16,AB*B**,AedadC,0,1.1898737173816647,saludHistory,150,5,22
17,AB****,AedadC,0,0.8409203675726185,saludHistory,150,15,88
18,A*AA**,AedadC,0,0.9199921769705318,saludHistory,150,78,508
19,A*AB**,AedadC,0,0.29729570669793115,saludHistory,150,4,25
20,A*A***,AedadC,0,1.2818039608728662,saludHistory,150,85,536
21,A*BA**,AedadC,0,-0.09971993789198091,saludHistory,150,7,52
22,A*BB**,AedadC,0,-1.271877964878694,saludHistory,150,3,42
23,A*B***,AedadC,0,-0.9243392976124803,saludHistory,150,10,94
24,A**A**,AedadC,0,0.8458506572450131,saludHistory,150,85,560
25,A**B**,AedadC,0,-0.8254052018533015,saludHistory,150,7,67
26,A*****,AedadC,0,0.9235266423698579,saludHistory,150,96,631
27,BAAA**,AedadC,0,1.775471705489403,saludHistory,150,17,82
28,BAAB**,AedadC,0,-0.35976154009390937,saludHistory,150,1,10
29,BAA***,AedadC,0,1.557593729181478,saludHistory,150,18,92
30,BABA**,AedadC,0,-0.8049522744528823,saludHistory,150,0,4
31,BABB**,AedadC,0,-1.0648517677390688,saludHistory,150,0,7
32,BAB***,AedadC,0,-1.3348623342516965,saludHistory,150,0,11
33,BA*A**,AedadC,0,1.5600895759507007,saludHistory,150,17,86
34,BA*B**,AedadC,0,-0.9592281161168048,saludHistory,150,1,17
35,BA****,AedadC,0,1.035844814867634,saludHistory,150,18,103
36,BBAA**,AedadC,0,-0.5804342531781616,saludHistory,150,22,177
37,BBAB**,AedadC,0,-0.9858611698511625,saludHistory,150,0,6
38,BBA***,AedadC,0,-0.749350990761745,saludHistory,150,22,183
39,BBBA**,AedadC,0,-1.9200770384450945,saludHistory,150,5,78
40,BBBB**,AedadC,0,-0.8995932393157698,saludHistory,150,8,77
41,BBB***,AedadC,0,-1.9961253254302065,saludHistory,150,13,155
42,BB*A**,AedadC,0,-1.5455113263300628,saludHistory,150,27,255
43,BB*B**,AedadC,0,-1.1315329146454849,saludHistory,150,8,83
44,BB****,AedadC,0,-1.903128523547454,saludHistory,150,35,338
45,B*AA**,AedadC,0,0.5191795806628402,saludHistory,150,39,259
46,B*AB**,AedadC,0,-0.8881306761463468,saludHistory,150,1,16
47,B*A***,AedadC,0,0.28962467615885235,saludHistory,150,40,275
48,B*BA**,AedadC,0,-2.0504446264997784,saludHistory,150,5,82
49,B*BB**,AedadC,0,-1.168691180650853,saludHistory,150,8,84
50,B*B***,AedadC,0,-2.272475399103184,saludHistory,150,13,166
51,B**A**,AedadC,0,-0.5530195335784993,saludHistory,150,44,341
52,B**B**,AedadC,0,-1.4263754303305074,saludHistory,150,9,100
53,B*****,AedadC,0,-1.1655197853268562,saludHistory,150,53,441
54,*AAA**,AedadC,0,1.4562500701660592,saludHistory,150,87,540
55,*AAB**,AedadC,0,-1.2038169784429427,saludHistory,150,2,31
56,*AA***,AedadC,0,1.4438205796118775,saludHistory,150,92,574
57,*ABA**,AedadC,0,-0.3226618904280473,saludHistory,150,5,41
58,*ABB**,AedadC,0,-1.7223546360909037,saludHistory,150,1,31
59,*AB***,AedadC,0,-1.3736384711371656,saludHistory,150,6,72
60,*A*A**,AedadC,0,1.3182138420401375,saludHistory,150,92,581
61,*A*B**,AedadC,0,-2.069115791552471,saludHistory,150,3,62
62,*A****,AedadC,0,0.9993787649085043,saludHistory,150,99,647
63,*BAA**,AedadC,0,-0.3670299304515957,saludHistory,150,30,229
64,*BAB**,AedadC,0,1.4661979747223475,saludHistory,150,3,10
65,*BA***,AedadC,0,-0.05935755897992733,saludHistory,150,33,239
66,*BBA**,AedadC,0,-1.7856943134492165,saludHistory,150,7,93
67,*BBB**,AedadC,0,-0.9607546640319248,saludHistory,150,10,95
68,*BB***,AedadC,0,-1.9389024097987193,saludHistory,150,17,188
69,*B*A**,AedadC,0,-1.2691890372352448,saludHistory,150,37,322
70,*B*B**,AedadC,0,-0.4613814522259837,saludHistory,150,13,105
71,*B****,AedadC,0,-1.3309410036252154,saludHistory,150,50,427
72,**AA**,AedadC,0,1.0200200748123764,saludHistory,150,117,769
73,**AB**,AedadC,0,-0.3226618904280473,saludHistory,150,5,41
74,**A***,AedadC,0,1.180993018184343,saludHistory,150,125,813
75,**BA**,AedadC,0,-1.6661133581833925,saludHistory,150,12,134
76,**BB**,AedadC,0,-1.6885514385608764,saludHistory,150,11,126
77,**B***,AedadC,0,-2.3715812976258737,saludHistory,150,23,260
78,***A**,AedadC,0,0.299480162594652,saludHistory,150,129,903
79,***B**,AedadC,0,-1.6265754334759697,saludHistory,150,16,167
80,******,AedadC,0,0.0,saludHistory,150,150,1076
81,AAAA**,AedadC,1,0.37625810435204315,saludHistory,342,149,457
82,AAAB**,AedadC,1,1.0897241483746791,saludHistory,342,9,21
83,AAA***,AedadC,1,0.5010748277873653,saludHistory,342,158,481
84,AABA**,AedadC,1,-0.6214669387056879,saludHistory,342,10,37
85,AABB**,AedadC,1,0.16296460468873106,saludHistory,342,8,24
86,AAB***,AedadC,1,-0.3817900421971368,saludHistory,342,18,61
87,AA*A**,AedadC,1,0.19181240510073846,saludHistory,342,159,494
88,AA*B**,AedadC,1,0.8634358332087463,saludHistory,342,17,45
89,AA****,AedadC,1,0.3143439212830044,saludHistory,342,176,543
90,ABAA**,AedadC,1,1.1397275606203203,saludHistory,342,20,51
91,ABAB**,AedadC,1,-1.3651960364664306,saludHistory,342,0,4
92,ABA***,AedadC,1,0.7293346771511673,saludHistory,342,20,55
