,cat,class,classcat,epsilon,feat,nc,ncx,nx
0,AAAA**,AedadC,0,-0.6036807856156693,condiHistory,150,37,291
1,AAAB**,AedadC,0,-0.25900460665840463,condiHistory,150,2,17
2,AAA***,AedadC,0,-0.5492573592212947,condiHistory,150,40,311
3,AABA**,AedadC,0,0.136794528328298,condiHistory,150,3,20
4,AABB**,AedadC,0,-0.4244619966040249,condiHistory,150,3,27
5,AAB***,AedadC,0,-0.23248042620517578,condiHistory,150,6,47
6,AA*A**,AedadC,0,-0.5492573592212947,condiHistory,150,40,311
7,AA*B**,AedadC,0,-0.4934945599354759,condiHistory,150,5,44
8,AA****,AedadC,0,-0.5961699356818887,condiHistory,150,46,358
9,ABAA**,AedadC,0,1.5642330561638442,condiHistory,150,6,24
10,ABAB**,AedadC,0,3.5137823874945164,condiHistory,150,2,2
11,ABA***,AedadC,0,2.4774143983444152,condiHistory,150,8,26
12,ABBA**,AedadC,0,0.7173019156791239,condiHistory,150,2,9
13,ABBB**,AedadC,0,-0.3465717689609424,condiHistory,150,2,18
14,ABB***,AedadC,0,0.5983452790152862,condiHistory,150,5,28
15,AB*A**,AedadC,0,1.70858114076689,condiHistory,150,8,33
16,AB*B**,AedadC,0,0.782368705877635,condiHistory,150,4,20
17,AB****,AedadC,0,2.149907617808757,condiHistory,150,13,54
18,A*AA**,AedadC,0,-0.14845850677651637,condiHistory,150,43,315
19,A*AB**,AedadC,0,0.8950277139665231,condiHistory,150,4,19
20,A*A***,AedadC,0,0.1604856726334493,condiHistory,150,48,337
21,A*BA**,AedadC,0,0.5132005378851417,condiHistory,150,5,29
22,A*BB**,AedadC,0,-0.5479780813151126,condiHistory,150,5,45
23,A*B***,AedadC,0,0.18155819708756082,condiHistory,150,11,75
24,A**A**,AedadC,0,0.006944018884053207,condiHistory,150,48,344
25,A**B**,AedadC,0,0.02817332960585077,condiHistory,150,9,64
26,A*****,AedadC,0,0.2226088142211702,condiHistory,150,59,412
27,BAAA**,AedadC,0,0.08745196004225331,condiHistory,150,11,77
28,BAAB**,AedadC,0,2.0821432165847886,condiHistory,150,2,4
29,BAA***,AedadC,0,0.8189926224921081,condiHistory,150,14,82
30,BABA**,AedadC,0,0.19279062877089387,condiHistory,150,1,6
31,BABB**,AedadC,0,-0.46437029082452963,condiHistory,150,1,11
32,BAB***,AedadC,0,-0.25900460665840463,condiHistory,150,2,17
33,BA*A**,AedadC,0,0.1360666857278014,condiHistory,150,12,83
34,BA*B**,AedadC,0,0.6775511744159874,condiHistory,150,3,15
35,BA****,AedadC,0,0.6380372288564677,condiHistory,150,16,99
36,BBAA**,AedadC,0,0.4218246827620463,condiHistory,150,35,235
37,BBAB**,AedadC,0,2.1471058394569713,condiHistory,150,4,11
38,BBA***,AedadC,0,0.8663133771376731,condiHistory,150,39,246
39,BBBA**,AedadC,0,-0.724761238728621,condiHistory,150,19,159
40,BBBB**,AedadC,0,-1.3563666720118936,condiHistory,150,16,157
41,BBB***,AedadC,0,-1.4904435695025025,condiHistory,150,35,317
42,BB*A**,AedadC,0,-0.13463566030822116,condiHistory,150,54,394
43,BB*B**,AedadC,0,-0.7618019060471348,condiHistory,150,20,168
44,BB****,AedadC,0,-0.5457352383694329,condiHistory,150,74,563
45,B*AA**,AedadC,0,0.40953541895949164,condiHistory,150,46,312
46,B*AB**,AedadC,0,2.9138857255558723,condiHistory,150,6,15
47,B*A***,AedadC,0,1.159745703485568,condiHistory,150,53,328
48,B*BA**,AedadC,0,-0.6746980071037377,condiHistory,150,20,165
49,B*BB**,AedadC,0,-1.4300346649384794,condiHistory,150,17,168
50,B*B***,AedadC,0,-1.5104508548289879,condiHistory,150,37,334
51,B**A**,AedadC,0,-0.06560409436657298,condiHistory,150,66,477
52,B**B**,AedadC,0,-0.5359307509365364,condiHistory,150,23,183
53,B*****,AedadC,0,-0.25653994040502576,condiHistory,150,90,662
54,*AAA**,AedadC,0,-0.49681868948029945,condiHistory,150,48,368
55,*AAB**,AedadC,0,0.6756861836027473,condiHistory,150,4,21
56,*AA***,AedadC,0,-0.11450460817822894,condiHistory,150,54,393
57,*ABA**,AedadC,0,0.212590360435672,condiHistory,150,4,26
58,*ABB**,AedadC,0,-0.6076346021941464,condiHistory,150,4,38
59,*AB***,AedadC,0,-0.33271360677385814,condiHistory,150,8,64
60,*A*A**,AedadC,0,-0.42553519944807056,condiHistory,150,52,394
61,*A*B**,AedadC,0,-0.08453532706873024,condiHistory,150,8,59
62,*A****,AedadC,0,-0.230693991935005,condiHistory,150,62,457
63,*BAA**,AedadC,0,0.877970350600679,condiHistory,150,41,259
64,*BAB**,AedadC,0,3.3532689562780966,condiHistory,150,6,13
65,*BA***,AedadC,0,1.5898197338353823,condiHistory,150,47,272
66,*BBA**,AedadC,0,-0.5390576530833529,condiHistory,150,21,168
67,*BBB**,AedadC,0,-1.3958685458248137,condiHistory,150,18,175
68,*BB***,AedadC,0,-1.2582226085546557,condiHistory,150,40,345
69,*B*A**,AedadC,0,0.34565511723417736,condiHistory,150,62,427
70,*B*B**,AedadC,0,-0.46496085241035157,condiHistory,150,24,188
71,*B****,AedadC,0,0.11471780056436448,condiHistory,150,87,617
72,**AA**,AedadC,0,0.1836647974945204,condiHistory,150,89,627
73,**AB**,AedadC,0,2.6045089238522396,condiHistory,150,10,34
74,**A***,AedadC,0,0.9287416816323739,condiHistory,150,101,665
75,**BA**,AedadC,0,-0.42380950534365847,condiHistory,150,25,194
76,**BB**,AedadC,0,-1.5218943245778267,condiHistory,150,22,213
77,**B***,AedadC,0,-1.2872072980797773,condiHistory,150,48,409
78,***A**,AedadC,0,-0.045510705490412674,condiHistory,150,114,821
79,***B**,AedadC,0,-0.44696142473906586,condiHistory,150,32,247
80,******,AedadC,0,0.0,condiHistory,150,150,1076
81,AAAA**,AedadC,1,-0.1879048386085169,condiHistory,342,91,291
82,AAAB**,AedadC,1,0.8316443010739679,condiHistory,342,7,17
83,AAA***,AedadC,1,0.14011330171919278,condiHistory,342,100,311
84,AABA**,AedadC,1,-0.17137802892082674,condiHistory,342,6,20
85,AABB**,AedadC,1,0.9994574904432794,condiHistory,342,11,27
86,AAB***,AedadC,1,0.6457308416713976,condiHistory,342,17,47
87,AA*A**,AedadC,1,-0.22522251245653993,condiHistory,342,97,311
88,AA*B**,AedadC,1,1.29985923968598,condiHistory,342,18,44
89,AA****,AedadC,1,0.3645617812122642,condiHistory,342,117,358
90,ABAA**,AedadC,1,1.039714177914107,condiHistory,342,10,24
91,ABAB**,AedadC,1,-0.9653393750344101,condiHistory,342,0,2
92,ABA***,AedadC,1,0.7311881003883954,condiHistory,342,10,26
93,ABBA**,AedadC,1,1.531521089642165,condiHistory,342,5,9
94,ABBB**,AedadC,1,0.6473230896916901,condiHistory,342,7,18
95,ABB***,AedadC,1,1.2583050608131134,condiHistory,342,12,28
96,AB*A**,AedadC,1,1.6864820341403615,condiHistory,342,15,33
97,AB*B**,AedadC,1,0.3088374896177388,condiHistory,342,7,20
98,AB****,AedadC,1,1.4134463380002638,condiHistory,342,22,54
99,A*AA**,AedadC,1,0.10638362298880834,condiHistory,342,101,315
100,A*AB**,AedadC,1,0.47345930395168767,condiHistory,342,7,19
101,A*A***,AedadC,1,0.33769561238848034,condiHistory,342,110,337
102,A*BA**,AedadC,1,0.7108672735179844,condiHistory,342,11,29
103,A*BB**,AedadC,1,1.1835795122344572,condiHistory,342,18,45
104,A*B***,AedadC,1,1.2800123524800864,condiHistory,342,29,75
105,A**A**,AedadC,1,0.3082000532111655,condiHistory,342,112,344
106,A**B**,AedadC,1,1.2504317497751731,condiHistory,342,25,64
107,A*****,AedadC,1,0.8515461720703332,condiHistory,342,139,412
108,BAAA**,AedadC,1,-1.094963494742043,condiHistory,342,20,77
109,BAAB**,AedadC,1,-1.3651960364664306,condiHistory,342,0,4
110,BAA***,AedadC,1,-1.437957145321401,condiHistory,342,20,82
111,BABA**,AedadC,1,1.8349814487951166,condiHistory,342,4,6
112,BABB**,AedadC,1,2.268735802600067,condiHistory,342,7,11
113,BAB***,AedadC,1,2.9151117468378565,condiHistory,342,11,17
114,BA*A**,AedadC,1,-0.561279261893821,condiHistory,342,24,83
115,BA*B**,AedadC,1,1.237845067790443,condiHistory,342,7,15
