,cat,class,classcat,epsilon,feat,nc,ncx,nx
0,AAAA**,Apuesto,EM,-0.7560151986991889,condiHistory,71,16,291
1,AAAB**,Apuesto,EM,0.8580155180935508,condiHistory,71,2,17
2,AAA***,Apuesto,EM,-0.575913679095657,condiHistory,71,18,311
3,AABA**,Apuesto,EM,4.215591482567343,condiHistory,71,6,20
4,AABB**,Apuesto,EM,0.16930655579839943,condiHistory,71,2,27
5,AAB***,Apuesto,EM,2.8782723256969582,condiHistory,71,8,47
6,AA*A**,Apuesto,EM,0.3377363300557276,condiHistory,71,22,311
7,AA*B**,Apuesto,EM,0.6659528223476525,condiHistory,71,4,44
8,AA****,Apuesto,EM,0.5061122178738166,condiHistory,71,26,358
9,ABAA**,Apuesto,EM,4.453502669803194,condiHistory,71,7,24
10,ABAB**,Apuesto,EM,2.4724053413259264,condiHistory,71,1,2
11,ABA***,Apuesto,EM,4.96450882688057,condiHistory,71,8,26
12,ABBA**,Apuesto,EM,0.5453156692626817,condiHistory,71,1,9
13,ABBB**,Apuesto,EM,-0.1782390717158592,condiHistory,71,1,18
14,ABB***,Apuesto,EM,0.8772643161903225,condiHistory,71,3,28
15,AB*A**,Apuesto,EM,4.082741658358139,condiHistory,71,8,33
16,AB*B**,Apuesto,EM,0.6127507873787322,condiHistory,71,2,20
17,AB****,Apuesto,EM,4.076518916010657,condiHistory,71,11,54
18,A*AA**,Apuesto,EM,0.5026394369460663,condiHistory,71,23,315
19,A*AB**,Apuesto,EM,1.6137556447206354,condiHistory,71,3,19
20,A*A***,Apuesto,EM,0.8256968372839881,condiHistory,71,26,337
21,A*BA**,Apuesto,EM,3.804645908222379,condiHistory,71,7,29
22,A*BB**,Apuesto,EM,0.01841600727094536,condiHistory,71,3,45
23,A*B***,Apuesto,EM,2.814523365455438,condiHistory,71,11,75
24,A**A**,Apuesto,EM,1.5856599177639017,condiHistory,71,30,344
25,A**B**,Apuesto,EM,0.8947170134126837,condiHistory,71,6,64
26,A*****,Apuesto,EM,1.9476149741642614,condiHistory,71,37,412
27,BAAA**,Apuesto,EM,-1.4142492754583393,condiHistory,71,2,77
28,BAAB**,Apuesto,EM,1.482459988750723,condiHistory,71,1,4
29,BAA***,Apuesto,EM,-1.0723852707915504,condiHistory,71,3,82
30,BABA**,Apuesto,EM,0.9934031349938489,condiHistory,71,1,6
31,BABB**,Apuesto,EM,-0.8815409394127403,condiHistory,71,0,11
32,BAB***,Apuesto,EM,-0.11894183372513782,condiHistory,71,1,17
33,BA*A**,Apuesto,EM,-1.0950802890725884,condiHistory,71,3,83
34,BA*B**,Apuesto,EM,0.01063248675527841,condiHistory,71,1,15
35,BA****,Apuesto,EM,-1.0252663507894653,condiHistory,71,4,99
36,BBAA**,Apuesto,EM,-0.6586198415065819,condiHistory,71,13,235
37,BBAB**,Apuesto,EM,0.33297641117382626,condiHistory,71,1,11
38,BBA***,Apuesto,EM,-0.5733149203119172,condiHistory,71,14,246
39,BBBA**,Apuesto,EM,0.16239646033556215,condiHistory,71,11,159
40,BBBB**,Apuesto,EM,-1.7230104838463187,condiHistory,71,5,157
41,BBB***,Apuesto,EM,-1.112489511555178,condiHistory,71,16,317
42,BB*A**,Apuesto,EM,-0.4054881284038756,condiHistory,71,24,394
43,BB*B**,Apuesto,EM,-1.5804444751021938,condiHistory,71,6,168
44,BB****,Apuesto,EM,-1.213750242748139,condiHistory,71,30,563
45,B*AA**,Apuesto,EM,-1.274176144014622,condiHistory,71,15,312
46,B*AB**,Apuesto,EM,1.05068300936252,condiHistory,71,2,15
47,B*A***,Apuesto,EM,-1.0326979207545466,condiHistory,71,17,328
48,B*BA**,Apuesto,EM,0.3488510006557969,condiHistory,71,12,165
49,B*BB**,Apuesto,EM,-1.8912190100455344,condiHistory,71,5,168
50,B*B***,Apuesto,EM,-1.1106419536825678,condiHistory,71,17,334
51,B**A**,Apuesto,EM,-0.825324802621963,condiHistory,71,27,477
52,B**B**,Apuesto,EM,-1.511243432147965,condiHistory,71,7,183
53,B*****,Apuesto,EM,-1.5158043642576187,condiHistory,71,34,662
54,*AAA**,Apuesto,EM,-1.3191998138899768,condiHistory,71,18,368
55,*AAB**,Apuesto,EM,1.4189855268899991,condiHistory,71,3,21
56,*AA***,Apuesto,EM,-1.0021681752259206,condiHistory,71,21,393
57,*ABA**,Apuesto,EM,4.174533745880349,condiHistory,71,7,26
58,*ABB**,Apuesto,EM,-0.33158023816912024,condiHistory,71,2,38
59,*AB***,Apuesto,EM,2.4052538958897465,condiHistory,71,9,64
60,*A*A**,Apuesto,EM,-0.20255546507244818,condiHistory,71,25,394
61,*A*B**,Apuesto,EM,0.5804616746114856,condiHistory,71,5,59
62,*A****,Apuesto,EM,-0.029244632342639954,condiHistory,71,30,457
63,*BAA**,Apuesto,EM,0.7283178941631195,condiHistory,71,20,259
64,*BAB**,Apuesto,EM,1.2760509097731296,condiHistory,71,2,13
65,*BA***,Apuesto,EM,0.989668692827482,condiHistory,71,22,272
66,*BBA**,Apuesto,EM,0.2842027345578501,condiHistory,71,12,168
67,*BBB**,Apuesto,EM,-1.6891582914000116,condiHistory,71,6,175
68,*BB***,Apuesto,EM,-0.8164704860926443,condiHistory,71,19,345
69,*B*A**,Apuesto,EM,0.7454932178497856,condiHistory,71,32,427
70,*B*B**,Apuesto,EM,-1.2941577332388148,condiHistory,71,8,188
71,*B****,Apuesto,EM,0.046569727015174624,condiHistory,71,41,617
72,**AA**,Apuesto,EM,-0.5425515300177267,condiHistory,71,38,627
73,**AB**,Apuesto,EM,1.9042303508155234,condiHistory,71,5,34
74,**A***,Apuesto,EM,-0.13747602016165317,condiHistory,71,43,665
75,**BA**,Apuesto,EM,1.7927212388380738,condiHistory,71,19,194
76,**BB**,Apuesto,EM,-1.6711383784383178,condiHistory,71,8,213
77,**B***,Apuesto,EM,0.20158305400039303,condiHistory,71,28,409
78,***A**,Apuesto,EM,0.3973128728658043,condiHistory,71,57,821
79,***B**,Apuesto,EM,-0.8453670523730438,condiHistory,71,13,247
80,******,Apuesto,EM,0.0,condiHistory,71,71,1076
81,AAAA**,Apuesto,E,-0.29062159357645995,condiHistory,52,13,291
82,AAAB**,Apuesto,E,-0.9291292967074066,condiHistory,52,0,17
83,AAA***,Apuesto,E,-0.2722750934305177,condiHistory,52,14,311
84,AABA**,Apuesto,E,-1.0077822185373186,condiHistory,52,0,20
85,AABB**,Apuesto,E,1.5212174611483273,condiHistory,52,3,27
86,AAB***,Apuesto,E,0.49558195386342485,condiHistory,52,3,47
87,AA*A**,Apuesto,E,-0.536686646256544,condiHistory,52,13,311
88,AA*B**,Apuesto,E,0.6141152260989571,condiHistory,52,3,44
89,AA****,Apuesto,E,-0.07420819133893751,condiHistory,52,17,358
90,ABAA**,Apuesto,E,0.7996706553646207,condiHistory,52,2,24
91,ABAB**,Apuesto,E,-0.3186887195995491,condiHistory,52,0,2
92,ABA***,Apuesto,E,0.6799103665255265,condiHistory,52,2,26
93,ABBA**,Apuesto,E,0.878275310689946,condiHistory,52,1,9
94,ABBB**,Apuesto,E,1.2420688558751654,condiHistory,52,2,18
95,ABB***,Apuesto,E,1.4512193208369053,condiHistory,52,3,28
96,AB*A**,Apuesto,E,1.1406257483951947,condiHistory,52,3,33
97,AB*B**,Apuesto,E,1.0775517567437485,condiHistory,52,2,20
98,AB****,Apuesto,E,1.5167794436561977,condiHistory,52,5,54
99,A*AA**,Apuesto,E,-0.05860090386731239,condiHistory,52,15,315
100,A*AB**,Apuesto,E,-0.982264602843857,condiHistory,52,0,19
101,A*A***,Apuesto,E,-0.07270832100203813,condiHistory,52,16,337
102,A*BA**,Apuesto,E,-0.3476426867716082,condiHistory,52,1,29
103,A*BB**,Apuesto,E,1.963883297662467,condiHistory,52,5,45
104,A*B***,Apuesto,E,1.2790236285181333,condiHistory,52,6,75
105,A**A**,Apuesto,E,-0.15701400869557736,condiHistory,52,16,344
106,A**B**,Apuesto,E,1.1115671900919628,condiHistory,52,5,64
107,A*****,Apuesto,E,0.4799500582759972,condiHistory,52,22,412
108,BAAA**,Apuesto,E,0.14815770497836264,condiHistory,52,4,77
109,BAAB**,Apuesto,E,-0.45069390943299864,condiHistory,52,0,4
110,BAA***,Apuesto,E,0.019142621619740223,condiHistory,52,4,82
