,cat,class,classcat,epsilon,feat,nc,ncx,nx
0,AAAA**,Apuesto,EM,-1.3651379503245062,ejerHistory,71,9,211
1,AAAB**,Apuesto,EM,-0.44374926047737034,ejerHistory,71,2,41
2,AAA***,Apuesto,EM,-1.1887893416898228,ejerHistory,71,12,253
3,AABA**,Apuesto,EM,3.0472801200377875,ejerHistory,71,5,22
4,AABB**,Apuesto,EM,0.44120832998533394,ejerHistory,71,4,49
5,AAB***,Apuesto,EM,2.0628008612962283,ejerHistory,71,9,71
6,AA*A**,Apuesto,EM,-0.3627254333627218,ejerHistory,71,14,233
7,AA*B**,Apuesto,EM,0.02604416724733246,ejerHistory,71,6,90
8,AA****,Apuesto,EM,-0.08485461215071537,ejerHistory,71,21,324
9,ABAA**,Apuesto,EM,3.414153560968517,ejerHistory,71,8,40
10,ABAB**,Apuesto,EM,1.2760509097731296,ejerHistory,71,2,13
11,ABA***,Apuesto,EM,3.598004762583099,ejerHistory,71,10,53
12,ABBA**,Apuesto,EM,0.24207235212026482,ejerHistory,71,1,12
13,ABBB**,Apuesto,EM,1.2779339811716377,ejerHistory,71,4,33
14,ABB***,Apuesto,EM,1.1668468601037951,ejerHistory,71,5,46
15,AB*A**,Apuesto,EM,3.1106985562899077,ejerHistory,71,9,52
16,AB*B**,Apuesto,EM,1.7607575608945634,ejerHistory,71,6,46
17,AB****,Apuesto,EM,3.427963934694612,ejerHistory,71,15,99
18,A*AA**,Apuesto,EM,0.11129402294802558,ejerHistory,71,17,251
19,A*AB**,Apuesto,EM,0.23943562740877364,ejerHistory,71,4,54
20,A*A***,Apuesto,EM,0.4164567613718816,ejerHistory,71,22,306
21,A*BA**,Apuesto,EM,2.59504351921657,ejerHistory,71,6,34
22,A*BB**,Apuesto,EM,1.1517599708655584,ejerHistory,71,8,82
23,A*B***,Apuesto,EM,2.338561431336327,ejerHistory,71,14,117
24,A**A**,Apuesto,EM,1.0007617509103999,ejerHistory,71,23,285
25,A**B**,Apuesto,EM,1.045208028026862,ejerHistory,71,12,136
26,A*****,Apuesto,EM,1.5693373034767804,ejerHistory,71,36,424
27,BAAA**,Apuesto,EM,-0.9064745042789208,ejerHistory,71,3,75
28,BAAB**,Apuesto,EM,0.16930655579839943,ejerHistory,71,2,27
29,BAA***,Apuesto,EM,-0.7130188911097572,ejerHistory,71,5,103
30,BABA**,Apuesto,EM,2.393244383260426,ejerHistory,71,3,13
31,BABB**,Apuesto,EM,0.2822663715954659,ejerHistory,71,2,25
32,BAB***,Apuesto,EM,1.6287512797977655,ejerHistory,71,5,38
33,BA*A**,Apuesto,EM,0.08300605879620968,ejerHistory,71,6,88
34,BA*B**,Apuesto,EM,0.3177148725716661,ejerHistory,71,4,52
35,BA****,Apuesto,EM,0.23613483309231645,ejerHistory,71,10,141
36,BBAA**,Apuesto,EM,-0.08940134438804466,ejerHistory,71,8,125
37,BBAB**,Apuesto,EM,-0.7203901703411261,ejerHistory,71,1,30
38,BBA***,Apuesto,EM,-0.41721962736777835,ejerHistory,71,9,156
39,BBBA**,Apuesto,EM,-0.08417446438118287,ejerHistory,71,6,94
40,BBBB**,Apuesto,EM,-1.748352771124098,ejerHistory,71,10,257
41,BBB***,Apuesto,EM,-1.5635223534846152,ejerHistory,71,16,353
42,BB*A**,Apuesto,EM,-0.12268952242287025,ejerHistory,71,14,219
43,BB*B**,Apuesto,EM,-1.8873635710666115,ejerHistory,71,11,287
44,BB****,Apuesto,EM,-1.5330413558980358,ejerHistory,71,25,509
45,B*AA**,Apuesto,EM,-0.6257779686182541,ejerHistory,71,11,200
46,B*AB**,Apuesto,EM,-0.4061011961524317,ejerHistory,71,3,57
47,B*A***,Apuesto,EM,-0.7734452245584075,ejerHistory,71,14,259
48,B*BA**,Apuesto,EM,0.7262170563607944,ejerHistory,71,9,108
49,B*BB**,Apuesto,EM,-1.5850130465560028,ejerHistory,71,12,282
50,B*B***,Apuesto,EM,-0.9900209825009604,ejerHistory,71,21,392
51,B**A**,Apuesto,EM,-0.07423208866659231,ejerHistory,71,20,308
52,B**B**,Apuesto,EM,-1.6121533999479556,ejerHistory,71,15,339
53,B*****,Apuesto,EM,-1.2560930062555018,ejerHistory,71,35,651
54,*AAA**,Apuesto,EM,-1.6367570658328257,ejerHistory,71,12,286
55,*AAB**,Apuesto,EM,-0.23788366745027564,ejerHistory,71,4,68
56,*AA***,Apuesto,EM,-1.3856930108290169,ejerHistory,71,17,356
57,*ABA**,Apuesto,EM,3.8745211150911834,ejerHistory,71,8,35
58,*ABB**,Apuesto,EM,0.5230899818580845,ejerHistory,71,6,74
59,*AB***,Apuesto,EM,2.6265288459351632,ejerHistory,71,14,109
60,*A*A**,Apuesto,EM,-0.2655711101974756,ejerHistory,71,20,321
61,*A*B**,Apuesto,EM,0.2129969165587528,ejerHistory,71,10,142
62,*A****,Apuesto,EM,0.059199180844301334,ejerHistory,71,31,465
63,*BAA**,Apuesto,EM,1.6031991266562575,ejerHistory,71,16,165
64,*BAB**,Apuesto,EM,0.09990601022843555,ejerHistory,71,3,43
65,*BA***,Apuesto,EM,1.4514105268895563,ejerHistory,71,19,209
66,*BBA**,Apuesto,EM,0.00218165519482386,ejerHistory,71,7,106
67,*BBB**,Apuesto,EM,-1.2147857152950055,ejerHistory,71,14,290
68,*BB***,Apuesto,EM,-1.0744427721451946,ejerHistory,71,21,399
69,*B*A**,Apuesto,EM,1.2523283892959785,ejerHistory,71,23,271
70,*B*B**,Apuesto,EM,-1.0977428801199398,ejerHistory,71,17,333
71,*B****,Apuesto,EM,-0.01943327403189061,ejerHistory,71,40,608
72,**AA**,Apuesto,EM,-0.33369533688059944,ejerHistory,71,28,451
73,**AB**,Apuesto,EM,-0.12400857938014237,ejerHistory,71,7,111
74,**A***,Apuesto,EM,-0.21718400475928923,ejerHistory,71,36,565
75,**BA**,Apuesto,EM,1.9031494402845495,ejerHistory,71,15,142
76,**BB**,Apuesto,EM,-0.848443229172692,ejerHistory,71,20,364
77,**B***,Apuesto,EM,0.25238184893613086,ejerHistory,71,35,509
78,***A**,Apuesto,EM,0.640288134577596,ejerHistory,71,43,593
79,***B**,Apuesto,EM,-0.8026695186566828,ejerHistory,71,27,475
80,******,Apuesto,EM,0.0,ejerHistory,71,71,1076
81,AAAA**,Apuesto,E,0.8997844001896477,ejerHistory,52,13,211
82,AAAB**,Apuesto,E,-0.7146943350099465,ejerHistory,52,1,41
83,AAA***,Apuesto,E,0.519836128565994,ejerHistory,52,14,253
84,AABA**,Apuesto,E,-0.06282694207384007,ejerHistory,52,1,22
85,AABB**,Apuesto,E,1.08711333099498,ejerHistory,52,4,49
86,AAB***,Apuesto,E,0.8681436996298101,ejerHistory,52,5,71
87,AA*A**,Apuesto,E,0.8369468295301367,ejerHistory,52,14,233
88,AA*B**,Apuesto,E,0.3197607362056874,ejerHistory,52,5,90
89,AA****,Apuesto,E,0.8657560354279178,ejerHistory,52,19,324
90,ABAA**,Apuesto,E,-0.687942383893951,ejerHistory,52,1,40
91,ABAB**,Apuesto,E,0.4807692307692308,ejerHistory,52,1,13
92,ABA***,Apuesto,E,-0.359540115567745,ejerHistory,52,2,53
93,ABBA**,Apuesto,E,-0.7806247497997999,ejerHistory,52,0,12
94,ABBB**,Apuesto,E,-0.48280454958526764,ejerHistory,52,1,33
95,ABB***,Apuesto,E,-0.8408631556751113,ejerHistory,52,1,46
