cat,class,classcat,epsilon,feat,nc,ncx,nx
AAAA**,obesity,1,-3.320420889561804,ejerHistory,228,25,211
AAAB**,obesity,1,-2.555841259002521,ejerHistory,228,2,41
AAA***,obesity,1,-4.093794848535762,ejerHistory,228,27,253
AABA**,obesity,1,-2.43209669619089,ejerHistory,228,0,22
AABB**,obesity,1,-1.5321821792818526,ejerHistory,228,6,49
AAB***,obesity,1,-2.626682473489659,ejerHistory,228,6,71
AA*A**,obesity,1,-3.9071098888687845,ejerHistory,228,25,233
AA*B**,obesity,1,-2.8556046494327996,ejerHistory,228,8,90
AA****,obesity,1,-4.847145178138051,ejerHistory,228,33,324
ABAA**,obesity,1,-0.5710250398714681,ejerHistory,228,7,40
ABAB**,obesity,1,0.16652019128125747,ejerHistory,228,3,13
ABA***,obesity,1,-0.41360397187597076,ejerHistory,228,10,53
ABBA**,obesity,1,-1.0898133293343775,ejerHistory,228,1,12
ABBB**,obesity,1,1.2811093279686714,ejerHistory,228,10,33
ABB***,obesity,1,0.8128087122299527,ejerHistory,228,12,46
AB*A**,obesity,1,-1.024351479699855,ejerHistory,228,8,52
AB*B**,obesity,1,1.1736099392759214,ejerHistory,228,13,46
AB****,obesity,1,0.25142574069853457,ejerHistory,228,22,99
A*AA**,obesity,1,-3.2723250575262504,ejerHistory,228,32,251
A*AB**,obesity,1,-2.145340959402248,ejerHistory,228,5,54
A*A***,obesity,1,-3.8945542610523813,ejerHistory,228,37,306
A*BA**,obesity,1,-2.603823365614805,ejerHistory,228,1,34
A*BB**,obesity,1,-0.37169732839049824,ejerHistory,228,16,82
A*B***,obesity,1,-1.5365272195497823,ejerHistory,228,18,117
A**A**,obesity,1,-3.9702863340636427,ejerHistory,228,33,285
A**B**,obesity,1,-1.6404555236332936,ejerHistory,228,21,136
A*****,obesity,1,-4.022017560679123,ejerHistory,228,56,424
BAAA**,obesity,1,0.5955895496217756,ejerHistory,228,18,75
BAAB**,obesity,1,0.6022422253671098,ejerHistory,228,7,27
BAA***,obesity,1,0.7654800913682678,ejerHistory,228,25,103
BABA**,obesity,1,0.16652019128125747,ejerHistory,228,3,13
BABB**,obesity,1,-0.14555080922779232,ejerHistory,228,5,25
BAB***,obesity,1,-0.020660026729706894,ejerHistory,228,8,38
BA*A**,obesity,1,0.613842587196505,ejerHistory,228,21,88
BA*B**,obesity,1,0.33304038256251495,ejerHistory,228,12,52
BA****,obesity,1,0.6435234414208533,ejerHistory,228,33,141
BBAA**,obesity,1,1.6443942470069466,ejerHistory,228,34,125
BBAB**,obesity,1,-0.6062152799828224,ejerHistory,228,5,30
BBA***,obesity,1,1.1646107813751911,ejerHistory,228,39,156
BBBA**,obesity,1,3.554190365104434,ejerHistory,228,34,94
BBBB**,obesity,1,1.4566457588880013,ejerHistory,228,64,257
BBB***,obesity,1,3.0217704617185137,ejerHistory,228,98,353
BB*A**,obesity,1,3.5708693509939677,ejerHistory,228,68,219
BB*B**,obesity,1,1.182417933523174,ejerHistory,228,69,287
BB****,obesity,1,3.1611988349944147,ejerHistory,228,137,509
B*AA**,obesity,1,1.664730421131716,ejerHistory,228,52,200
B*AB**,obesity,1,-0.025303261780021662,ejerHistory,228,12,57
B*A***,obesity,1,1.3865716230072038,ejerHistory,228,64,259
B*BA**,obesity,1,3.559181523753879,ejerHistory,228,38,108
B*BB**,obesity,1,1.3472428046932345,ejerHistory,228,69,282
B*B***,obesity,1,2.9584895069737014,ejerHistory,228,107,392
B**A**,obesity,1,3.4490705668605997,ejerHistory,228,90,308
B**B**,obesity,1,1.218394317617362,ejerHistory,228,81,339
B*****,obesity,1,3.1703236571559232,ejerHistory,228,171,651
*AAA**,obesity,1,-2.5470156206961323,ejerHistory,228,43,286
*AAB**,obesity,1,-1.605104006057275,ejerHistory,228,9,68
*AA***,obesity,1,-3.0393859195290043,ejerHistory,228,52,356
*ABA**,obesity,1,-1.8267413526160061,ejerHistory,228,3,35
*ABB**,obesity,1,-1.3313876127180364,ejerHistory,228,11,74
*AB***,obesity,1,-2.1321382535347024,ejerHistory,228,14,109
*A*A**,obesity,1,-3.0073491914665866,ejerHistory,228,46,321
*A*B**,obesity,1,-2.071859556195255,ejerHistory,228,20,142
*A****,obesity,1,-3.691695303869584,ejerHistory,228,66,465
*BAA**,obesity,1,1.1501081857527717,ejerHistory,228,41,165
*BAB**,obesity,1,-0.4147931753174764,ejerHistory,228,8,43
*BA***,obesity,1,0.7978858297644368,ejerHistory,228,49,209
*BBA**,obesity,1,2.980286738174579,ejerHistory,228,35,106
*BBB**,obesity,1,1.803424978865559,ejerHistory,228,74,290
*BB***,obesity,1,3.11823270124169,ejerHistory,228,110,399
*B*A**,obesity,1,2.7613365773105523,ejerHistory,228,76,271
*B*B**,obesity,1,1.5339105031195723,ejerHistory,228,82,333
*B****,obesity,1,2.993859230563776,ejerHistory,228,159,608
**AA**,obesity,1,-1.3326201687160983,ejerHistory,228,84,451
**AB**,obesity,1,-1.51447720624611,ejerHistory,228,17,111
**A***,obesity,1,-1.927330256177922,ejerHistory,228,101,565
**BA**,obesity,1,1.829862695725877,ejerHistory,228,39,142
**BB**,obesity,1,1.0094035037739786,ejerHistory,228,85,364
**B***,obesity,1,1.859623600381919,ejerHistory,228,125,509
***A**,obesity,1,-0.266726095039615,ejerHistory,228,123,593
***B**,obesity,1,0.1515145924293099,ejerHistory,228,102,475
******,obesity,1,0.0,ejerHistory,228,228,1076
