,cat,class,classcat,epsilon,feat,nc,ncx,nx
0,AAAA**,AedadC,0,-3.515738731013221,estresHistory,150,2,103
1,AAAB**,AedadC,0,-0.6852617776382426,estresHistory,150,14,119
2,AAA***,AedadC,0,-2.896452790780956,estresHistory,150,16,222
3,AABA**,AedadC,0,-0.5607855575571422,estresHistory,150,1,12
4,AABB**,AedadC,0,1.304777384641739,estresHistory,150,31,179
5,AAB***,AedadC,0,1.122561855436265,estresHistory,150,32,191
6,AA*A**,AedadC,0,-3.5306203994700134,estresHistory,150,3,116
7,AA*B**,AedadC,0,0.5782074524927849,estresHistory,150,45,298
8,AA****,AedadC,0,-1.3783138101367547,estresHistory,150,48,414
9,ABAA**,AedadC,0,-0.6971091185102596,estresHistory,150,0,3
10,ABAB**,AedadC,0,1.2766137960298043,estresHistory,150,3,11
11,ABA***,AedadC,0,0.6775511744159874,estresHistory,150,3,15
12,ABBA**,AedadC,0,-0.40247613722644116,estresHistory,150,0,1
13,ABBB**,AedadC,0,4.18203505851177,estresHistory,150,23,75
14,ABB***,AedadC,0,4.108263385840837,estresHistory,150,23,76
15,AB*A**,AedadC,0,-0.8049522744528823,estresHistory,150,0,4
16,AB*B**,AedadC,0,4.362001195666314,estresHistory,150,26,86
17,AB****,AedadC,0,3.965597827743647,estresHistory,150,26,92
18,A*AA**,AedadC,0,-3.582906442712509,estresHistory,150,2,106
19,A*AB**,AedadC,0,-0.284278578580582,estresHistory,150,17,130
20,A*A***,AedadC,0,-2.6328382845803913,estresHistory,150,19,237
21,A*BA**,AedadC,0,-0.6504121322208292,estresHistory,150,1,13
22,A*BB**,AedadC,0,3.367819945734121,estresHistory,150,54,254
23,A*B***,AedadC,0,3.141291335940798,estresHistory,150,55,267
24,A**A**,AedadC,0,-3.618241521272938,estresHistory,150,3,120
25,A**B**,AedadC,0,2.573645353961451,estresHistory,150,71,384
26,A*****,AedadC,0,0.44420484487309586,estresHistory,150,74,506
27,BAAA**,AedadC,0,-0.8133385263439358,estresHistory,150,1,15
28,BAAB**,AedadC,0,-1.0759833356904942,estresHistory,150,3,38
29,BAA***,AedadC,0,-1.3437782475310303,estresHistory,150,4,53
30,BABA**,AedadC,0,-1.0648517677390688,estresHistory,150,0,7
31,BABB**,AedadC,0,2.3905574252109747,estresHistory,150,18,77
32,BAB***,AedadC,0,1.9813882541695818,estresHistory,150,18,84
33,BA*A**,AedadC,0,-1.2722495901234725,estresHistory,150,1,22
34,BA*B**,AedadC,0,1.3376081658023575,estresHistory,150,21,115
35,BA****,AedadC,0,0.924591374858733,estresHistory,150,23,138
36,BBAA**,AedadC,0,-2.2408922937388644,estresHistory,150,0,31
37,BBAB**,AedadC,0,-0.6076346021941464,estresHistory,150,4,38
38,BBA***,AedadC,0,-1.9870613050046433,estresHistory,150,4,70
39,BBBA**,AedadC,0,-0.8614206193377019,estresHistory,150,3,34
40,BBBB**,AedadC,0,-0.5609547750113831,estresHistory,150,41,319
41,BBB***,AedadC,0,-0.29099445956689746,estresHistory,150,48,358
42,BB*A**,AedadC,0,-2.1705659869654714,estresHistory,150,3,65
43,BB*B**,AedadC,0,-0.728504324571439,estresHistory,150,45,357
44,BB****,AedadC,0,-1.0697336192788958,estresHistory,150,52,428
45,B*AA**,AedadC,0,-2.3040469661987544,estresHistory,150,1,46
46,B*AB**,AedadC,0,-1.1904976608055409,estresHistory,150,7,76
47,B*A***,AedadC,0,-2.381111223545349,estresHistory,150,8,123
48,B*BA**,AedadC,0,-1.2244390179620184,estresHistory,150,3,41
49,B*BB**,AedadC,0,0.5506644215236282,estresHistory,150,59,396
50,B*B***,AedadC,0,0.6018822542486505,estresHistory,150,66,442
51,B**A**,AedadC,0,-2.5159309856479406,estresHistory,150,4,87
52,B**B**,AedadC,0,0.026676670769309508,estresHistory,150,66,472
53,B*****,AedadC,0,-0.4736853486150438,estresHistory,150,75,566
54,*AAA**,AedadC,0,-3.574673883087613,estresHistory,150,3,118
55,*AAB**,AedadC,0,-1.1259513674516162,estresHistory,150,17,157
56,*AA***,AedadC,0,-3.192343497549815,estresHistory,150,20,275
57,*ABA**,AedadC,0,-1.092007678525868,estresHistory,150,1,19
58,*ABB**,AedadC,0,2.402111745679809,estresHistory,150,49,256
59,*AB***,AedadC,0,2.0306087630131864,estresHistory,150,50,275
60,*A*A**,AedadC,0,-3.7449605193141786,estresHistory,150,4,138
61,*A*B**,AedadC,0,1.1969873646223388,estresHistory,150,66,413
62,*A****,AedadC,0,-0.7313590865359855,estresHistory,150,71,552
63,*BAA**,AedadC,0,-2.346818994990534,estresHistory,150,0,34
64,*BAB**,AedadC,0,0.06976253045258288,estresHistory,150,7,49
65,*BA***,AedadC,0,-1.5186003269292572,estresHistory,150,7,85
66,*BBA**,AedadC,0,-0.9170563157905731,estresHistory,150,3,35
67,*BBB**,AedadC,0,1.2979394929989252,estresHistory,150,64,395
68,*BB***,AedadC,0,1.4339146021592473,estresHistory,150,71,435
69,*B*A**,AedadC,0,-2.3005215248543025,estresHistory,150,3,69
70,*B*B**,AedadC,0,1.2474012316519874,estresHistory,150,71,444
71,*B****,AedadC,0,0.6792154450228258,estresHistory,150,78,521
72,**AA**,AedadC,0,-4.259535972114552,estresHistory,150,3,152
73,**AB**,AedadC,0,-0.9489359071224418,estresHistory,150,24,206
74,**A***,AedadC,0,-3.5280388766756494,estresHistory,150,27,360
75,**BA**,AedadC,0,-1.3860477780574123,estresHistory,150,4,54
76,**BB**,AedadC,0,2.5173653232616355,estresHistory,150,113,651
77,**B***,AedadC,0,2.3861335325113306,estresHistory,150,121,710
78,***A**,AedadC,0,-4.385954181380508,estresHistory,150,7,207
79,***B**,AedadC,0,1.7288057832315118,estresHistory,150,137,857
80,******,AedadC,0,0.0,estresHistory,150,150,1076
81,AAAA**,AedadC,1,-1.6374072583504848,estresHistory,342,25,103
82,AAAB**,AedadC,1,3.1846698438683823,estresHistory,342,54,119
83,AAA***,AedadC,1,1.2163212053760168,estresHistory,342,79,222
84,AABA**,AedadC,1,0.7351889456988616,estresHistory,342,5,12
85,AABB**,AedadC,1,3.5484101763430593,estresHistory,342,79,179
86,AAB***,AedadC,1,3.619411475758018,estresHistory,342,84,191
87,AA*A**,AedadC,1,-1.3698464248813724,estresHistory,342,30,116
88,AA*B**,AedadC,1,4.76259513275392,estresHistory,342,133,298
89,AA****,AedadC,1,3.315548969942237,estresHistory,342,163,414
90,ABAA**,AedadC,1,0.05761668853439338,estresHistory,342,1,3
91,ABAB**,AedadC,1,-0.9688765629140871,estresHistory,342,2,11
92,ABA***,AedadC,1,-0.9801754033877698,estresHistory,342,3,15
93,ABBA**,AedadC,1,1.4649910683718714,estresHistory,342,1,1
94,ABBB**,AedadC,1,-0.7038454671361515,estresHistory,342,21,75
95,ABB***,AedadC,1,-0.5311535711643699,estresHistory,342,22,76
96,AB*A**,AedadC,1,0.7823930501386559,estresHistory,342,2,4
97,AB*B**,AedadC,1,-1.003802407944747,estresHistory,342,23,86
98,AB****,AedadC,1,-0.725807546812525,estresHistory,342,26,92
99,A*AA**,AedadC,1,-1.6043771439719814,estresHistory,342,26,106
100,A*AB**,AedadC,1,2.765122435157342,estresHistory,342,56,130
101,A*A***,AedadC,1,0.9306110350020529,estresHistory,342,82,237
102,A*BA**,AedadC,1,1.1126621079830454,estresHistory,342,6,13
103,A*BB**,AedadC,1,2.5963501308648396,estresHistory,342,100,254
104,A*B***,AedadC,1,2.7778701532415067,estresHistory,342,106,267
105,A**A**,AedadC,1,-1.2039773819703115,estresHistory,342,32,120
106,A**B**,AedadC,1,3.7204819250437393,estresHistory,342,156,384
107,A*****,AedadC,1,2.689541505988631,estresHistory,342,189,506
