cat,class,classcat,epsilon,feat,nc,ncx,nx
AAAA**,hdegree,1,2.592752866168341,estresHistory,638,74,103
AAAB**,hdegree,1,3.25424942422293,estresHistory,638,88,119
AAA***,hdegree,1,4.148632884983548,estresHistory,638,162,222
AABA**,hdegree,1,-0.6553046178879526,estresHistory,638,6,12
AABB**,hdegree,1,2.109291937939699,estresHistory,638,120,179
AAB***,hdegree,1,1.8777022223694981,estresHistory,638,126,191
AA*A**,hdegree,1,2.1203269702338448,estresHistory,638,80,116
AA*B**,hdegree,1,3.6912047158772188,estresHistory,638,208,298
AA****,hdegree,1,4.254029391388445,estresHistory,638,288,414
ABAA**,hdegree,1,-2.0904217310625692,estresHistory,638,0,3
ABAB**,hdegree,1,2.134322515931228,estresHistory,638,10,11
ABA***,hdegree,1,0.5812379163882382,estresHistory,638,10,15
ABBA**,hdegree,1,0.8285652516100036,estresHistory,638,1,1
ABBB**,hdegree,1,-2.4608872750418924,estresHistory,638,34,75
ABB***,hdegree,1,-2.34960066453308,estresHistory,638,35,76
AB*A**,hdegree,1,-1.3960756979182252,estresHistory,638,1,4
AB*B**,hdegree,1,-1.5348013292032003,estresHistory,638,44,86
AB****,hdegree,1,-2.0266688261514143,estresHistory,638,45,92
A*AA**,hdegree,1,2.2041245397926286,estresHistory,638,74,106
A*AB**,hdegree,1,3.7343742153814614,estresHistory,638,98,130
A*A***,hdegree,1,4.1614275347380785,estresHistory,638,172,237
A*BA**,hdegree,1,-0.3997936580273381,estresHistory,638,7,13
A*BB**,hdegree,1,0.43347745603139043,estresHistory,638,154,254
A*B***,hdegree,1,0.3345760252549465,estresHistory,638,161,267
A**A**,hdegree,1,1.8298013007632379,estresHistory,638,81,120
A**B**,hdegree,1,2.5253683478302995,estresHistory,638,252,384
A*****,hdegree,1,2.983739873910436,estresHistory,638,333,506
BAAA**,hdegree,1,1.6323505181256244,estresHistory,638,12,15
BAAB**,hdegree,1,1.145255647767013,estresHistory,638,26,38
BAA***,hdegree,1,1.838144825760367,estresHistory,638,38,53
BABA**,hdegree,1,1.4228419522152518,estresHistory,638,6,7
BABB**,hdegree,1,-0.6161259024136553,estresHistory,638,43,77
BAB***,hdegree,1,-0.1791565486987843,estresHistory,638,49,84
BA*A**,hdegree,1,2.1504601828227923,estresHistory,638,18,22
BA*B**,hdegree,1,0.154175412066829,estresHistory,638,69,115
BA****,hdegree,1,0.8966279831754822,estresHistory,638,87,138
BBAA**,hdegree,1,-0.8704641388610741,estresHistory,638,16,31
BBAB**,hdegree,1,1.47545261373628,estresHistory,638,27,38
BBA***,hdegree,1,0.3635713307367134,estresHistory,638,43,70
BBBA**,hdegree,1,-0.05580095012805951,estresHistory,638,20,34
BBBB**,hdegree,1,-4.119456049446645,estresHistory,638,153,319
BBB***,hdegree,1,-4.009579082623959,estresHistory,638,175,358
BB*A**,hdegree,1,-0.6414967157862274,estresHistory,638,36,65
BB*B**,hdegree,1,-3.4126719039791786,estresHistory,638,180,357
BB****,hdegree,1,-3.5200296896105563,estresHistory,638,218,428
B*AA**,hdegree,1,0.2175546108892606,estresHistory,638,28,46
B*AB**,hdegree,1,1.8531205832205855,estresHistory,638,53,76
B*A***,hdegree,1,1.4808798750780339,estresHistory,638,81,123
B*BA**,hdegree,1,0.5370992623448834,estresHistory,638,26,41
B*BB**,hdegree,1,-3.9690109426848643,estresHistory,638,196,396
B*B***,hdegree,1,-3.6866222065859295,estresHistory,638,224,442
B**A**,hdegree,1,0.5269047646778864,estresHistory,638,54,87
B**B**,hdegree,1,-2.8918558126158804,estresHistory,638,249,472
B*****,hdegree,1,-2.618241744671935,estresHistory,638,305,566
*AAA**,hdegree,1,3.0043536359899563,estresHistory,638,86,118
*AAB**,hdegree,1,3.396617881547856,estresHistory,638,114,157
*AA***,hdegree,1,4.534437199800445,estresHistory,638,200,275
*ABA**,hdegree,1,0.34284900720006156,estresHistory,638,12,19
*ABB**,hdegree,1,1.425869996349408,estresHistory,638,163,256
*AB***,hdegree,1,1.465849509872597,estresHistory,638,175,275
*A*A**,hdegree,1,2.802606576721638,estresHistory,638,98,138
*A*B**,hdegree,1,3.216815701017178,estresHistory,638,277,413
*A****,hdegree,1,4.132411512975791,estresHistory,638,375,552
*BAA**,hdegree,1,-1.4521223998441695,estresHistory,638,16,34
*BAB**,hdegree,1,2.3105782456834736,estresHistory,638,37,49
*BA***,hdegree,1,0.5741043700246103,estresHistory,638,53,85
*BBA**,hdegree,1,0.08505507264524853,estresHistory,638,21,35
*BBB**,hdegree,1,-4.835046679715303,estresHistory,638,187,395
*BB***,hdegree,1,-4.677406429765256,estresHistory,638,210,435
*B*A**,hdegree,1,-0.9587605499684075,estresHistory,638,37,69
*B*B**,hdegree,1,-3.792864037054135,estresHistory,638,224,444
*B****,hdegree,1,-4.0949499462915115,estresHistory,638,263,521
**AA**,hdegree,1,1.9603143295647578,estresHistory,638,102,152
**AB**,hdegree,1,4.092160179171563,estresHistory,638,151,206
**A***,hdegree,1,4.242096127538322,estresHistory,638,253,360
**BA**,hdegree,1,0.27184393224350734,estresHistory,638,33,54
**BB**,hdegree,1,-2.8720983396853237,estresHistory,638,350,651
**B***,hdegree,1,-2.7488989770109997,estresHistory,638,385,710
***A**,hdegree,1,1.7347780259661212,estresHistory,638,135,207
***B**,hdegree,1,-0.4969223544010268,estresHistory,638,501,857
******,hdegree,1,0.0,estresHistory,638,638,1076
