,cat,class,classcat,epsilon,feat,nc,ncx,nx
0,AAAA**,Apuesto,EM,-1.1099192153902016,estresHistory,71,4,103
1,AAAB**,Apuesto,EM,1.5315853406444944,estresHistory,71,12,119
2,AAA***,Apuesto,EM,0.3653219053492334,estresHistory,71,16,222
3,AABA**,Apuesto,EM,2.5676960207042385,estresHistory,71,3,12
4,AABB**,Apuesto,EM,0.9600237945583189,estresHistory,71,15,179
5,AAB***,Apuesto,EM,1.5729790454284862,estresHistory,71,18,191
6,AA*A**,Apuesto,EM,-0.24469858572890146,estresHistory,71,7,116
7,AA*B**,Apuesto,EM,1.7118936649618546,estresHistory,71,27,298
8,AA****,Apuesto,EM,1.3228680107452362,estresHistory,71,34,414
9,ABAA**,Apuesto,EM,-0.460369741085861,estresHistory,71,0,3
10,ABAB**,Apuesto,EM,0.33297641117382626,estresHistory,71,1,11
11,ABA***,Apuesto,EM,0.01063248675527841,estresHistory,71,1,15
12,ABBA**,Apuesto,EM,-0.2657945939426802,estresHistory,71,0,1
13,ABBB**,Apuesto,EM,-0.9064745042789208,estresHistory,71,3,75
14,ABB***,Apuesto,EM,-0.9309798397430386,estresHistory,71,3,76
15,AB*A**,Apuesto,EM,-0.5315891878853604,estresHistory,71,0,4
16,AB*B**,Apuesto,EM,-0.727433597711444,estresHistory,71,4,86
17,AB****,Apuesto,EM,-0.8695790489191918,estresHistory,71,4,92
18,A*AA**,Apuesto,EM,-1.171548839620526,estresHistory,71,4,106
19,A*AB**,Apuesto,EM,1.5622141109067496,estresHistory,71,13,130
20,A*A***,Apuesto,EM,0.3562470251523646,estresHistory,71,17,237
21,A*BA**,Apuesto,EM,2.393244383260426,estresHistory,71,3,13
22,A*BB**,Apuesto,EM,0.3133478838012131,estresHistory,71,18,254
23,A*B***,Apuesto,EM,0.8337084814486171,estresHistory,71,21,267
24,A**A**,Apuesto,EM,-0.3376401747139624,estresHistory,71,7,120
25,A**B**,Apuesto,EM,1.1638099804581787,estresHistory,71,31,384
26,A*****,Apuesto,EM,0.8257893855413182,estresHistory,71,38,506
27,BAAA**,Apuesto,EM,0.01063248675527841,estresHistory,71,1,15
28,BAAB**,Apuesto,EM,0.9753074404754701,estresHistory,71,4,38
29,BAA***,Apuesto,EM,0.8314954553518467,estresHistory,71,5,53
30,BABA**,Apuesto,EM,-0.7032263953977265,estresHistory,71,0,7
31,BABB**,Apuesto,EM,2.2581060075417763,estresHistory,71,10,77
32,BAB***,Apuesto,EM,1.958967929465871,estresHistory,71,10,84
33,BA*A**,Apuesto,EM,-0.38789369783613536,estresHistory,71,1,22
