cat,class,classcat,epsilon,feat,nc,ncx,nx
AAAA**,obesity,1,0.04212829542659083,estresHistory,228,22,103
AAAB**,obesity,1,-0.7213354373263066,estresHistory,228,22,119
AAA***,obesity,1,-0.49942635680505615,estresHistory,228,44,222
AABA**,obesity,1,1.7358231582892136,estresHistory,228,5,12
AABB**,obesity,1,-1.26740096723518,estresHistory,228,31,179
AAB***,obesity,1,-0.7918512113275127,estresHistory,228,36,191
AA*A**,obesity,1,0.7770580688180827,estresHistory,228,28,116
AA*B**,obesity,1,-1.4381031757484588,estresHistory,228,53,298
AA****,obesity,1,-0.8087849067238626,estresHistory,228,81,414
ABAA**,obesity,1,3.340343505815249,estresHistory,228,3,3
ABAB**,obesity,1,-0.24411153733275895,estresHistory,228,2,11
ABA***,obesity,1,1.7827514077757771,estresHistory,228,6,15
ABBA**,obesity,1,1.928548222268252,estresHistory,228,1,1
ABBB**,obesity,1,1.4432804959088534,estresHistory,228,21,75
ABB***,obesity,1,1.6549734407223382,estresHistory,228,22,76
AB*A**,obesity,1,3.857096444536504,estresHistory,228,4,4
AB*B**,obesity,1,1.2605165256458233,estresHistory,228,23,86
AB****,obesity,1,2.425110075973769,estresHistory,228,29,92
A*AA**,obesity,1,0.6034793484059409,estresHistory,228,25,106
A*AB**,obesity,1,-0.7611519077823078,estresHistory,228,24,130
A*A***,obesity,1,-0.03486362008434587,estresHistory,228,50,237
A*BA**,obesity,1,2.2026079846748123,estresHistory,228,6,13
A*BB**,obesity,1,-0.2796880193396385,estresHistory,228,52,254
A*B***,obesity,1,0.2132248340052991,estresHistory,228,58,267
A**A**,obesity,1,1.4682035822049728,estresHistory,228,32,120
A**B**,obesity,1,-0.6703416788899694,estresHistory,228,76,384
A*****,obesity,1,0.3024969367760931,estresHistory,228,110,506
BAAA**,obesity,1,0.5190883545697585,estresHistory,228,4,15
BAAB**,obesity,1,-0.417627683179075,estresHistory,228,7,38
BAA***,obesity,1,-0.07747264730003048,estresHistory,228,11,53
BABA**,obesity,1,-1.3718875579646144,estresHistory,228,0,7
BABB**,obesity,1,-0.9247282673999563,estresHistory,228,13,77
BAB***,obesity,1,-1.2813897359616537,estresHistory,228,13,84
BA*A**,obesity,1,-0.3452258468277338,estresHistory,228,4,22
BA*B**,obesity,1,-0.9967439037601102,estresHistory,228,20,115
BA****,obesity,1,-1.0918782402903413,estresHistory,228,24,138
BBAA**,obesity,1,0.6290345853041054,estresHistory,228,8,31
BBAB**,obesity,1,-0.417627683179075,estresHistory,228,7,38
BBA***,obesity,1,0.04892807567835849,estresHistory,228,15,70
BBBA**,obesity,1,-1.344814704110223,estresHistory,228,4,34
BBBB**,obesity,1,0.6035561096218344,estresHistory,228,72,319
BBB***,obesity,1,0.27693357478899494,estresHistory,228,78,358
BB*A**,obesity,1,-0.5382156755059476,estresHistory,228,12,65
BB*B**,obesity,1,0.43427724213012336,estresHistory,228,79,357
BB****,obesity,1,0.27306394318275695,estresHistory,228,93,428
B*AA**,obesity,1,0.8128087122299527,estresHistory,228,12,46
B*AB**,obesity,1,-0.590614733574302,estresHistory,228,14,76
B*A***,obesity,1,-0.013944116654333979,estresHistory,228,26,123
B*BA**,obesity,1,-1.7915040731529623,estresHistory,228,4,41
B*BB**,obesity,1,0.1339413491357651,estresHistory,228,85,396
B*B***,obesity,1,-0.3093780863592851,estresHistory,228,91,442
B**A**,obesity,1,-0.6388167800245634,estresHistory,228,16,87
B**B**,obesity,1,-0.1143105434405592,estresHistory,228,99,472
B*****,obesity,1,-0.3016917465989536,estresHistory,228,117,566
*AAA**,obesity,1,0.22443388748769236,estresHistory,228,26,118
*AAB**,obesity,1,-0.8334637266554129,estresHistory,228,29,157
*AA***,obesity,1,-0.48273742214118553,estresHistory,228,55,275
*ABA**,obesity,1,0.5467881985740888,estresHistory,228,5,19
*ABB**,obesity,1,-1.5669454305929542,estresHistory,228,44,256
*AB***,obesity,1,-1.3681217395683163,estresHistory,228,49,275
*A*A**,obesity,1,0.5745912441811588,estresHistory,228,32,138
*A*B**,obesity,1,-1.747549253410783,estresHistory,228,73,413
*A****,obesity,1,-1.2463673955654628,estresHistory,228,105,552
*BAA**,obesity,1,1.5928721727338029,estresHistory,228,11,34
*BAB**,obesity,1,-0.4834366163637394,estresHistory,228,9,49
*BA***,obesity,1,0.7933068925017316,estresHistory,228,21,85
*BBA**,obesity,1,-0.9994796962966365,estresHistory,228,5,35
*BBB**,obesity,1,1.2683310357668263,estresHistory,228,94,395
*BB***,obesity,1,1.0354538037703906,estresHistory,228,101,435
*B*A**,obesity,1,0.4062973651709128,estresHistory,228,16,69
*B*B**,obesity,1,1.0356986367686485,estresHistory,228,103,444
*B****,obesity,1,1.3510626193101694,estresHistory,228,123,521
**AA**,obesity,1,0.9510990876640072,estresHistory,228,37,152
**AB**,obesity,1,-0.963395513435709,estresHistory,228,38,206
**A***,obesity,1,-0.03643820573487068,estresHistory,228,76,360
**BA**,obesity,1,-0.48031869142993205,estresHistory,228,10,54
**BB**,obesity,1,0.005348049354177268,estresHistory,228,138,651
**B***,obesity,1,-0.0409681840013419,estresHistory,228,150,710
***A**,obesity,1,0.7037276794573867,estresHistory,228,48,207
***B**,obesity,1,-0.46767131257393085,estresHistory,228,176,857
******,obesity,1,0.0,estresHistory,228,228,1076
