cat,class,classcat,epsilon,feat,nc,ncx,nx
AAAA**,id_sexo,M,3.7117405231277427,saludHistory,386,202,457
AAAB**,id_sexo,M,-0.6976797199291555,saludHistory,386,6,21
AAA***,id_sexo,M,3.464931923247743,saludHistory,386,209,481
AABA**,id_sexo,M,-0.7791792759327432,saludHistory,386,11,37
AABB**,id_sexo,M,1.0172955522092226,saludHistory,386,11,24
AAB***,id_sexo,M,0.0312598888810749,saludHistory,386,22,61
AA*A**,id_sexo,M,3.3567900291139714,saludHistory,386,213,494
AA*B**,id_sexo,M,0.26632164609138503,saludHistory,386,17,45
AA****,id_sexo,M,3.239504150882959,saludHistory,386,231,543
ABAA**,id_sexo,M,-1.8379847622233991,saludHistory,386,12,51
ABAB**,id_sexo,M,-0.453416854432825,saludHistory,386,1,4
ABA***,id_sexo,M,-1.8921648827837518,saludHistory,386,13,55
ABBA**,id_sexo,M,-0.7434555060389209,saludHistory,386,4,15
ABBB**,id_sexo,M,0.26672172843967956,saludHistory,386,7,18
ABB***,id_sexo,M,-0.30425054853763167,saludHistory,386,11,33
AB*A**,id_sexo,M,-1.970107307293422,saludHistory,386,16,66
AB*B**,id_sexo,M,0.047921284564287195,saludHistory,386,8,22
AB****,id_sexo,M,-1.6822023340153158,saludHistory,386,24,88
A*AA**,id_sexo,M,2.9381311471700644,saludHistory,386,214,508
A*AB**,id_sexo,M,-0.8208007672553187,saludHistory,386,7,25
A*A***,id_sexo,M,2.676230665249976,saludHistory,386,222,536
A*BA**,id_sexo,M,-1.0565587222973378,saludHistory,386,15,52
A*BB**,id_sexo,M,0.9436135131513914,saludHistory,386,18,42
A*B***,id_sexo,M,-0.15508850043132644,saludHistory,386,33,94
A**A**,id_sexo,M,2.476435483655111,saludHistory,386,229,560
A**B**,id_sexo,M,0.24572070600094054,saludHistory,386,25,67
A*****,id_sexo,M,2.376923480764441,saludHistory,386,255,631
BAAA**,id_sexo,M,0.5948667188416419,saludHistory,386,32,82
BAAB**,id_sexo,M,0.2720600492929202,saludHistory,386,4,10
BAA***,id_sexo,M,0.6513027647767864,saludHistory,386,36,92
BABA**,id_sexo,M,-1.495888083855303,saludHistory,386,0,4
BABB**,id_sexo,M,-0.40280557410924067,saludHistory,386,2,7
BAB***,id_sexo,M,-1.223382142988645,saludHistory,386,2,11
BA*A**,id_sexo,M,0.25825637300303295,saludHistory,386,32,86
BA*B**,id_sexo,M,-0.04981535239460894,saludHistory,386,6,17
BA****,id_sexo,M,0.21574544407306712,saludHistory,386,38,103
BBAA**,id_sexo,M,-1.4881992024660005,saludHistory,386,54,177
BBAB**,id_sexo,M,0.7214413247393554,saludHistory,386,3,6
BBA***,id_sexo,M,-1.3329667170840893,saludHistory,386,57,183
BBBA**,id_sexo,M,-2.356344485106112,saludHistory,386,18,78
BBBB**,id_sexo,M,-2.7615624197549233,saludHistory,386,16,77
BBB***,id_sexo,M,-3.617963546094313,saludHistory,386,34,155
BB*A**,id_sexo,M,-2.543088934048095,saludHistory,386,72,255
BB*B**,id_sexo,M,-2.465903358690749,saludHistory,386,19,83
BB****,id_sexo,M,-3.430845246641904,saludHistory,386,91,338
B*AA**,id_sexo,M,-0.8955464038528027,saludHistory,386,86,259
B*AB**,id_sexo,M,0.6568731352680671,saludHistory,386,7,16
B*A***,id_sexo,M,-0.7106599993941671,saludHistory,386,93,275
B*BA**,id_sexo,M,-2.628540566277238,saludHistory,386,18,82
B*BB**,id_sexo,M,-2.7602746737560766,saludHistory,386,18,84
B*B***,id_sexo,M,-3.810959810461817,saludHistory,386,36,166
B**A**,id_sexo,M,-2.0694529991171753,saludHistory,386,104,341
B**B**,id_sexo,M,-2.267084272164125,saludHistory,386,25,100
B*****,id_sexo,M,-2.899321204718808,saludHistory,386,129,441
*AAA**,id_sexo,M,3.703936022683812,saludHistory,386,235,540
*AAB**,id_sexo,M,-0.41970898174287147,saludHistory,386,10,31
*AA***,id_sexo,M,3.488393371848917,saludHistory,386,246,574
*ABA**,id_sexo,M,-1.2074322448003687,saludHistory,386,11,41
*ABB**,id_sexo,M,0.7036911783450137,saludHistory,386,13,31
*AB***,id_sexo,M,-0.44940784380932297,saludHistory,386,24,72
*A*A**,id_sexo,M,3.250105640819111,saludHistory,386,246,581
*A*B**,id_sexo,M,0.20080573695362613,saludHistory,386,23,62
*A****,id_sexo,M,3.1063871676840584,saludHistory,386,270,647
*BAA**,id_sexo,M,-2.225173370912703,saludHistory,386,66,229
*BAB**,id_sexo,M,0.2720600492929202,saludHistory,386,4,10
*BA***,id_sexo,M,-2.122474138566989,saludHistory,386,70,239
*BBA**,id_sexo,M,-2.456544973663409,saludHistory,386,22,93
