,cat,class,classcat,epsilon,feat,nc,ncx,nx
0,AAAA**,Apuesto,EM,-0.5945241125943694,saludHistory,71,27,457
1,AAAB**,Apuesto,EM,-0.3390207217382556,saludHistory,71,1,21
2,AAA***,Apuesto,EM,-0.6866972198904927,saludHistory,71,28,481
3,AABA**,Apuesto,EM,1.0320957633869212,saludHistory,71,4,37
4,AABB**,Apuesto,EM,0.342342003444034,saludHistory,71,2,24
5,AAB***,Apuesto,EM,1.0185487300962677,saludHistory,71,6,61
6,AA*A**,Apuesto,EM,-0.2893659859137144,saludHistory,71,31,494
7,AA*B**,Apuesto,EM,0.01841600727094536,saludHistory,71,3,45
8,AA****,Apuesto,EM,-0.14346281190469062,saludHistory,71,35,543
9,ABAA**,Apuesto,EM,1.4861264710205633,saludHistory,71,6,51
10,ABAB**,Apuesto,EM,3.4965091653868066,saludHistory,71,2,4
11,ABA***,Apuesto,EM,2.3740039037472997,saludHistory,71,8,55
12,ABBA**,Apuesto,EM,0.01063248675527841,saludHistory,71,1,15
13,ABBB**,Apuesto,EM,0.7711928152458455,saludHistory,71,2,18
14,ABB***,Apuesto,EM,0.5767320618750124,saludHistory,71,3,33
15,AB*A**,Apuesto,EM,1.3114469358747074,saludHistory,71,7,66
16,AB*B**,Apuesto,EM,2.188486665569307,saludHistory,71,4,22
17,AB****,Apuesto,EM,2.2299896949674114,saludHistory,71,11,88
18,A*AA**,Apuesto,EM,-0.09301306713907402,saludHistory,71,33,508
19,A*AB**,Apuesto,EM,1.0878860422498993,saludHistory,71,3,25
20,A*A***,Apuesto,EM,0.10995483030293197,saludHistory,71,36,536
21,A*BA**,Apuesto,EM,0.8763116093153144,saludHistory,71,5,52
22,A*BB**,Apuesto,EM,0.7636504371656063,saludHistory,71,4,42
23,A*B***,Apuesto,EM,1.1622254026943089,saludHistory,71,9,94
24,A**A**,Apuesto,EM,0.178444382566668,saludHistory,71,38,560
25,A**B**,Apuesto,EM,1.2691512471452315,saludHistory,71,7,67
26,A*****,Apuesto,EM,0.6996949053872539,saludHistory,71,46,631
27,BAAA**,Apuesto,EM,-0.18272717412870693,saludHistory,71,5,82
28,BAAB**,Apuesto,EM,0.43328023693289797,saludHistory,71,1,10
29,BAA***,Apuesto,EM,-0.02966248102237841,saludHistory,71,6,92
30,BABA**,Apuesto,EM,-0.5315891878853604,saludHistory,71,0,4
31,BABB**,Apuesto,EM,-0.7032263953977265,saludHistory,71,0,7
32,BAB***,Apuesto,EM,-0.8815409394127403,saludHistory,71,0,11
33,BA*A**,Apuesto,EM,-0.29307258154190263,saludHistory,71,5,86
34,BA*B**,Apuesto,EM,-0.11894183372513782,saludHistory,71,1,17
35,BA****,Apuesto,EM,-0.31611856682931294,saludHistory,71,6,103
36,BBAA**,Apuesto,EM,-1.1140037770756255,saludHistory,71,8,177
37,BBAB**,Apuesto,EM,-0.6510611315498149,saludHistory,71,0,6
38,BBA***,Apuesto,EM,-1.213477833724378,saludHistory,71,8,183
39,BBBA**,Apuesto,EM,-0.06697266492159393,saludHistory,71,5,78
