cat,class,classcat,epsilon,feat,nc,ncx,nx
AAAA**,obesity,1,-3.7587615195495383,saludHistory,228,64,457
AAAB**,obesity,1,-1.8421838496861582,saludHistory,228,1,21
AAA***,obesity,1,-4.008058789416773,saludHistory,228,66,481
AABA**,obesity,1,-2.34947032863261,saludHistory,228,2,37
AABB**,obesity,1,0.9563046111588211,saludHistory,228,7,24
AAB***,obesity,1,-1.2299675180254919,saludHistory,228,9,61
AA*A**,obesity,1,-4.258253487349557,saludHistory,228,66,494
AA*B**,obesity,1,-0.560065004134808,saludHistory,228,8,45
AA****,obesity,1,-4.206804304426105,saludHistory,228,75,543
ABAA**,obesity,1,-2.332372423482249,saludHistory,228,4,51
ABAB**,obesity,1,-1.0370495157480222,saludHistory,228,0,4
ABA***,obesity,1,-2.5256295115473426,saludHistory,228,4,55
ABBA**,obesity,1,-2.008237751842278,saludHistory,228,0,15
ABBB**,obesity,1,-1.0463529694903104,saludHistory,228,2,18
ABB***,obesity,1,-2.126736498716842,saludHistory,228,2,33
AB*A**,obesity,1,-3.007659600079228,saludHistory,228,4,66
AB*B**,obesity,1,-1.3886612715093116,saludHistory,228,2,22
AB****,obesity,1,-3.2990402553594125,saludHistory,228,6,88
A*AA**,obesity,1,-4.304105638485331,saludHistory,228,68,508
A*AB**,obesity,1,-2.1032091933416024,saludHistory,228,1,25
A*A***,obesity,1,-4.605894265183046,saludHistory,228,70,536
A*BA**,obesity,1,-3.06043927309341,saludHistory,228,2,52
A*BB**,obesity,1,0.03789952445285172,saludHistory,228,9,42
A*B***,obesity,1,-2.2509246794840374,saludHistory,228,11,94
A**A**,obesity,1,-5.031995855585757,saludHistory,228,70,560
A**B**,obesity,1,-1.254732601315446,saludHistory,228,10,67
A*****,obesity,1,-5.134461882819387,saludHistory,228,81,631
BAAA**,obesity,1,3.411578722200361,saludHistory,228,30,82
BAAB**,obesity,1,-0.09205441448809545,saludHistory,228,2,10
BAA***,obesity,1,3.1904850588876643,saludHistory,228,32,92
BABA**,obesity,1,-1.0370495157480222,saludHistory,228,0,4
BABB**,obesity,1,0.4779257407445649,saludHistory,228,2,7
BAB***,obesity,1,-0.24411153733275895,saludHistory,228,2,11
BA*A**,obesity,1,3.107639185405424,saludHistory,228,30,86
BA*B**,obesity,1,0.23607715278093266,saludHistory,228,4,17
BA****,obesity,1,2.9355354791932977,saludHistory,228,34,103
BBAA**,obesity,1,3.217806549878193,saludHistory,228,55,177
BBAB**,obesity,1,2.7259323673420366,saludHistory,228,4,6
BBA***,obesity,1,3.6582046423184056,saludHistory,228,59,183
BBBA**,obesity,1,3.1786540368005918,saludHistory,228,28,78
BBBB**,obesity,1,2.4217099020698414,saludHistory,228,25,77
BBB***,obesity,1,3.961761304889268,saludHistory,228,53,155
BB*A**,obesity,1,4.438880928254006,saludHistory,228,83,255
BB*B**,obesity,1,3.0654481236233124,saludHistory,228,29,83
BB****,obesity,1,5.374599284963945,saludHistory,228,112,338
B*AA**,obesity,1,4.579699669630804,saludHistory,228,85,259
B*AB**,obesity,1,1.5965104387173503,saludHistory,228,6,16
B*A***,obesity,1,4.829568482421599,saludHistory,228,91,275
B*BA**,obesity,1,2.8711107149730957,saludHistory,228,28,82
B*BB**,obesity,1,2.4565759848993767,saludHistory,228,27,84
B*B***,obesity,1,3.765409217185491,saludHistory,228,55,166
B**A**,obesity,1,5.3991824858869775,saludHistory,228,113,341
B**B**,obesity,1,2.8900932557293575,saludHistory,228,33,100
B*****,obesity,1,6.123963660872929,saludHistory,228,146,441
*AAA**,obesity,1,-2.1507325942731916,saludHistory,228,94,540
*AAB**,obesity,1,-1.568501823095951,saludHistory,228,3,31
*AA***,obesity,1,-2.4133626326183704,saludHistory,228,98,574
*ABA**,obesity,1,-2.555841259002521,saludHistory,228,2,41
*ABB**,obesity,1,1.0685418669841171,saludHistory,228,9,31
*AB***,obesity,1,-1.2275349898221362,saludHistory,228,11,72
*A*A**,obesity,1,-2.75240785799984,saludHistory,228,96,581
*A*B**,obesity,1,-0.3535250752884067,saludHistory,228,12,62
*A****,obesity,1,-2.7030208080751827,saludHistory,228,109,647
*BAA**,obesity,1,1.8557246217831966,saludHistory,228,60,229
*BAB**,obesity,1,1.4556104290930123,saludHistory,228,4,10
*BA***,obesity,1,2.1142332979440286,saludHistory,228,64,239
*BBA**,obesity,1,2.104518451019751,saludHistory,228,28,93
*BBB**,obesity,1,1.7247843620260097,saludHistory,228,27,95
*BB***,obesity,1,2.706259401205811,saludHistory,228,55,188
*B*A**,obesity,1,2.6959698985931686,saludHistory,228,88,322
*B*B**,obesity,1,2.0898083046106657,saludHistory,228,31,105
*B****,obesity,1,3.377452876920033,saludHistory,228,119,427
**AA**,obesity,1,-0.7896007679967848,saludHistory,228,154,769
**AB**,obesity,1,-0.6449982943786237,saludHistory,228,7,41
**A***,obesity,1,-0.8815161104768667,saludHistory,228,162,813
**BA**,obesity,1,0.339489220706207,saludHistory,228,30,134
**BB**,obesity,1,2.0276671931045143,saludHistory,228,36,126
**B***,obesity,1,1.655267077499425,saludHistory,228,66,260
***A**,obesity,1,-0.5978852873380731,saludHistory,228,184,903
***B**,obesity,1,1.4416716504910068,saludHistory,228,43,167
******,obesity,1,0.0,saludHistory,228,228,1076
