,feat,cat,class,classcat,score,nx,ncx,nc
0,ejer0B,B,obesity,1,0.2814124594381855,651,171,228
1,ejer0B,A,obesity,1,-0.5691962405963195,424,56,228
2,ejer0B,N,obesity,1,0.0,1,1,228
3,ejer1B,B,obesity,1,0.27541632131543947,608,159,228
4,ejer1B,A,obesity,1,-0.48577166802597554,465,66,228
5,ejer1B,N,obesity,1,0.0,3,3,228
6,ejer5B,B,obesity,1,0.19120619155203655,509,125,228
7,ejer5B,A,obesity,1,-0.21122902854753356,565,101,228
8,ejer5B,N,obesity,1,0.0,2,2,228
9,ejer10B,B,obesity,1,0.016929400477917727,475,102,228
10,ejer10B,A,obesity,1,-0.027013332494224333,593,123,228
11,ejer10B,N,obesity,1,0.8027093830714715,8,3,228
12,ejer20B,B,obesity,1,0.037241540931900075,440,96,228
13,ejer20B,A,obesity,1,0.138799022696552,500,118,228
14,ejer20B,N,obesity,1,-0.8514287082805356,136,14,228
15,ejer30B,A,obesity,1,0.22750150037621258,317,80,228
16,ejer30B,B,obesity,1,0.16342619240217782,341,82,228
17,ejer30B,N,obesity,1,-0.3604414267342093,418,66,228
18,condi0B,B,obesity,1,0.3437555900123212,662,182,228
19,condi0B,A,obesity,1,-0.760456930074809,412,46,228
20,condi0B,N,obesity,1,0.0,2,0,228
21,condi1B,A,obesity,1,-0.5382163730185681,457,62,228
22,condi1B,B,obesity,1,0.31405545569132737,617,166,228
23,condi1B,N,obesity,1,0.0,2,0,228
24,condi5B,A,obesity,1,-0.30495274111655596,665,110,228
25,condi5B,B,obesity,1,0.41089636413163455,409,118,228
26,condi5B,N,obesity,1,0.0,2,0,228
27,condi10B,A,obesity,1,-0.06668030820604615,821,165,228
28,condi10B,B,obesity,1,0.19866219729757228,247,61,228
29,condi10B,N,obesity,1,0.21492271816935254,8,2,228
30,condi20B,A,obesity,1,0.09977419614536369,799,183,228
31,condi20B,N,obesity,1,-0.8757214008495804,139,14,228
32,condi20B,B,obesity,1,0.07469337686070232,138,31,228
33,condi30B,A,obesity,1,0.19028541378396735,599,147,228
34,condi30B,N,obesity,1,-0.3926550467178641,410,63,228
35,condi30B,B,obesity,1,0.3120864666230003,67,18,228
36,estres0B,A,obesity,1,0.032601161375398036,506,110,228
37,estres0B,B,obesity,1,-0.03131394610703571,566,117,228
38,estres0B,N,obesity,1,0.21492271816935254,4,1,228
39,estres1B,B,obesity,1,0.1392673569254422,521,123,228
40,estres1B,A,obesity,1,-0.13506323761858327,552,105,228
41,estres1B,N,obesity,1,0.0,3,0,228
42,estres5B,A,obesity,1,-0.004705891037412617,360,76,228
43,estres5B,B,obesity,1,-0.003766482795476782,710,150,228
44,estres5B,N,obesity,1,0.620387826277517,6,2,228
45,estres10B,N,obesity,1,0.620387826277517,12,4,228
46,estres10B,B,obesity,1,-0.039543304273898364,857,176,228
47,estres10B,A,obesity,1,0.11583181552512165,207,48,228
48,estres20B,N,obesity,1,-0.6636276857219555,148,18,228
49,estres20B,B,obesity,1,0.059203410569467686,820,182,228
50,estres20B,A,obesity,1,0.2637128823387845,108,28,228
51,estres30B,B,obesity,1,0.13654160046547575,590,139,228
52,estres30B,N,obesity,1,-0.29308202925499655,425,71,228
53,estres30B,A,obesity,1,0.44270664904006446,61,18,228
54,salud0B,A,obesity,1,-0.6019341167166156,631,81,228
55,salud0B,B,obesity,1,0.6101662722059787,441,146,228
56,salud0B,N,obesity,1,0.21492271816935254,4,1,228
57,salud1B,A,obesity,1,-0.2829756710951785,647,109,228
58,salud1B,B,obesity,1,0.3625587169754172,427,119,228
59,salud1B,N,obesity,1,0.0,2,0,228
60,salud5B,A,obesity,1,-0.07737830013872299,813,162,228
61,salud5B,B,obesity,1,0.23533158980055968,260,66,228
62,salud5B,N,obesity,1,0.0,3,0,228
63,salud10B,A,obesity,1,-0.049390593274598826,903,184,228
64,salud10B,B,obesity,1,0.2544535569259879,167,43,228
65,salud10B,N,obesity,1,-0.29590290559663823,6,1,228
66,salud20B,A,obesity,1,0.12886495476605486,871,204,228
67,salud20B,N,obesity,1,-0.8664477640642511,128,13,228
68,salud20B,B,obesity,1,-0.47822446239059274,77,11,228
69,salud30B,A,obesity,1,0.2582731590429665,639,165,228
70,salud30B,N,obesity,1,-0.46375242978205816,401,58,228
71,salud30B,B,obesity,1,-0.5110142852135836,36,5,228
72,dis_dia0B,B,obesity,1,0.05602143558349646,542,120,228
73,dis_dia0B,A,obesity,1,-0.0559522359660471,518,105,228
74,dis_dia0B,N,obesity,1,-0.15280206195596474,16,3,228
75,dis_dia1B,B,obesity,1,0.09620641132997061,521,119,228
76,dis_dia1B,A,obesity,1,-0.09607043315087546,540,106,228
77,dis_dia1B,N,obesity,1,-0.07275935428242843,15,3,228
78,dis_dia5B,A,obesity,1,-0.06246060208185375,605,122,228
79,dis_dia5B,B,obesity,1,0.09999275149537554,454,104,228
80,dis_dia5B,N,obesity,1,-0.7013680137048024,17,2,228
81,dis_dia10B,N,obesity,1,0.1348800104958161,34,8,228
82,dis_dia10B,B,obesity,1,-0.020269171661031666,422,88,228
83,dis_dia10B,A,obesity,1,0.006021523570686113,620,132,228
84,dis_dia20B,N,obesity,1,-0.626644467508866,199,25,228
85,dis_dia20B,A,obesity,1,0.1583523666809583,526,126,228
86,dis_dia20B,B,obesity,1,0.044212322303075834,351,77,228
87,dis_dia30B,N,obesity,1,-0.620880762792116,198,25,228
88,dis_dia30B,B,obesity,1,0.08731159357670643,529,120,228
89,dis_dia30B,A,obesity,1,0.14887930585236125,349,83,228
