labels,pattern,nhdegree,hdegree
a_20: A | a_30: A ,A->A,0.5231788079470199,0.40202702702702703
a_20: B | a_30: A ,A->B,0.4768211920529801,0.597972972972973
a_20: A | a_30: B ,B->A,0.08013937282229965,0.07017543859649122
a_20: B | a_30: B ,B->B,0.9198606271777003,0.9298245614035088
a_10: A | a_30: A ,A->A,0.2913907284768212,0.1858108108108108
a_10: B | a_30: A ,A->B,0.7086092715231788,0.8141891891891891
a_10: A | a_30: B ,B->A,0.21951219512195122,0.21929824561403508
a_10: B | a_30: B ,B->B,0.7804878048780488,0.7807017543859649
a_10: A | a_20: A ,A->A,0.5,0.3986013986013986
a_10: B | a_20: A ,A->B,0.5,0.6013986013986014
a_10: A | a_20: B ,B->A,0.16666666666666666,0.14747474747474748
a_10: B | a_20: B ,B->B,0.8333333333333334,0.8525252525252526
a_5: A | a_30: A ,A->A,0.3841059602649007,0.27702702702702703
a_5: B | a_30: A ,A->B,0.6158940397350994,0.722972972972973
a_5: A | a_30: B ,B->A,0.4181184668989547,0.37719298245614036
a_5: B | a_30: B ,B->B,0.5818815331010453,0.6228070175438597
a_5: A | a_20: A ,A->A,0.5,0.3916083916083916
a_5: B | a_20: A ,A->B,0.5,0.6083916083916084
a_5: A | a_20: B ,B->A,0.37797619047619047,0.31313131313131315
a_5: B | a_20: B ,B->B,0.6220238095238095,0.6868686868686869
a_5: A | a_10: A ,A->A,0.822429906542056,0.7846153846153846
a_5: B | a_10: A ,A->B,0.17757009345794392,0.2153846153846154
a_5: A | a_10: B ,B->A,0.2719033232628399,0.21456692913385828
a_5: B | a_10: B ,B->B,0.7280966767371602,0.7854330708661418
a_1: A | a_30: A ,A->A,0.5496688741721855,0.3952702702702703
a_1: B | a_30: A ,A->B,0.4503311258278146,0.6047297297297297
a_1: A | a_30: B ,B->A,0.6027874564459931,0.4853801169590643
a_1: B | a_30: B ,B->B,0.397212543554007,0.5146198830409356
a_1: A | a_20: A ,A->A,0.5784313725490197,0.43356643356643354
a_1: B | a_20: A ,A->B,0.4215686274509804,0.5664335664335665
a_1: A | a_20: B ,B->A,0.5863095238095238,0.44646464646464645
a_1: B | a_20: B ,B->B,0.41369047619047616,0.5535353535353535
a_1: A | a_10: A ,A->A,0.7850467289719626,0.6923076923076923
a_1: B | a_10: A ,A->B,0.21495327102803738,0.3076923076923077
a_1: A | a_10: B ,B->A,0.5196374622356495,0.3799212598425197
a_1: B | a_10: B ,B->B,0.48036253776435045,0.6200787401574803
a_1: A | a_5: A ,A->A,0.848314606741573,0.7914691943127962
a_1: B | a_5: A ,A->B,0.15168539325842698,0.20853080568720378
a_1: A | a_5: B ,B->A,0.40384615384615385,0.2716627634660422
a_1: B | a_5: B ,B->B,0.5961538461538461,0.7283372365339579
a_0: A | a_30: A ,A->A,0.6556291390728477,0.42567567567567566
a_0: B | a_30: A ,A->B,0.3443708609271523,0.5743243243243243
a_0: A | a_30: B ,B->A,0.6724738675958188,0.5263157894736842
a_0: B | a_30: B ,B->B,0.32752613240418116,0.47368421052631576
a_0: A | a_20: A ,A->A,0.6764705882352942,0.4405594405594406
a_0: B | a_20: A ,A->B,0.3235294117647059,0.5594405594405595
a_0: A | a_20: B ,B->A,0.6636904761904762,0.4909090909090909
a_0: B | a_20: B ,B->B,0.33630952380952384,0.509090909090909
a_0: A | a_10: A ,A->A,0.8037383177570093,0.6692307692307692
a_0: B | a_10: A ,A->B,0.19626168224299065,0.33076923076923076
a_0: A | a_10: B ,B->A,0.622356495468278,0.4311023622047244
a_0: B | a_10: B ,B->B,0.3776435045317221,0.5688976377952756
a_0: A | a_5: A ,A->A,0.8595505617977528,0.7440758293838863
a_0: B | a_5: A ,A->B,0.1404494382022472,0.2559241706161137
a_0: A | a_5: B ,B->A,0.5346153846153846,0.34894613583138173
a_0: B | a_5: B ,B->B,0.4653846153846154,0.6510538641686182
a_0: A | a_1: A ,A->A,0.9296875,0.8763250883392226
a_0: B | a_1: A ,A->B,0.0703125,0.12367491166077739
a_0: A | a_1: B ,B->A,0.2967032967032967,0.16338028169014085
a_0: B | a_1: B ,B->B,0.7032967032967034,0.8366197183098592
