labels,pattern,nobese,obese
a_20: A | a_30: A ,A->A,0.44959128065395093,0.4125
a_20: B | a_30: A ,A->B,0.5504087193460491,0.5875
a_20: A | a_30: B ,B->A,0.06444906444906445,0.10810810810810811
a_20: B | a_30: B ,B->B,0.9355509355509356,0.8918918918918919
a_10: A | a_30: A ,A->A,0.19346049046321526,0.35
a_10: B | a_30: A ,A->B,0.8065395095367848,0.65
a_10: A | a_30: B ,B->A,0.18087318087318088,0.34459459459459457
a_10: B | a_30: B ,B->B,0.8191268191268192,0.6554054054054054
a_10: A | a_20: A ,A->A,0.37244897959183676,0.7142857142857143
a_10: B | a_20: A ,A->B,0.6275510204081632,0.2857142857142857
a_10: A | a_20: B ,B->A,0.1303680981595092,0.24581005586592178
a_10: B | a_20: B ,B->B,0.8696319018404908,0.7541899441340782
a_5: A | a_30: A ,A->A,0.2615803814713896,0.55
a_5: B | a_30: A ,A->B,0.7384196185286104,0.45
a_5: A | a_30: B ,B->A,0.3284823284823285,0.6148648648648649
a_5: B | a_30: B ,B->B,0.6715176715176715,0.38513513513513514
a_5: A | a_20: A ,A->A,0.3469387755102041,0.7959183673469388
a_5: B | a_20: A ,A->B,0.6530612244897959,0.20408163265306123
a_5: A | a_20: B ,B->A,0.2852760736196319,0.5363128491620112
a_5: B | a_20: B ,B->B,0.7147239263803681,0.46368715083798884
a_5: A | a_10: A ,A->A,0.7278481012658228,0.9493670886075949
a_5: B | a_10: A ,A->B,0.2721518987341772,0.05063291139240506
a_5: A | a_10: B ,B->A,0.20144927536231885,0.40268456375838924
a_5: B | a_10: B ,B->B,0.7985507246376812,0.5973154362416108
a_1: A | a_30: A ,A->A,0.35149863760217986,0.8875
a_1: B | a_30: A ,A->B,0.6485013623978202,0.1125
a_1: A | a_30: B ,B->A,0.4303534303534304,0.8918918918918919
a_1: B | a_30: B ,B->B,0.5696465696465697,0.10810810810810811
a_1: A | a_20: A ,A->A,0.39285714285714285,0.8979591836734694
a_1: B | a_20: A ,A->B,0.6071428571428571,0.10204081632653061
a_1: A | a_20: B ,B->A,0.39723926380368096,0.888268156424581
a_1: B | a_20: B ,B->B,0.602760736196319,0.11173184357541899
a_1: A | a_10: A ,A->A,0.6139240506329114,0.9746835443037974
a_1: B | a_10: A ,A->B,0.3860759493670886,0.02531645569620253
a_1: A | a_10: B ,B->A,0.3463768115942029,0.8456375838926175
a_1: B | a_10: B ,B->B,0.6536231884057971,0.15436241610738255
a_1: A | a_5: A ,A->A,0.7362204724409449,0.9703703703703703
a_1: B | a_5: A ,A->B,0.2637795275590551,0.02962962962962963
a_1: A | a_5: B ,B->A,0.25084175084175087,0.7741935483870968
a_1: B | a_5: B ,B->B,0.7491582491582491,0.22580645161290322
a_0: A | a_30: A ,A->A,0.4032697547683924,0.9625
a_0: B | a_30: A ,A->B,0.5967302452316077,0.0375
a_0: A | a_30: B ,B->A,0.4781704781704782,0.9662162162162162
a_0: B | a_30: B ,B->B,0.5218295218295218,0.033783783783783786
a_0: A | a_20: A ,A->A,0.4387755102040816,0.9387755102040817
a_0: B | a_20: A ,A->B,0.5612244897959183,0.061224489795918366
a_0: A | a_20: B ,B->A,0.44785276073619634,0.9720670391061452
a_0: B | a_20: B ,B->B,0.5521472392638037,0.027932960893854747
a_0: A | a_10: A ,A->A,0.6012658227848101,0.9873417721518988
a_0: B | a_10: A ,A->B,0.3987341772151899,0.012658227848101266
a_0: A | a_10: B ,B->A,0.4101449275362319,0.9530201342281879
a_0: B | a_10: B ,B->B,0.5898550724637681,0.04697986577181208
a_0: A | a_5: A ,A->A,0.7007874015748031,0.9777777777777777
a_0: B | a_5: A ,A->B,0.2992125984251969,0.022222222222222223
a_0: A | a_5: B ,B->A,0.3367003367003367,0.946236559139785
a_0: B | a_5: B ,B->B,0.6632996632996633,0.053763440860215055
a_0: A | a_1: A ,A->A,0.8482142857142857,0.9901477832512315
a_0: B | a_1: A ,A->B,0.15178571428571427,0.009852216748768473
a_0: A | a_1: B ,B->A,0.181640625,0.76
a_0: B | a_1: B ,B->B,0.818359375,0.24
