,feat,cat,class,classcat,score,nx,ncx,nc
0,ejerHistory0_20,AAAAA,obesity,1,-0.6813334356378059,147,19,213
1,ejerHistory0_20,AAAAB,obesity,1,-0.9983657024089628,41,4,213
2,ejerHistory0_20,AAABA,obesity,1,0.0,8,0,213
3,ejerHistory0_20,AAABB,obesity,1,-1.2586488006726293,26,2,213
4,ejerHistory0_20,AABAA,obesity,1,0.0,12,0,213
5,ejerHistory0_20,AABAB,obesity,1,0.0,5,0,213
6,ejerHistory0_20,AABBA,obesity,1,0.0,17,0,213
7,ejerHistory0_20,AABBB,obesity,1,-0.026505119379997083,27,6,213
8,ejerHistory0_20,ABAAA,obesity,1,-0.05467599634669345,23,5,213
9,ejerHistory0_20,ABAAB,obesity,1,0.5331106685554257,6,2,213
10,ejerHistory0_20,ABABA,obesity,1,1.226257849115371,2,1,213
11,ejerHistory0_20,ABABB,obesity,1,-0.853183692564465,9,1,213
12,ejerHistory0_20,ABBAA,obesity,1,-0.853183692564465,9,1,213
13,ejerHistory0_20,ABBAB,obesity,1,0.0,1,0,213
14,ejerHistory0_20,ABBBA,obesity,1,0.5331106685554257,6,2,213
15,ejerHistory0_20,ABBBB,obesity,1,0.46411779706847434,22,7,213
16,ejerHistory0_20,BAAAA,obesity,1,0.29672189049119524,53,15,213
17,ejerHistory0_20,BAAAB,obesity,1,-0.853183692564465,9,1,213
18,ejerHistory0_20,BAABA,obesity,1,-0.16003651200451968,5,1,213
19,ejerHistory0_20,BAABB,obesity,1,0.4530679608818893,19,6,213
20,ejerHistory0_20,BABAA,obesity,1,0.5331106685554257,6,2,213
21,ejerHistory0_20,BABAB,obesity,1,0.0,3,0,213
22,ejerHistory0_20,BABBA,obesity,1,1.5139399215671518,7,4,213
23,ejerHistory0_20,BABBB,obesity,1,-1.3386915083461657,14,1,213
24,ejerHistory0_20,BBAAA,obesity,1,0.32547130377718114,90,26,213
25,ejerHistory0_20,BBAAB,obesity,1,0.6072186407091476,20,7,213
26,ejerHistory0_20,BBABA,obesity,1,0.5331106685554257,3,1,213
27,ejerHistory0_20,BBABB,obesity,1,-0.565501620112684,21,3,213
28,ejerHistory0_20,BBBAA,obesity,1,0.8558840608184767,71,29,213
29,ejerHistory0_20,BBBAB,obesity,1,0.12764556044726125,16,4,213
30,ejerHistory0_20,BBBBA,obesity,1,0.34386866891689727,41,12,213
31,ejerHistory0_20,BBBBB,obesity,1,0.15413717589423764,200,51,213
