,feat,cat,class,classcat,score,nx,ncx,nc
0,ejer0B,A,obesity,1,-0.6893279078853318,238,28,135
1,ejer0B,B,obesity,1,0.33545855179036677,388,107,135
2,ejer1B,A,obesity,1,-0.4737450452919744,252,36,135
3,ejer1B,B,obesity,1,0.28000371587520195,374,99,135
4,ejer5B,A,obesity,1,-0.1806721242053172,299,55,135
5,ejer5B,B,obesity,1,0.17625480411171715,327,80,135
6,ejer10B,A,obesity,1,-0.04281313197624471,330,68,135
7,ejer10B,B,obesity,1,0.07666279185717188,296,67,135
8,ejer20B,A,obesity,1,-0.00133119554950034,310,66,135
9,ejer20B,B,obesity,1,0.030300891488637495,316,69,135
10,ejer0_1,AA,obesity,1,-1.0561408615592172,182,15,135
11,ejer0_1,AB,obesity,1,0.150102091301258,56,13,135
12,ejer0_1,BA,obesity,1,0.4742538435344305,70,21,135
13,ejer0_1,BB,obesity,1,0.3101040606931439,318,86,135
14,ejer0_5,AAA,obesity,1,-1.037656046885114,145,12,135
15,ejer0_5,AAB,obesity,1,-0.8738193047652624,37,3,135
16,ejer0_5,ABA,obesity,1,-0.18637014531995488,25,4,135
17,ejer0_5,ABB,obesity,1,0.46232527266915663,31,9,135
18,ejer0_5,BAA,obesity,1,0.573099678171063,50,16,135
19,ejer0_5,BAB,obesity,1,0.31440514259253444,20,5,135
20,ejer0_5,BBA,obesity,1,0.43023695811765617,79,23,135
21,ejer0_5,BBB,obesity,1,0.27796774639010335,239,63,135
22,ejer0_10,AAAA,obesity,1,-1.0164005329097028,120,10,135
23,ejer0_10,AAAB,obesity,1,-0.7842071460755753,25,2,135
24,ejer0_10,AABA,obesity,1,-1.3438229340109977,13,0,135
25,ejer0_10,AABB,obesity,1,-0.40951369663416454,24,3,135
26,ejer0_10,ABAA,obesity,1,0.19662210693615093,18,4,135
27,ejer0_10,ABAB,obesity,1,-0.7842071460755753,7,0,135
28,ejer0_10,ABBA,obesity,1,-0.09105996551562995,8,1,135
29,ejer0_10,ABBB,obesity,1,0.7198702507006988,23,8,135
30,ejer0_10,BAAA,obesity,1,0.43503313038114927,35,10,135
31,ejer0_10,BAAB,obesity,1,0.9385594516655282,15,6,135
32,ejer0_10,BABA,obesity,1,0.1966221069361511,6,1,135
33,ejer0_10,BABB,obesity,1,0.5067770352399904,14,4,135
34,ejer0_10,BBAA,obesity,1,0.5595276006255193,69,22,135
35,ejer0_10,BBAB,obesity,1,-0.3142035168298396,10,1,135
36,ejer0_10,BBBA,obesity,1,0.6020872150443154,61,20,135
37,ejer0_10,BBBB,obesity,1,0.1667691437864699,178,43,135
38,ejer0_20,AAAAA,obesity,1,-0.9961773967916598,96,8,135
39,ejer0_20,AAAAB,obesity,1,-0.7416475316567792,24,2,135
40,ejer0_20,AAABA,obesity,1,-0.3142035168298396,4,0,135
41,ejer0_20,AAABB,obesity,1,-0.6018855892816206,21,2,135
42,ejer0_20,AABAA,obesity,1,-1.1026608771941098,10,0,135
43,ejer0_20,AABAB,obesity,1,-0.09105996551562995,3,0,135
44,ejer0_20,AABBA,obesity,1,-0.7842071460755753,7,0,135
45,ejer0_20,AABBB,obesity,1,-0.02652144437805872,17,3,135
46,ejer0_20,ABAAA,obesity,1,0.1966221069361511,14,3,135
47,ejer0_20,ABAAB,obesity,1,0.6020872150443154,4,1,135
48,ejer0_20,ABABA,obesity,1,0.6020872150443154,1,0,135
49,ejer0_20,ABABB,obesity,1,-0.6506757534510526,6,0,135
50,ejer0_20,ABBAA,obesity,1,0.0424714271088928,7,1,135
51,ejer0_20,ABBAB,obesity,1,0.6020872150443154,1,0,135
52,ejer0_20,ABBBA,obesity,1,1.2952343956042607,4,2,135
53,ejer0_20,ABBBB,obesity,1,0.6020872150443154,19,6,135
54,ejer0_20,BAAAA,obesity,1,0.6020872150443154,28,9,135
55,ejer0_20,BAAAB,obesity,1,0.0424714271088928,7,1,135
56,ejer0_20,BAABA,obesity,1,0.3789436637301057,5,1,135
57,ejer0_20,BAABB,obesity,1,1.2952343956042607,10,5,135
58,ejer0_20,BABAA,obesity,1,0.8897692874960964,3,1,135
59,ejer0_20,BABAB,obesity,1,-0.09105996551562995,3,0,135
60,ejer0_20,BABBA,obesity,1,1.2952343956042607,6,3,135
61,ejer0_20,BABBB,obesity,1,-0.09105996551562995,8,1,135
62,ejer0_20,BBAAA,obesity,1,0.5480199937740396,54,17,135
63,ejer0_20,BBAAB,obesity,1,0.6890985920339452,15,5,135
64,ejer0_20,BBABA,obesity,1,1.2952343956042607,0,0,135
65,ejer0_20,BBABB,obesity,1,-0.3142035168298396,10,1,135
66,ejer0_20,BBBAA,obesity,1,0.6020872150443153,49,16,135
67,ejer0_20,BBBAB,obesity,1,0.7074477307021416,12,4,135
68,ejer0_20,BBBBA,obesity,1,0.1966221069361511,22,5,135
69,ejer0_20,BBBBB,obesity,1,0.1796725486223775,156,38,135
