,feat,cat,class,classcat,score,nx,ncx,nc
0,ejer0B,A,obesity,1,-0.5821686725978958,361,50,213
1,ejer0B,B,obesity,1,0.2981900500501961,578,163,213
2,ejer1B,A,obesity,1,-0.46985683984809784,399,61,213
3,ejer1B,B,obesity,1,0.29586746026125005,540,152,213
4,ejer5B,A,obesity,1,-0.18069356953064453,482,94,213
5,ejer5B,B,obesity,1,0.19050051788885666,457,119,213
6,ejer10B,A,obesity,1,-0.003852931690812166,512,115,213
7,ejer10B,B,obesity,1,0.025036078161324832,427,98,213
8,ejer20B,A,obesity,1,0.06009738641814416,500,118,213
9,ejer20B,B,obesity,1,-0.05018734307626261,439,95,213
10,ejer0_1,AA,obesity,1,-0.8386447034405328,283,31,213
11,ejer0_1,AB,obesity,1,0.13039659381915117,78,19,213
12,ejer0_1,BA,obesity,1,0.1970879683178233,116,30,213
13,ejer0_1,BB,obesity,1,0.32775602797764625,462,133,213
14,ejer0_5,AAA,obesity,1,-0.8011616101857922,222,25,213
15,ejer0_5,AAB,obesity,1,-0.850432659192575,61,6,213
16,ejer0_5,ABA,obesity,1,0.06585807268157977,40,9,213
17,ejer0_5,ABB,obesity,1,0.25960832529915756,38,10,213
18,ejer0_5,BAA,obesity,1,0.2481796294755345,86,23,213
19,ejer0_5,BAB,obesity,1,0.13039659381915117,30,7,213
20,ejer0_5,BBA,obesity,1,0.2816275635430748,134,37,213
21,ejer0_5,BBB,obesity,1,0.3526814074249433,328,96,213
22,ejer0_10,AAAA,obesity,1,-0.7049250755213367,188,23,213
23,ejer0_10,AAAB,obesity,1,-1.1688863903111097,34,2,213
24,ejer0_10,AABA,obesity,1,-1.6613628754089038,17,0,213
25,ejer0_10,AABB,obesity,1,-0.48864261458707214,44,6,213
26,ejer0_10,ABAA,obesity,1,0.17295620823794713,29,7,213
27,ejer0_10,ABAB,obesity,1,0.025036078161324832,11,2,213
28,ejer0_10,ABBA,obesity,1,-0.38042902994683947,10,1,213
29,ejer0_10,ABBB,obesity,1,0.5358617019273155,28,9,213
30,ejer0_10,BAAA,obesity,1,0.21207462483341832,62,16,213
31,ejer0_10,BAAB,obesity,1,0.4180786662709321,24,7,213
32,ejer0_10,BABA,obesity,1,0.2481796294755345,9,2,213
33,ejer0_10,BABB,obesity,1,0.18755500765909977,21,5,213
34,ejer0_10,BBAA,obesity,1,0.3986605804138306,110,33,213
35,ejer0_10,BBAB,obesity,1,-0.20607564280206192,24,4,213
36,ejer0_10,BBBA,obesity,1,0.7480362218709513,87,33,213
37,ejer0_10,BBBB,obesity,1,0.20050616000617785,241,63,213
38,ejer0_20,AAAAA,obesity,1,-0.6350712483204204,147,19,213
39,ejer0_20,AAAAB,obesity,1,-0.7991393648050246,41,4,213
40,ejer0_20,AAABA,obesity,1,-0.9682156948489585,8,0,213
41,ejer0_20,AAABB,obesity,1,-0.8912546537128302,26,2,213
42,ejer0_20,AABAA,obesity,1,-1.3359404749742758,12,0,213
43,ejer0_20,AABAB,obesity,1,-0.5627505867407941,5,0,213
44,ejer0_20,AABBA,obesity,1,-1.6613628754089038,17,0,213
45,ejer0_20,AABBB,obesity,1,0.0838765781842583,27,6,213
46,ejer0_20,ABAAA,obesity,1,0.0763293725488754,23,5,213
47,ejer0_20,ABAAB,obesity,1,0.7181832587212701,6,2,213
48,ejer0_20,ABABA,obesity,1,1.2290088824872607,2,1,213
49,ejer0_20,ABABB,obesity,1,-0.2750685142890132,9,1,213
50,ejer0_20,ABBAA,obesity,1,-0.2750685142890132,9,1,213
51,ejer0_20,ABBAB,obesity,1,0.5358617019273154,1,0,213
52,ejer0_20,ABBBA,obesity,1,0.7181832587212701,6,2,213
53,ejer0_20,ABBBB,obesity,1,0.5358617019273154,22,7,213
54,ejer0_20,BAAAA,obesity,1,0.3380359585973957,53,15,213
55,ejer0_20,BAAAB,obesity,1,-0.2750685142890132,9,1,213
56,ejer0_20,BAABA,obesity,1,0.31271815061310587,5,1,213
57,ejer0_20,BAABB,obesity,1,0.5358617019273155,19,6,213
58,ejer0_20,BABAA,obesity,1,0.7181832587212701,6,2,213
59,ejer0_20,BABAB,obesity,1,-0.15728547863262987,3,0,213
60,ejer0_20,BABBA,obesity,1,1.4521524338014704,7,4,213
61,ejer0_20,BABBB,obesity,1,-0.7169012665680524,14,1,213
62,ejer0_20,BBAAA,obesity,1,0.35045847859595275,90,26,213
63,ejer0_20,BBAAB,obesity,1,0.6693930945518382,20,7,213
64,ejer0_20,BBABA,obesity,1,0.8235437743790965,3,1,213
65,ejer0_20,BBABB,obesity,1,-0.32913573555928893,21,3,213
66,ejer0_20,BBBAA,obesity,1,0.8690061484558539,71,29,213
67,ejer0_20,BBBAB,obesity,1,0.2734974374598246,16,4,213
68,ejer0_20,BBBBA,obesity,1,0.39276085828664214,41,12,213
69,ejer0_20,BBBBB,obesity,1,0.1696173069724325,200,51,213
