ev_folio;keyword;obesidad;id_gestud;estAv
804;_AABBB;0;Mast;1
901;_BBBAB;0;Mast;1
944;AABBBA;0;Bach;0
191;AAAAAB;0;Bach;0
352;AAABBA;0;Lic;0
984;_BABAA;0;Lic;0
1040;AAABBB;0;Sec;0
286;AABBBB;0;Bach;0
422;_BBBAB;0;Prim;0
585;BAAABA;0;Bach;0
321;AABBBB;0;CarTec;0
658;AAAABB;1;CarTec;0
681;BBBBBA;0;CarTec;0
186;AAABBB;1;Sec;0
119;BBABBB;1;Sec;0
355;BABAAA;0;Mast;1
991;AABBBB;0;Bach;0
104;_AAABA;0;Doc;1
496;BBBBBB;0;Sec;0
271;BAABBB;0;Mast;1
1030;AAABAA;0;Mast;1
508;_AAAAA;0;Mast;1
769;AAAABB;1;Lic;0
66;BBAAAA;0;Doc;1
556;_BBBBA;0;Mast;1
960;_BBAAA;0;Mast;1
103;AAAAAB;0;Doc;1
662;BBAAAA;1;Prim;0
1010;BBBBAA;0;Bach;0
554;AABBBB;0;Lic;0
497;AAAABB;0;Mast;1
361;_BBBAB;0;CarTec;0
24;AAAABB;0;CarTec;0
454;BBAAAA;0;Mast;1
959;AAAABB;0;Lic;0
607;AAAAAB;0;CarTec;0
164;_ABAAA;0;Lic;0
512;AAAAAA;0;Otro;0
1076;AAABBB;1;Lic;0
98;BBBBBB;0;Sec;0
135;AAAAAA;0;Mast;1
880;_AABBB;0;Sec;0
247;_BAABA;0;Lic;0
258;BBBABB;0;CarTec;0
102;BABBBB;0;Lic;0
712;BBAAAA;1;Prim;0
434;_BBBBB;1;CarTec;0
808;_BBABA;0;Lic;0
551;BBBBBB;1;Prim;0
105;ABBAAB;1;Sec;0
999;AAAAAA;0;Lic;0
217;AAAABB;1;CarTec;0
219;BAAAAA;0;Mast;1
549;BBBBBB;1;Sec;0
161;_AAAAA;0;Doc;1
51;BAAABA;1;Doc;1
562;AABBBB;1;Mast;1
940;BBBBBB;0;Sec;0
202;_AAAAB;1;Doc;1
303;_AABAB;0;Bach;0
479;_BBBBB;1;Lic;0
201;AAAAAA;0;PDoc;1
44;AAAAAA;0;Lic;0
107;BBBBAB;0;Doc;1
510;AAAABB;0;Bach;0
756;AAAAAA;0;Lic;0
745;BABAAA;0;Doc;1
844;_AAAAB;0;Mast;1
281;_BBAAB;0;Lic;0
794;BBBBBB;0;Sec;0
521;_AABBB;0;Doc;1
744;_ABBBA;0;Mast;1
9;BBBAAA;0;Sec;0
966;_AAABB;0;Lic;0
939;BAAABB;0;Prim;0
74;_BAAAB;0;Sec;0
101;ABBBBB;1;Lic;0
1063;BBBBAA;0;Sec;0
267;BABBBB;0;Mast;1
156;_BBBBB;0;Prim;0
910;_ABBBB;1;Lic;0
992;AAAAAA;0;Lic;0
629;BAAABB;0;Doc;1
407;AAAABB;0;Mast;1
586;_ABBAA;0;Mast;1
569;BBBBAA;0;CarTec;0
589;BBBBAA;0;Doc;1
986;BBBBBB;0;PDoc;1
884;_AAAAB;1;Lic;0
642;ABBBBB;0;PDoc;1
592;BBAABB;1;Bach;0
43;AABABB;0;Doc;1
632;AAAAAA;0;Doc;1
216;AAAAAA;0;Lic;0
362;BBBBBB;0;Sec;0
388;BABBBB;1;CarTec;0
311;BBBBBB;0;Sec;0
71;BBBBBB;0;Doc;1
970;_ABBAA;0;Mast;1
390;BAAAAA;1;Bach;0
408;BBBBBB;1;Lic;0
65;_ABABB;1;Doc;1
679;_AAAAB;0;Mast;1
137;BBAAAA;0;Doc;1
819;AAAAAA;1;Mast;1
130;BBBBBB;0;Prim;0
590;_AABBB;0;Doc;1
295;_AAAAA;0;Lic;0
852;BAABBB;1;Mast;1
199;ABABBB;0;Doc;1
63;BBBABB;0;Lic;0
968;BAAAAA;0;Lic;0
906;BAAAAA;0;Doc;1
