labels,pattern,probs
a_20: A | a_30: A ,A->A,0.9236868186323092
a_20: B | a_30: A ,A->B,0.07631318136769079
a_20: A | a_30: B ,B->A,0.08955223880597014
a_20: B | a_30: B ,B->B,0.9104477611940298
a_10: A | a_30: A ,A->A,0.8067393458870169
a_10: B | a_30: A ,A->B,0.19326065411298315
a_10: A | a_30: B ,B->A,0.22388059701492538
a_10: B | a_30: B ,B->B,0.7761194029850746
a_10: A | a_20: A ,A->A,0.8518123667377399
a_10: B | a_20: A ,A->B,0.14818763326226012
a_10: A | a_20: B ,B->A,0.21739130434782608
a_10: B | a_20: B ,B->B,0.782608695652174
a_5: A | a_30: A ,A->A,0.6422200198216056
a_5: B | a_30: A ,A->B,0.35777998017839446
a_5: A | a_30: B ,B->A,0.2835820895522388
a_5: B | a_30: B ,B->B,0.7164179104477612
a_5: A | a_20: A ,A->A,0.6801705756929638
a_5: B | a_20: A ,A->B,0.31982942430703626
a_5: A | a_20: B ,B->A,0.21014492753623187
a_5: B | a_20: B ,B->B,0.7898550724637681
a_5: A | a_10: A ,A->A,0.7635705669481303
a_5: B | a_10: A ,A->B,0.23642943305186973
a_5: A | a_10: B ,B->A,0.13765182186234817
a_5: B | a_10: B ,B->B,0.8623481781376519
a_1: A | a_30: A ,A->A,0.4370664023785927
a_1: B | a_30: A ,A->B,0.5629335976214074
a_1: A | a_30: B ,B->A,0.26865671641791045
a_1: B | a_30: B ,B->B,0.7313432835820896
a_1: A | a_20: A ,A->A,0.4466950959488273
a_1: B | a_20: A ,A->B,0.5533049040511727
a_1: A | a_20: B ,B->A,0.2898550724637681
a_1: B | a_20: B ,B->B,0.7101449275362319
a_1: A | a_10: A ,A->A,0.4825090470446321
a_1: B | a_10: A ,A->B,0.517490952955368
a_1: A | a_10: B ,B->A,0.2388663967611336
a_1: B | a_10: B ,B->B,0.7611336032388664
a_1: A | a_5: A ,A->A,0.5922038980509745
a_1: B | a_5: A ,A->B,0.4077961019490255
a_1: A | a_5: B ,B->A,0.15647921760391198
a_1: B | a_5: B ,B->B,0.843520782396088
a_0: A | a_30: A ,A->A,0.3875123885034688
a_0: B | a_30: A ,A->B,0.6124876114965312
a_0: A | a_30: B ,B->A,0.34328358208955223
a_0: B | a_30: B ,B->B,0.6567164179104478
a_0: A | a_20: A ,A->A,0.3976545842217484
a_0: B | a_20: A ,A->B,0.6023454157782516
a_0: A | a_20: B ,B->A,0.2971014492753623
a_0: B | a_20: B ,B->B,0.7028985507246377
a_0: A | a_10: A ,A->A,0.4221954161640531
a_0: B | a_10: A ,A->B,0.5778045838359469
a_0: A | a_10: B ,B->A,0.2591093117408907
a_0: B | a_10: B ,B->B,0.7408906882591093
a_0: A | a_5: A ,A->A,0.5082458770614693
a_0: B | a_5: A ,A->B,0.4917541229385307
a_0: A | a_5: B ,B->A,0.18337408312958436
a_0: B | a_5: B ,B->B,0.8166259168704156
a_0: A | a_1: A ,A->A,0.7843137254901961
a_0: B | a_1: A ,A->B,0.21568627450980393
a_0: A | a_1: B ,B->A,0.08752025931928688
a_0: B | a_1: B ,B->B,0.9124797406807131
