labels,pattern,nobese,obese
a_20: A | a_30: A ,A->A,0.9224030037546934,0.9285714285714286
a_20: B | a_30: A ,A->B,0.07759699624530664,0.07142857142857142
a_20: A | a_30: B ,B->A,0.08163265306122448,0.1111111111111111
a_20: B | a_30: B ,B->B,0.9183673469387755,0.8888888888888888
a_10: A | a_30: A ,A->A,0.8122653316645807,0.7857142857142857
a_10: B | a_30: A ,A->B,0.18773466833541927,0.21428571428571427
a_10: A | a_30: B ,B->A,0.2653061224489796,0.1111111111111111
a_10: B | a_30: B ,B->B,0.7346938775510204,0.8888888888888888
a_10: A | a_20: A ,A->A,0.8556005398110661,0.8375634517766497
a_10: B | a_20: A ,A->B,0.14439946018893388,0.16243654822335024
a_10: A | a_20: B ,B->A,0.2616822429906542,0.06451612903225806
a_10: B | a_20: B ,B->B,0.7383177570093458,0.9354838709677419
a_5: A | a_30: A ,A->A,0.6770963704630788,0.5095238095238095
a_5: B | a_30: A ,A->B,0.32290362953692114,0.49047619047619045
a_5: A | a_30: B ,B->A,0.32653061224489793,0.16666666666666666
a_5: B | a_30: B ,B->B,0.673469387755102,0.8333333333333334
a_5: A | a_20: A ,A->A,0.7152496626180836,0.5482233502538071
a_5: B | a_20: A ,A->B,0.28475033738191635,0.4517766497461929
a_5: A | a_20: B ,B->A,0.2523364485981308,0.06451612903225806
a_5: B | a_20: B ,B->B,0.7476635514018691,0.9354838709677419
a_5: A | a_10: A ,A->A,0.7945619335347432,0.6407185628742516
a_5: B | a_10: A ,A->B,0.2054380664652568,0.3592814371257485
a_5: A | a_10: B ,B->A,0.16666666666666666,0.04918032786885246
a_5: B | a_10: B ,B->B,0.8333333333333334,0.9508196721311475
a_1: A | a_30: A ,A->A,0.47684605757196497,0.2857142857142857
a_1: B | a_30: A ,A->B,0.523153942428035,0.7142857142857143
a_1: A | a_30: B ,B->A,0.32653061224489793,0.1111111111111111
a_1: B | a_30: B ,B->B,0.673469387755102,0.8888888888888888
a_1: A | a_20: A ,A->A,0.48717948717948717,0.29441624365482233
a_1: B | a_20: A ,A->B,0.5128205128205128,0.7055837563451777
a_1: A | a_20: B ,B->A,0.3364485981308411,0.12903225806451613
a_1: B | a_20: B ,B->B,0.6635514018691588,0.8709677419354839
a_1: A | a_10: A ,A->A,0.5181268882175226,0.3413173652694611
a_1: B | a_10: A ,A->B,0.4818731117824773,0.6586826347305389
a_1: A | a_10: B ,B->A,0.2903225806451613,0.08196721311475409
a_1: B | a_10: B ,B->B,0.7096774193548387,0.9180327868852459
a_1: A | a_5: A ,A->A,0.6157989228007181,0.4727272727272727
a_1: B | a_5: A ,A->B,0.38420107719928187,0.5272727272727272
a_1: A | a_5: B ,B->A,0.18556701030927836,0.0847457627118644
a_1: B | a_5: B ,B->B,0.8144329896907216,0.9152542372881356
a_0: A | a_30: A ,A->A,0.43679599499374216,0.2
a_0: B | a_30: A ,A->B,0.5632040050062578,0.8
a_0: A | a_30: B ,B->A,0.3877551020408163,0.2222222222222222
a_0: B | a_30: B ,B->B,0.6122448979591837,0.7777777777777778
a_0: A | a_20: A ,A->A,0.446693657219973,0.2131979695431472
a_0: B | a_20: A ,A->B,0.553306342780027,0.7868020304568528
a_0: A | a_20: B ,B->A,0.34579439252336447,0.12903225806451613
a_0: B | a_20: B ,B->B,0.6542056074766355,0.8709677419354839
a_0: A | a_10: A ,A->A,0.4652567975830816,0.25149700598802394
a_0: B | a_10: A ,A->B,0.5347432024169184,0.7485029940119761
a_0: A | a_10: B ,B->A,0.3225806451612903,0.06557377049180328
a_0: B | a_10: B ,B->B,0.6774193548387096,0.9344262295081968
a_0: A | a_5: A ,A->A,0.5403949730700179,0.34545454545454546
a_0: B | a_5: A ,A->B,0.45960502692998206,0.6545454545454545
a_0: A | a_5: B ,B->A,0.23024054982817868,0.06779661016949153
a_0: B | a_5: B ,B->B,0.7697594501718213,0.9322033898305084
a_0: A | a_1: A ,A->A,0.8110831234256927,0.6129032258064516
a_0: B | a_1: A ,A->B,0.1889168765743073,0.3870967741935484
a_0: A | a_1: B ,B->A,0.10199556541019955,0.04819277108433735
a_0: B | a_1: B ,B->B,0.8980044345898004,0.9518072289156626
