labels,nobese,pattern,obese
a_20: A | a_30: A ,0.9032882011605415,A->A,0.8837209302325582
a_20: B | a_30: A ,0.09671179883945841,A->B,0.11627906976744186
a_20: A | a_30: B ,0.10714285714285714,B->A,0.14285714285714285
a_20: B | a_30: B ,0.8928571428571429,B->B,0.8571428571428571
a_10: A | a_30: A ,0.8085106382978723,A->A,0.7674418604651163
a_10: B | a_30: A ,0.19148936170212766,A->B,0.23255813953488372
a_10: A | a_30: B ,0.39285714285714285,B->A,0.14285714285714285
a_10: B | a_30: B ,0.6071428571428571,B->B,0.8571428571428571
a_10: A | a_20: A ,0.8595744680851064,A->A,0.8571428571428571
a_10: B | a_20: A ,0.14042553191489363,A->B,0.14285714285714285
a_10: A | a_20: B ,0.3333333333333333,B->A,0.0625
a_10: B | a_20: B ,0.6666666666666666,B->B,0.9375
a_5: A | a_30: A ,0.6692456479690522,A->A,0.5232558139534884
a_5: B | a_30: A ,0.3307543520309478,A->B,0.47674418604651164
a_5: A | a_30: B ,0.42857142857142855,B->A,0.2857142857142857
a_5: B | a_30: B ,0.5714285714285714,B->B,0.7142857142857143
a_5: A | a_20: A ,0.7148936170212766,A->A,0.5974025974025974
a_5: B | a_20: A ,0.2851063829787234,A->B,0.4025974025974026
a_5: A | a_20: B ,0.29333333333333333,B->A,0.0625
a_5: B | a_20: B ,0.7066666666666667,B->B,0.9375
a_5: A | a_10: A ,0.7808857808857809,A->A,0.6865671641791045
a_5: B | a_10: A ,0.2191142191142191,A->B,0.31343283582089554
a_5: A | a_10: B ,0.19827586206896552,B->A,0.038461538461538464
a_5: B | a_10: B ,0.8017241379310345,B->B,0.9615384615384616
a_1: A | a_30: A ,0.5299806576402321,A->A,0.3488372093023256
a_1: B | a_30: A ,0.4700193423597679,A->B,0.6511627906976745
a_1: A | a_30: B ,0.42857142857142855,B->A,0.2857142857142857
a_1: B | a_30: B ,0.5714285714285714,B->B,0.7142857142857143
a_1: A | a_20: A ,0.5425531914893617,A->A,0.36363636363636365
a_1: B | a_20: A ,0.4574468085106383,A->B,0.6363636363636364
a_1: A | a_20: B ,0.41333333333333333,B->A,0.25
a_1: B | a_20: B ,0.5866666666666667,B->B,0.75
a_1: A | a_10: A ,0.5641025641025641,A->A,0.43283582089552236
a_1: B | a_10: A ,0.4358974358974359,A->B,0.5671641791044776
a_1: A | a_10: B ,0.3793103448275862,B->A,0.11538461538461539
a_1: B | a_10: B ,0.6206896551724138,B->B,0.8846153846153846
a_1: A | a_5: A ,0.6731843575418994,A->A,0.5531914893617021
a_1: B | a_5: A ,0.3268156424581006,A->B,0.44680851063829785
a_1: A | a_5: B ,0.24064171122994651,B->A,0.13043478260869565
a_1: B | a_5: B ,0.7593582887700535,B->B,0.8695652173913043
a_0: A | a_30: A ,0.48936170212765956,A->A,0.27906976744186046
a_0: B | a_30: A ,0.5106382978723404,A->B,0.7209302325581395
a_0: A | a_30: B ,0.5,B->A,0.42857142857142855
a_0: B | a_30: B ,0.5,B->B,0.5714285714285714
a_0: A | a_20: A ,0.502127659574468,A->A,0.2987012987012987
a_0: B | a_20: A ,0.4978723404255319,A->B,0.7012987012987013
a_0: A | a_20: B ,0.41333333333333333,B->A,0.25
a_0: B | a_20: B ,0.5866666666666667,B->B,0.75
a_0: A | a_10: A ,0.5244755244755245,A->A,0.34328358208955223
a_0: B | a_10: A ,0.4755244755244755,A->B,0.6567164179104478
a_0: A | a_10: B ,0.3620689655172414,B->A,0.15384615384615385
a_0: B | a_10: B ,0.6379310344827587,B->B,0.8461538461538461
a_0: A | a_5: A ,0.6061452513966481,A->A,0.425531914893617
a_0: B | a_5: A ,0.39385474860335196,A->B,0.574468085106383
a_0: A | a_5: B ,0.26737967914438504,B->A,0.15217391304347827
a_0: B | a_5: B ,0.732620320855615,B->B,0.8478260869565217
a_0: A | a_1: A ,0.8146853146853147,A->A,0.71875
a_0: B | a_1: A ,0.1853146853146853,A->B,0.28125
a_0: A | a_1: B ,0.13127413127413126,B->A,0.06557377049180328
a_0: B | a_1: B ,0.8687258687258688,B->B,0.9344262295081968
