labels,pattern,nobese,obese
a_20: A | a_30: A ,A->A,0.9574468085106383,0.9596774193548387
a_20: B | a_30: A ,A->B,0.0425531914893617,0.04032258064516129
a_20: A | a_30: B ,B->A,0.047619047619047616,0.09090909090909091
a_20: B | a_30: B ,B->B,0.9523809523809523,0.9090909090909091
a_10: A | a_30: A ,A->A,0.8191489361702128,0.7983870967741935
a_10: B | a_30: A ,A->B,0.18085106382978725,0.20161290322580644
a_10: A | a_30: B ,B->A,0.09523809523809523,0.09090909090909091
a_10: B | a_30: B ,B->B,0.9047619047619048,0.9090909090909091
a_10: A | a_20: A ,A->A,0.8487084870848709,0.825
a_10: B | a_20: A ,A->B,0.15129151291512916,0.175
a_10: A | a_20: B ,B->A,0.09375,0.06666666666666667
a_10: B | a_20: B ,B->B,0.90625,0.9333333333333333
a_5: A | a_30: A ,A->A,0.6914893617021277,0.5
a_5: B | a_30: A ,A->B,0.30851063829787234,0.5
a_5: A | a_30: B ,B->A,0.19047619047619047,0.09090909090909091
a_5: B | a_30: B ,B->B,0.8095238095238095,0.9090909090909091
a_5: A | a_20: A ,A->A,0.7158671586715867,0.5166666666666667
a_5: B | a_20: A ,A->B,0.28413284132841327,0.48333333333333334
a_5: A | a_20: B ,B->A,0.15625,0.06666666666666667
a_5: B | a_20: B ,B->B,0.84375,0.9333333333333333
a_5: A | a_10: A ,A->A,0.8197424892703863,0.61
a_5: B | a_10: A ,A->B,0.18025751072961374,0.39
a_5: A | a_10: B ,B->A,0.11428571428571428,0.05714285714285714
a_5: B | a_10: B ,B->B,0.8857142857142857,0.9428571428571428
a_1: A | a_30: A ,A->A,0.37943262411347517,0.24193548387096775
a_1: B | a_30: A ,A->B,0.6205673758865248,0.7580645161290323
a_1: A | a_30: B ,B->A,0.19047619047619047,0.0
a_1: B | a_30: B ,B->B,0.8095238095238095,1.0
a_1: A | a_20: A ,A->A,0.39114391143911437,0.25
a_1: B | a_20: A ,A->B,0.6088560885608856,0.75
a_1: A | a_20: B ,B->A,0.15625,0.0
a_1: B | a_20: B ,B->B,0.84375,1.0
a_1: A | a_10: A ,A->A,0.4334763948497854,0.28
a_1: B | a_10: A ,A->B,0.5665236051502146,0.72
a_1: A | a_10: B ,B->A,0.14285714285714285,0.05714285714285714
a_1: B | a_10: B ,B->B,0.8571428571428571,0.9428571428571428
a_1: A | a_5: A ,A->A,0.5125628140703518,0.4126984126984127
a_1: B | a_5: A ,A->B,0.48743718592964824,0.5873015873015873
a_1: A | a_5: B ,B->A,0.08653846153846154,0.05555555555555555
a_1: B | a_5: B ,B->B,0.9134615384615384,0.9444444444444444
a_0: A | a_30: A ,A->A,0.3404255319148936,0.14516129032258066
a_0: B | a_30: A ,A->B,0.6595744680851063,0.8548387096774194
a_0: A | a_30: B ,B->A,0.23809523809523808,0.09090909090909091
a_0: B | a_30: B ,B->B,0.7619047619047619,0.9090909090909091
a_0: A | a_20: A ,A->A,0.3505535055350554,0.15833333333333333
a_0: B | a_20: A ,A->B,0.6494464944649446,0.8416666666666667
a_0: A | a_20: B ,B->A,0.1875,0.0
a_0: B | a_20: B ,B->B,0.8125,1.0
a_0: A | a_10: A ,A->A,0.3562231759656652,0.19
a_0: B | a_10: A ,A->B,0.6437768240343348,0.81
a_0: A | a_10: B ,B->A,0.2571428571428571,0.0
a_0: B | a_10: B ,B->B,0.7428571428571429,1.0
a_0: A | a_5: A ,A->A,0.4221105527638191,0.2857142857142857
a_0: B | a_5: A ,A->B,0.5778894472361809,0.7142857142857143
a_0: A | a_5: B ,B->A,0.16346153846153846,0.013888888888888888
a_0: B | a_5: B ,B->B,0.8365384615384616,0.9861111111111112
a_0: A | a_1: A ,A->A,0.8018018018018018,0.5
a_0: B | a_1: A ,A->B,0.1981981981981982,0.5
a_0: A | a_1: B ,B->A,0.0625,0.0380952380952381
a_0: B | a_1: B ,B->B,0.9375,0.9619047619047619
