labels,pattern,probs
a_20: A | a_30: A ,A->A,0.43004115226337447
a_20: B | a_30: A ,A->B,0.5699588477366255
a_20: A | a_30: B ,B->A,0.07966101694915254
a_20: B | a_30: B ,B->B,0.9203389830508475
a_10: A | a_30: A ,A->A,0.18930041152263374
a_10: B | a_30: A ,A->B,0.8106995884773662
a_10: A | a_30: B ,B->A,0.21525423728813559
a_10: B | a_30: B ,B->B,0.7847457627118644
a_10: A | a_20: A ,A->A,0.36328125
a_10: B | a_20: A ,A->B,0.63671875
a_10: A | a_20: B ,B->A,0.15365853658536585
a_10: B | a_20: B ,B->B,0.8463414634146341
a_5: A | a_30: A ,A->A,0.3374485596707819
a_5: B | a_30: A ,A->B,0.6625514403292181
a_5: A | a_30: B ,B->A,0.3423728813559322
a_5: B | a_30: B ,B->B,0.6576271186440678
a_5: A | a_20: A ,A->A,0.44921875
a_5: B | a_20: A ,A->B,0.55078125
a_5: A | a_20: B ,B->A,0.30609756097560975
a_5: B | a_20: B ,B->B,0.6939024390243902
a_5: A | a_10: A ,A->A,0.730593607305936
a_5: B | a_10: A ,A->B,0.2694063926940639
a_5: A | a_10: B ,B->A,0.24037339556592766
a_5: B | a_10: B ,B->B,0.7596266044340724
a_1: A | a_30: A ,A->A,0.5534979423868313
a_1: B | a_30: A ,A->B,0.44650205761316875
a_1: A | a_30: B ,B->A,0.4847457627118644
a_1: B | a_30: B ,B->B,0.5152542372881356
a_1: A | a_20: A ,A->A,0.55859375
a_1: B | a_20: A ,A->B,0.44140625
a_1: A | a_20: B ,B->A,0.5024390243902439
a_1: B | a_20: B ,B->B,0.4975609756097561
a_1: A | a_10: A ,A->A,0.6484018264840182
a_1: B | a_10: A ,A->B,0.3515981735159817
a_1: A | a_10: B ,B->A,0.48191365227537925
a_1: B | a_10: B ,B->B,0.5180863477246208
a_1: A | a_5: A ,A->A,0.7650273224043715
a_1: B | a_5: A ,A->B,0.23497267759562843
a_1: A | a_5: B ,B->A,0.3873239436619718
a_1: B | a_5: B ,B->B,0.6126760563380281
a_0: A | a_30: A ,A->A,0.5246913580246914
a_0: B | a_30: A ,A->B,0.47530864197530864
a_0: A | a_30: B ,B->A,0.4322033898305085
a_0: B | a_30: B ,B->B,0.5677966101694916
a_0: A | a_20: A ,A->A,0.5234375
a_0: B | a_20: A ,A->B,0.4765625
a_0: A | a_20: B ,B->A,0.4585365853658537
a_0: B | a_20: B ,B->B,0.5414634146341464
a_0: A | a_10: A ,A->A,0.5707762557077626
a_0: B | a_10: A ,A->B,0.4292237442922374
a_0: A | a_10: B ,B->A,0.4492415402567094
a_0: B | a_10: B ,B->B,0.5507584597432905
a_0: A | a_5: A ,A->A,0.6612021857923497
a_0: B | a_5: A ,A->B,0.33879781420765026
a_0: A | a_5: B ,B->A,0.37746478873239436
a_0: B | a_5: B ,B->B,0.6225352112676056
a_0: A | a_1: A ,A->A,0.7513513513513513
a_0: B | a_1: A ,A->B,0.24864864864864866
a_0: A | a_1: B ,B->A,0.1785028790786948
a_0: B | a_1: B ,B->B,0.8214971209213052
